«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,174.3,176.77,168.0,169.31,174.3,-2.86,-4.99,2246022.75,13089
2026/01/12,175.01,177.59,174.0,174.3,175.01,-0.58,-1.01,2560032.5,14569
2026/01/11,176.24,177.6,174.07,175.01,176.24,-0.7,-1.23,2174815.25,12378
2026/01/08,177.63,180.5,176.0,176.24,177.63,-0.78,-1.39,2854533.25,16124
2026/01/06,175.32,182.0,175.5,177.63,175.32,1.32,2.31,4434264.5,24844
2026/01/05,182.84,185.0,173.0,175.32,182.84,-4.11,-7.52,8554524.0,48509
2026/01/04,183.38,188.0,182.0,182.84,183.38,0.34,0.62,2232931.0,12152
2025/12/31,186.26,189.5,183.1,183.38,186.26,-1.55,-2.88,5399750.5,29192
2025/12/30,186.06,193.0,185.0,186.26,186.06,0.11,0.2,5527126.5,29363
2025/12/29,185.46,189.0,185.21,186.06,185.46,0.32,0.6,4983284.5,26700
2025/12/28,188.06,194.0,184.0,185.46,188.06,-1.38,-2.6,8234328.0,43570
2025/12/25,184.89,197.77,184.5,188.06,184.89,1.71,3.17,5.9078252E7,305019
2025/12/24,183.99,188.0,184.0,184.89,183.99,0.71,1.31,6772230.0,36448
2025/12/23,183.68,186.99,182.51,183.99,183.68,0.17,0.31,3303157.5,17994
2025/12/22,182.0,188.0,182.16,183.68,182.0,1.1,2.0,7395372.5,39965
2025/12/21,182.26,187.5,181.0,182.0,182.26,-0.14,-0.26,4538459.5,24797
2025/12/18,186.56,192.96,182.01,182.26,186.56,-2.3,-4.3,1.4162376E7,76010
2025/12/17,181.26,194.99,180.5,186.56,181.26,2.92,5.3,3.7466248E7,196432
2025/12/16,183.42,187.0,181.0,181.26,183.42,-1.18,-2.16,4900836.0,26692
2025/12/15,183.5,185.45,183.0,183.42,183.5,-0.04,-0.08,2060943.5,11212
2025/12/14,185.91,187.4,181.0,183.5,185.91,-1.3,-2.41,3990845.25,21587
2025/12/11,186.51,189.55,185.5,185.91,186.51,-0.32,-0.6,5934291.5,31786
2025/12/10,186.05,192.89,186.0,186.51,186.05,0.25,0.46,1.0838321E7,57462
2025/12/09,185.0,195.0,185.0,186.05,185.0,0.57,1.05,1.790471E7,94354
2025/12/08,185.17,188.95,184.75,185.0,185.17,-0.09,-0.17,7680641.0,41211
2025/12/07,185.1,189.0,184.27,185.17,185.1,0.22,0.4,2908869.5,15646
2025/12/04,186.57,192.8,185.0,185.1,186.57,-0.79,-1.47,5533107.0,29496
2025/12/03,184.24,198.0,183.01,186.57,184.24,1.5,2.76,1.2751146E7,66337
2025/12/02,188.23,192.9,183.15,184.24,188.23,-2.12,-3.99,6298818.5,33541
2025/12/01,190.35,195.88,188.18,188.23,190.35,-1.11,-2.12,1.1918004E7,62160
2025/11/30,189.22,195.99,189.99,190.35,189.22,0.6,1.13,1.0218003E7,53031
2025/11/27,193.0,195.0,187.16,189.22,193.0,-1.96,-3.78,1.1195041E7,58642
2025/11/26,197.24,201.98,193.0,193.0,197.24,-2.15,-4.24,1.3987907E7,71103
2025/11/25,193.49,211.0,194.0,197.24,193.49,1.94,3.75,5.5976868E7,272156
2025/11/24,200.24,203.49,192.07,193.49,200.24,-3.37,-6.75,1.1902609E7,60077
2025/11/23,203.26,208.0,198.11,200.24,203.26,-1.49,-3.02,1.4684767E7,72578
2025/11/20,211.6,214.6,201.5,203.26,211.6,-3.94,-8.34,3.4545088E7,166911
2025/11/19,200.45,224.0,201.1,211.6,200.45,5.56,11.15,1.0827432E8,500642
2025/11/18,217.2,219.95,200.0,200.45,217.2,-7.71,-16.75,5.8065308E7,276271
2025/11/17,186.85,222.1,187.0,217.2,186.85,16.24,30.35,1.76383696E8,834927
2025/11/16,192.0,196.0,186.15,186.85,192.0,-2.68,-5.15,1.2980245E7,68174
2025/11/13,180.77,206.0,177.8,192.0,180.77,6.21,11.23,7.580712E7,385617
