«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,52.03,52.49,51.0,51.01,52.03,-1.96,-1.02,5.2973016E7,1027256
2026/01/12,53.25,53.65,51.5,52.03,53.25,-2.29,-1.22,1.06204456E8,2012783
2026/01/11,52.23,53.5,51.82,53.25,52.23,1.95,1.02,1.44601424E8,2736784
2026/01/08,50.5,52.55,50.51,52.23,50.5,3.43,1.73,1.46053136E8,2821271
2026/01/06,49.02,50.5,49.08,50.5,49.02,3.02,1.48,2.7454696E7,548300
2026/01/05,50.0,50.4,48.9,49.02,50.0,-1.96,-0.98,5.2843916E7,1069075
2026/01/04,51.0,51.45,49.82,50.0,51.0,-1.96,-1.0,3.7946084E7,754286
2025/12/31,50.78,51.5,50.7,51.0,50.78,0.43,0.22,2.5078658E7,490093
2025/12/30,51.48,51.58,50.75,50.78,51.48,-1.36,-0.7,2.6988256E7,528797
2025/12/29,51.6,51.8,51.45,51.48,51.6,-0.23,-0.12,1.8706192E7,362614
2025/12/28,51.91,52.17,51.52,51.6,51.91,-0.6,-0.31,3.4983448E7,676753
2025/12/25,52.1,52.2,51.66,51.91,52.1,-0.36,-0.19,1.9356526E7,373060
2025/12/24,52.4,52.6,51.52,52.1,52.4,-0.57,-0.3,4.286628E7,822664
2025/12/23,51.13,52.45,51.21,52.4,51.13,2.48,1.27,1.99393456E8,3827651
2025/12/22,49.58,51.25,49.62,51.13,49.58,3.13,1.55,2.33591664E8,4636934
2025/12/21,48.62,49.64,48.75,49.58,48.62,1.97,0.96,7.6524272E7,1550450
2025/12/18,46.6,49.65,47.5,48.62,46.6,4.33,2.02,2.06433376E8,4227078
2025/12/17,47.0,47.19,46.52,46.6,47.0,-0.85,-0.4,3.2227962E7,690673
2025/12/16,47.7,47.9,46.75,47.0,47.7,-1.47,-0.7,4.413532E7,937574
2025/12/15,47.85,48.36,47.5,47.7,47.85,-0.31,-0.15,3.0809698E7,643361
2025/12/14,48.26,48.49,47.85,47.85,48.26,-0.85,-0.41,4.1335256E7,859909
2025/12/11,47.79,48.47,47.56,48.26,47.79,0.98,0.47,6.222344E7,1294076
