«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.88,1.88,1.72,1.8,1.88,-4.26,-0.08,1.14525352E8,62911249
2026/01/12,1.91,1.94,1.86,1.88,1.91,-1.57,-0.03,4.6403728E7,24438294
2026/01/11,1.85,1.94,1.86,1.91,1.85,3.24,0.06,1.07842344E8,56511630
2026/01/08,1.96,1.99,1.85,1.85,1.96,-5.61,-0.11,1.14877344E8,59678130
2026/01/06,1.94,2.0,1.92,1.96,1.94,1.03,0.02,1.79141792E8,91237027
2026/01/05,1.82,1.95,1.83,1.94,1.82,6.59,0.12,2.41071424E8,127082410
2026/01/04,1.72,1.87,1.74,1.82,1.72,5.814,0.1,2.16618992E8,118799128
2025/12/31,1.8,1.86,1.72,1.72,1.8,-4.444,-0.08,2.93166464E8,162562701
2025/12/30,1.6,1.9,1.62,1.8,1.6,12.5,0.2,4.80881824E8,270969745
2025/12/29,1.62,1.66,1.52,1.6,1.62,-1.235,-0.02,2.81271456E8,174931860
2025/12/28,1.44,1.63,1.43,1.62,1.44,12.5,0.18,1.44023888E8,94464554
2025/12/25,1.4,1.45,1.4,1.44,1.4,2.857,0.04,5.005358E7,35039141
2025/12/24,1.43,1.44,1.4,1.4,1.43,-2.098,-0.03,3.6359932E7,25678732
2025/12/23,1.47,1.5,1.39,1.43,1.47,-2.721,-0.04,1.04615584E8,72444696
2025/12/22,1.45,1.49,1.44,1.47,1.45,1.379,0.02,8.7469064E7,59675981
2025/12/21,1.43,1.47,1.41,1.45,1.43,1.399,0.02,1.62271616E8,112470023
2025/12/18,1.32,1.44,1.33,1.43,1.32,8.333,0.11,2.43300432E8,175854207
2025/12/17,1.29,1.34,1.28,1.32,1.29,2.326,0.03,9.0519688E7,68879695
2025/12/16,1.31,1.32,1.27,1.29,1.31,-1.527,-0.02,7.7959408E7,60102598
2025/12/15,1.31,1.34,1.29,1.31,1.31,0.0,0.0,8.3567256E7,63472268
2025/12/14,1.26,1.32,1.27,1.31,1.26,3.968,0.05,7.1650256E7,55310096
2025/12/11,1.29,1.31,1.26,1.26,1.29,-2.326,-0.03,5.6238892E7,43671613
2025/12/10,1.32,1.34,1.29,1.29,1.32,-2.273,-0.03,1.036678E8,78988061
2025/12/09,1.28,1.34,1.26,1.32,1.28,3.125,0.04,1.69231872E8,129248712
2025/12/08,1.23,1.36,1.27,1.28,1.23,4.065,0.05,2.51280352E8,191722417
2025/12/07,1.19,1.25,1.18,1.23,1.19,3.361,0.04,1.12692264E8,92449457
