«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,8.37,8.58,8.21,8.24,8.37,-1.55,-0.13,1.6640698E7,1970531
2026/01/12,8.19,8.56,8.19,8.37,8.19,2.2,0.18,2.2661772E7,2684258
2026/01/11,8.24,8.3,8.15,8.19,8.24,-0.61,-0.05,6594632.5,805373
2026/01/08,8.36,8.43,8.23,8.24,8.36,-1.44,-0.12,3467684.75,418548
2026/01/06,8.26,8.4,8.25,8.36,8.26,1.21,0.1,1895788.38,227534
2026/01/05,8.66,8.69,8.25,8.26,8.66,-4.62,-0.4,1.1708452E7,1396397
2026/01/04,8.96,8.9,8.6,8.66,8.96,-3.35,-0.3,1.1322901E7,1307862
2025/12/31,8.75,8.97,8.56,8.96,8.75,2.4,0.21,1.6762178E7,1917285
2025/12/30,8.45,8.8,8.45,8.75,8.45,3.55,0.3,2.0591554E7,2374678
2025/12/29,8.22,8.45,8.18,8.45,8.22,2.8,0.23,1.0582986E7,1271545
2025/12/28,8.13,8.3,8.14,8.22,8.13,1.11,0.09,4136093.75,501726
2025/12/25,8.18,8.26,8.11,8.13,8.18,-0.61,-0.05,3682449.0,452130
2025/12/24,8.33,8.35,8.18,8.18,8.33,-1.8,-0.15,8239723.0,1004365
2025/12/23,8.39,8.45,8.12,8.33,8.39,-0.48,-0.04,8378874.0,1017741
2025/12/22,8.42,8.5,8.36,8.39,8.42,-0.24,-0.02,4260136.5,505712
2025/12/21,8.31,8.49,8.31,8.42,8.31,1.32,0.11,2640852.75,313541
2025/12/18,8.34,8.54,8.31,8.31,8.34,-0.36,-0.03,4198938.0,498274
2025/12/17,8.2,8.47,8.2,8.34,8.2,1.59,0.13,6361340.5,758183
2025/12/16,8.3,8.35,8.17,8.2,8.3,-1.2,-0.1,4313441.0,523115
2025/12/15,8.5,8.56,8.29,8.3,8.5,-2.35,-0.2,6392123.5,763033
