«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,124.97,126.5,124.9,125.2,124.97,0.18,0.23,1350891.63,10791
2026/01/12,124.21,126.0,124.0,124.97,124.21,1.28,1.59,3089600.25,24847
2026/01/11,124.5,124.89,124.0,124.21,124.5,0.0,0.0,2134314.75,17155
2026/01/08,123.31,124.9,123.5,124.5,123.31,0.97,1.19,5448183.5,43750
2026/01/06,121.87,125.0,121.62,123.31,121.87,1.18,1.44,7544995.5,61302
2026/01/05,122.38,122.0,121.5,121.87,122.38,-0.42,-0.51,2323727.75,19058
2026/01/04,121.87,122.98,121.51,122.38,121.87,0.11,0.13,1003522.38,8199
2025/12/31,121.72,122.97,121.5,121.87,121.72,0.12,0.15,6158079.5,50473
2025/12/30,121.97,122.98,121.14,121.72,121.97,-0.61,-0.75,984413.5,8087
2025/12/29,122.44,122.89,121.82,121.97,122.44,-0.38,-0.47,2763749.75,22652
2025/12/28,122.49,122.5,122.1,122.44,122.49,-0.04,-0.05,2885688.5,23568
2025/12/25,122.14,122.89,121.87,122.49,122.14,0.29,0.35,1591355.63,12993
2025/12/24,121.99,122.3,121.77,122.14,121.99,0.25,0.3,696278.25,5709
2025/12/23,122.02,122.3,121.5,121.99,122.02,-0.01,-0.01,664628.63,5448
2025/12/22,122.02,122.3,121.95,122.02,122.02,-0.01,-0.01,947024.56,7760
2025/12/21,122.39,122.39,121.63,122.02,122.39,-0.3,-0.37,1674125.88,13716
2025/12/18,122.0,122.4,121.19,122.39,122.0,0.0,0.0,2321398.75,19010
2025/12/17,120.98,122.12,120.8,122.0,120.98,0.84,1.02,4668955.0,38286
2025/12/16,120.91,121.88,120.5,120.98,120.91,0.4,0.48,3801760.75,31411
2025/12/15,121.22,121.5,120.32,120.91,121.22,-0.4,-0.49,4076530.0,33692
2025/12/14,120.26,121.5,120.1,121.22,120.26,1.03,1.24,1137309.63,9410
2025/12/11,120.14,122.0,120.0,120.26,120.14,0.1,0.12,5334458.0,44380
2025/12/10,122.0,122.95,119.5,120.14,122.0,-1.07,-1.3,5346737.0,44341
2025/12/09,114.0,123.8,120.0,122.0,114.0,7.02,8.0,2.3522492E7,193039
2025/12/08,107.38,127.0,111.6,114.0,107.38,6.17,6.62,1.4679681E7,124501
2025/12/07,105.95,108.0,105.2,107.38,105.95,1.93,2.05,883056.13,8270
2025/12/04,106.89,107.75,105.0,105.95,106.89,0.1,0.11,303798.06,2867
2025/12/03,106.23,108.0,105.35,106.89,106.23,-0.22,-0.23,905813.94,8496
2025/12/02,106.23,106.95,105.0,106.23,106.23,-0.22,-0.23,297609.81,2812
2025/12/01,105.02,106.8,105.02,106.23,105.02,0.93,0.98,580089.0,5453
2025/11/30,105.02,106.9,105.04,105.02,105.02,0.48,0.5,172651.72,1628
2025/11/27,105.11,107.0,105.0,105.02,105.11,-0.1,-0.11,1467478.38,13922
2025/11/26,105.32,109.0,105.01,105.11,105.32,-0.11,-0.12,1161740.25,11021
2025/11/25,108.23,108.99,105.04,105.32,108.23,-1.23,-1.33,944270.31,8920
2025/11/24,108.05,110.97,107.01,108.23,108.05,-0.32,-0.35,808409.31,7457
2025/11/23,110.86,112.99,105.6,108.05,110.86,-2.53,-2.81,2141861.5,19391
2025/11/20,109.93,110.89,107.32,110.86,109.93,-2.37,-2.61,1271982.5,11589
2025/11/19,109.93,111.32,107.3,109.93,109.93,0.0,0.0,339619.84,3124
2025/11/18,110.0,111.48,109.0,109.93,110.0,-0.06,-0.07,667852.5,6056
2025/11/17,110.42,113.69,109.8,110.0,110.42,-0.38,-0.42,1715223.13,15480
2025/11/16,111.13,115.0,110.0,110.42,111.13,-0.64,-0.71,682198.06,6154
2025/11/13,113.09,117.0,111.0,111.13,113.09,-1.41,-1.59,2726571.5,24128
2025/11/12,112.88,117.5,112.15,113.09,112.88,0.19,0.21,3369319.75,29375
2025/11/11,106.81,119.0,105.5,112.88,106.81,5.68,6.07,1.7624236E7,154920
2025/11/10,106.47,107.7,106.0,106.81,106.47,-0.44,-0.47,498120.06,4660
2025/11/09,105.61,107.75,104.53,106.47,105.61,1.73,1.83,628666.69,5895
2025/11/06,104.92,107.7,105.0,105.61,104.92,1.03,1.08,1631554.5,15434
2025/11/05,105.98,108.5,104.55,104.92,105.98,-1.35,-1.43,1606002.25,15047
2025/11/04,104.59,107.0,104.8,105.98,104.59,0.9,0.94,1080516.0,10219
2025/11/03,104.41,105.99,103.78,104.59,104.41,1.24,1.29,842948.0,8058
2025/11/02,106.52,107.88,104.15,104.41,106.52,-2.22,-2.36,1062753.0,10100
2025/10/30,106.52,107.5,105.5,106.52,106.52,-0.76,-0.81,213258.52,2012
2025/10/29,106.52,107.9,105.5,106.52,106.52,0.45,0.48,198476.75,1865
2025/10/28,106.94,108.5,106.0,106.52,106.94,-0.79,-0.84,850691.38,7941
2025/10/27,107.84,108.5,106.51,106.94,107.84,-1.23,-1.33,1430052.13,13273
2025/10/26,106.96,109.99,105.0,107.84,106.96,2.69,2.88,4780125.5,44449
2025/10/23,107.37,108.0,105.0,106.96,107.37,-2.21,-2.37,975700.5,9135
2025/10/22,105.75,108.98,105.03,107.37,105.75,0.24,0.25,557341.06,5213
2025/10/21,106.22,108.0,105.02,105.75,106.22,-1.13,-1.2,862795.31,8139
2025/10/20,108.29,108.29,106.02,106.22,108.29,-2.1,-2.27,878671.13,8233
2025/10/19,107.09,109.0,107.0,108.29,107.09,1.13,1.21,752993.19,6967
2025/10/16,108.5,109.0,106.16,107.09,108.5,-1.38,-1.5,1649873.0,15264
2025/10/15,107.73,110.0,106.02,108.5,107.73,0.71,0.77,1426249.0,13133
2025/10/14,107.52,111.98,106.5,107.73,107.52,0.2,0.21,2941375.25,26751
2025/10/13,105.84,110.0,105.03,107.52,105.84,1.59,1.68,4504809.0,41611
2025/10/12,105.24,109.0,104.01,105.84,105.24,1.55,1.63,1855690.0,17493
2025/10/08,100.03,115.0,100.07,105.24,100.03,5.21,5.21,7321247.5,68244
2025/10/07,100.79,102.0,99.62,100.03,100.79,-0.75,-0.76,584429.63,5833
2025/10/06,99.5,103.28,98.6,100.79,99.5,1.3,1.29,1451638.25,14405
2025/10/05,99.97,102.5,99.0,99.5,99.97,-0.47,-0.47,610146.06,6098
2025/10/02,100.12,101.99,99.0,99.97,100.12,-0.15,-0.15,1174002.75,11723
2025/10/01,100.21,106.46,100.0,100.12,100.21,-0.09,-0.09,3381820.75,32978
2025/09/30,100.04,103.99,98.55,100.21,100.04,0.17,0.17,1393475.38,13850
2025/09/29,102.23,103.49,99.0,100.04,102.23,-1.2,-1.23,820417.94,8154
2025/09/28,101.28,104.99,101.1,102.23,101.28,0.24,0.24,469486.22,4591
2025/09/25,103.14,106.49,95.0,101.28,103.14,-2.02,-2.08,1445698.5,14243
2025/09/24,104.57,106.9,103.0,103.14,104.57,-1.37,-1.43,1191894.88,11538
2025/09/23,107.05,108.5,104.25,104.57,107.05,-2.32,-2.48,1482422.5,14066
2025/09/22,109.31,110.5,105.08,107.05,109.31,-1.66,-1.81,2625276.75,24512
2025/09/21,110.97,112.69,108.1,109.31,110.97,-2.59,-2.87,1646348.63,14935
2025/09/18,108.77,112.8,109.07,110.97,108.77,1.77,1.93,1815172.75,16304
2025/09/17,108.16,111.99,105.01,108.77,108.16,0.59,0.64,2079951.13,19115
2025/09/16,113.91,115.0,108.0,108.16,113.91,-5.05,-5.75,8534859.0,76829
2025/09/15,107.81,114.8,107.21,113.91,107.81,5.66,6.1,7040759.0,62815
2025/09/14,107.98,110.98,105.0,107.81,107.98,-0.16,-0.17,6335484.0,59227
2025/09/11,109.95,112.5,103.1,107.98,109.95,-1.79,-1.97,1.3441113E7,123873
2025/09/10,106.19,115.7,105.0,109.95,106.19,3.54,3.76,1.3947835E7,125015
2025/09/09,108.35,111.0,105.02,106.19,108.35,-1.99,-2.16,6716371.5,61769
2025/09/08,100.87,110.99,99.11,108.35,100.87,7.42,7.48,1.4962127E7,140874
2025/09/07,95.21,101.48,95.0,100.87,95.21,5.94,5.66,1.3732343E7,138725
2025/09/03,94.0,98.0,92.8,95.21,94.0,1.06,1.0,7173902.5,75281
2025/09/02,92.65,94.41,92.0,94.0,92.65,1.46,1.35,3406905.0,36327
2025/09/01,90.11,94.0,90.0,92.65,90.11,2.82,2.54,4879579.5,53299
2025/08/31,92.14,94.0,90.06,90.11,92.14,-2.2,-2.03,3957133.5,43465
2025/08/28,91.88,95.0,92.0,92.14,91.88,0.28,0.26,5363618.0,57578
2025/08/27,92.13,93.5,91.0,91.88,92.13,-0.27,-0.25,4793776.5,52159
2025/08/26,95.45,98.9,90.12,92.13,95.45,-3.48,-3.32,1.5016473E7,159436
2025/08/25,95.0,100.99,94.9,95.45,95.0,0.47,0.45,1.634831E7,167408
2025/08/24,85.03,98.5,85.0,95.0,85.03,11.73,9.97,1.6019774E7,169255
2025/08/21,85.9,86.6,84.95,85.03,85.9,-1.11,-0.95,901836.88,10560
2025/08/20,84.45,90.5,84.5,85.9,84.45,1.72,1.45,3566447.75,40569
2025/08/19,87.29,88.99,84.0,84.45,87.29,-3.25,-2.84,4135647.25,48291
2025/08/18,88.88,91.5,87.0,87.29,88.88,-1.79,-1.59,3339783.0,37699
2025/08/17,91.0,92.5,87.0,88.88,91.0,-2.33,-2.12,5205238.0,58309
2025/08/14,90.5,95.99,88.5,91.0,90.5,0.55,0.5,1.3939525E7,151515
2025/08/13,82.96,91.0,82.16,90.5,82.96,9.09,7.54,1.4704895E7,166826
2025/08/12,83.61,85.01,82.05,82.96,83.61,-1.32,-1.1,4468988.0,53581
2025/08/11,78.95,87.0,81.2,83.61,78.95,5.9,4.66,2.095287E7,248639
2025/08/10,74.6,83.0,73.9,78.95,74.6,5.83,4.35,6390694.5,80091
2025/08/07,75.0,76.0,73.74,74.6,75.0,-1.19,-0.89,1670224.0,22412
2025/08/06,76.64,79.0,75.0,75.0,76.64,-2.14,-1.64,1298345.5,17123
2025/08/05,74.33,79.99,75.0,76.64,74.33,3.11,2.31,3086419.5,39993
2025/08/04,73.41,75.79,74.0,74.33,73.41,1.05,0.77,1369011.88,18424
2025/08/03,76.19,77.7,73.05,73.41,76.19,-3.65,-2.78,3592169.0,48437
2025/07/31,76.28,79.9,75.21,76.19,76.28,-0.12,-0.09,1427681.63,18507
2025/07/30,76.71,80.5,76.05,76.28,76.71,0.0,-0.43,6282583.5,80024
2025/07/29,76.37,79.95,75.0,76.71,76.37,0.45,0.34,7786939.5,101029
2025/07/28,80.74,81.3,76.25,76.37,80.74,-5.41,-4.37,7663769.5,97804
2025/07/27,79.97,89.0,80.0,80.74,79.97,0.96,0.77,2.8697872E7,341547
