«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.69,2.7,2.64,2.66,2.69,-1.12,-0.03,1.0715702E7,4020668
2026/01/12,2.71,2.74,2.69,2.69,2.71,-0.74,-0.02,1.4868701E7,5492458
2026/01/11,2.69,2.76,2.71,2.71,2.69,0.74,0.02,8394878.0,3079794
2026/01/08,2.68,2.73,2.67,2.69,2.68,0.37,0.01,1.2603868E7,4678822
2026/01/06,2.68,2.71,2.66,2.68,2.68,0.0,0.0,1.1791395E7,4395789
2026/01/05,2.72,2.77,2.68,2.68,2.72,-1.47,-0.04,2.6318078E7,9701591
2026/01/04,2.81,2.84,2.75,2.76,2.81,-1.78,-0.05,2.0473394E7,7354990
2025/12/31,2.81,2.85,2.81,2.81,2.81,0.0,0.0,1.5230448E7,5383875
2025/12/30,2.8,2.83,2.8,2.81,2.8,0.36,0.01,1.9555408E7,6940551
2025/12/29,2.8,2.87,2.8,2.8,2.8,0.0,0.0,1.6503338E7,5821065
2025/12/28,2.79,2.82,2.79,2.8,2.79,0.36,0.01,2962737.5,1057124
2025/12/25,2.8,2.82,2.79,2.79,2.8,-0.36,-0.01,5861832.5,2092970
2025/12/24,2.78,2.81,2.78,2.8,2.78,0.72,0.02,4243807.0,1519486
2025/12/23,2.77,2.8,2.76,2.78,2.77,0.36,0.01,7254209.0,2611247
2025/12/22,2.8,2.83,2.74,2.77,2.8,-1.07,-0.03,1.2041398E7,4324989
2025/12/21,2.84,2.86,2.79,2.8,2.84,-1.41,-0.04,1.4444929E7,5146775
2025/12/18,2.83,2.89,2.83,2.84,2.83,0.35,0.01,1.7311228E7,6037974
2025/12/17,2.83,2.86,2.81,2.83,2.83,0.0,0.0,1.0096549E7,3565015
2025/12/16,2.88,2.9,2.82,2.83,2.88,-1.39,-0.04,9624563.0,3380817
2025/12/15,2.88,2.92,2.88,2.88,2.88,0.0,0.0,1.450528E7,5007872
2025/12/14,2.88,2.92,2.88,2.88,2.88,0.0,0.0,1.9822268E7,6845282
2025/12/11,2.93,2.93,2.87,2.88,2.93,-1.71,-0.05,2.1688382E7,7494535
2025/12/10,2.9,2.97,2.9,2.93,2.9,1.03,0.03,3.9671004E7,13503940
2025/12/09,2.82,2.95,2.8,2.9,2.82,2.84,0.08,1.04712448E8,36187493
2025/12/08,2.8,2.82,2.79,2.82,2.8,0.71,0.02,1.332486E7,4745433
2025/12/07,2.73,2.84,2.73,2.8,2.73,2.56,0.07,2.4321986E7,8668666
2025/12/04,2.74,2.77,2.72,2.73,2.74,-0.36,-0.01,1.1752351E7,4291819
2025/12/03,2.75,2.78,2.74,2.74,2.75,-0.36,-0.01,6835250.5,2484794
2025/12/02,2.77,2.81,2.75,2.75,2.77,-0.72,-0.02,1.3904007E7,5016642
2025/12/01,2.79,2.82,2.76,2.77,2.79,-0.72,-0.02,2.9793112E7,10665340
2025/11/30,2.7,2.8,2.71,2.79,2.7,3.33,0.09,5.9968372E7,21651661
2025/11/27,2.62,2.73,2.62,2.7,2.62,3.05,0.08,3.4347148E7,12835687
2025/11/26,2.62,2.66,2.61,2.62,2.62,0.0,0.0,1.2720446E7,4838365
2025/11/25,2.67,2.68,2.62,2.62,2.67,-1.87,-0.05,1.7824206E7,6740251
2025/11/24,2.68,2.7,2.65,2.67,2.68,-0.37,-0.01,5595658.5,2094811
2025/11/23,2.64,2.73,2.64,2.68,2.64,1.52,0.04,1.7995528E7,6681243
2025/11/20,2.63,2.66,2.63,2.64,2.63,0.38,0.01,5736519.0,2170719
2025/11/19,2.66,2.67,2.6,2.63,2.66,-1.13,-0.03,3.0485954E7,11589845
2025/11/18,2.7,2.72,2.66,2.66,2.7,-1.48,-0.04,1.9342206E7,7192940
2025/11/17,2.71,2.73,2.7,2.7,2.71,-0.37,-0.01,1.3910636E7,5129398
2025/11/16,2.71,2.73,2.7,2.71,2.71,0.0,0.0,2.010367E7,7409331
2025/11/13,2.73,2.75,2.7,2.71,2.73,-0.73,-0.02,1.826591E7,6708948
2025/11/12,2.73,2.75,2.73,2.73,2.73,0.0,0.0,9524993.0,3480886
2025/11/11,2.73,2.77,2.73,2.73,2.73,0.0,0.0,1.6140351E7,5875537
2025/11/10,2.76,2.78,2.71,2.73,2.76,-1.09,-0.03,2.063001E7,7537091
2025/11/09,2.74,2.78,2.72,2.76,2.74,0.73,0.02,4.119646E7,14946651
2025/11/06,2.71,2.76,2.71,2.74,2.71,1.11,0.03,1.9132168E7,6972606
2025/11/05,2.73,2.77,2.7,2.71,2.73,-0.73,-0.02,3.1169042E7,11424691
2025/11/04,2.72,2.75,2.71,2.73,2.72,0.37,0.01,1.7635114E7,6459361
2025/11/03,2.76,2.79,2.7,2.72,2.76,-1.45,-0.04,5.476822E7,20101691
2025/11/02,2.8,2.82,2.75,2.76,2.8,-1.43,-0.04,3.1359402E7,11291689
2025/10/30,2.83,2.88,2.79,2.8,2.83,-1.06,-0.03,6.2227084E7,22015592
2025/10/29,2.94,2.93,2.78,2.83,2.94,-3.74,-0.11,1.27977032E8,45042897
2025/10/28,2.95,2.98,2.92,2.94,2.95,-0.34,-0.01,1.0081266E7,3431367
2025/10/27,2.96,2.99,2.94,2.95,2.96,-0.34,-0.01,2.167718E7,7322955
2025/10/26,2.9,2.97,2.9,2.96,2.9,2.07,0.06,2.4666372E7,8396327
2025/10/23,2.9,2.93,2.89,2.9,2.9,0.0,0.0,2.0614852E7,7094834
2025/10/22,2.89,2.94,2.89,2.9,2.89,0.35,0.01,1.0918081E7,3752167
2025/10/21,2.91,2.92,2.88,2.89,2.91,-0.69,-0.02,2.2161596E7,7636064
2025/10/20,2.95,2.97,2.91,2.91,2.95,-1.36,-0.04,1.5575755E7,5322469
2025/10/19,2.93,2.98,2.92,2.95,2.93,0.68,0.02,1.6593278E7,5628890
2025/10/16,2.92,2.95,2.91,2.93,2.92,0.34,0.01,8799581.0,3009571
2025/10/15,2.92,2.94,2.89,2.92,2.92,0.0,0.0,2.0322032E7,6979536
2025/10/14,2.97,3.0,2.92,2.92,2.97,-1.68,-0.05,4.0796628E7,13841199
2025/10/13,2.96,3.02,2.96,2.97,2.96,0.34,0.01,4.2770532E7,14314484
2025/10/12,3.0,3.03,2.95,2.96,3.0,-1.33,-0.04,2.6648274E7,8951905
2025/10/08,3.03,3.07,2.98,3.0,3.03,-0.99,-0.03,3.5013796E7,11617790
2025/10/07,3.09,3.15,3.03,3.03,3.09,-1.94,-0.06,1.58908176E8,51317322
2025/10/06,2.87,3.12,2.85,3.09,2.87,7.67,0.22,2.26486384E8,74662904
2025/10/05,2.87,2.92,2.87,2.87,2.87,0.0,0.0,8296495.0,2874910
