«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,194.0,195.0,183.31,185.14,194.0,-4.57,-8.86,5144464.0,27307
2026/01/12,201.55,209.9,193.27,194.0,201.55,-3.75,-7.55,7565554.5,38438
2026/01/11,205.86,213.89,201.11,201.55,205.86,-2.09,-4.31,2212135.25,10857
2026/01/08,206.67,210.0,205.5,205.86,206.67,-0.57,-1.17,1147000.25,5540
2026/01/06,207.91,215.0,205.25,206.67,207.91,0.01,0.03,1328517.5,6424
2026/01/05,211.89,216.0,206.1,207.91,211.89,-1.88,-3.98,1431695.5,6822
2026/01/04,215.85,218.75,210.02,211.89,215.85,-1.83,-3.96,1263277.25,5921
2025/12/31,217.03,223.99,212.0,215.85,217.03,-0.54,-1.18,1114307.0,5161
2025/12/30,219.62,227.0,216.0,217.03,219.62,-0.74,-1.63,3642943.5,16548
2025/12/29,222.0,223.5,216.03,219.62,222.0,-1.98,-4.4,948559.44,4308
2025/12/28,225.42,228.98,220.02,222.0,225.42,-0.85,-1.92,716056.13,3206
2025/12/25,211.23,233.5,210.5,225.42,211.23,6.52,13.77,5442299.0,24200
2025/12/24,211.23,214.5,210.02,211.23,211.23,0.36,0.76,299271.13,1415
2025/12/23,209.94,215.0,210.0,211.23,209.94,0.98,2.06,393896.97,1864
2025/12/22,211.26,216.39,209.0,209.94,211.26,-0.62,-1.32,849537.81,4016
2025/12/21,222.31,224.4,210.02,211.26,222.31,-3.79,-8.42,1409486.75,6601
2025/12/18,226.03,226.5,220.0,222.31,226.03,-2.67,-6.03,353350.75,1587
2025/12/17,226.03,226.8,223.7,226.03,226.03,-0.9,-2.03,155016.13,687
2025/12/16,225.02,227.8,223.05,226.03,225.02,0.45,1.01,1178322.75,5226
2025/12/15,226.41,229.7,222.1,225.02,226.41,-0.62,-1.41,1862633.75,8270
2025/12/14,225.5,232.0,225.0,226.41,225.5,1.88,4.25,2191290.5,9587
2025/12/11,225.0,229.0,225.0,225.5,225.0,0.22,0.5,3497394.0,15483
2025/12/10,220.54,231.49,220.0,225.0,220.54,2.02,4.46,2255187.0,9969
2025/12/09,220.85,223.45,217.01,220.54,220.85,0.07,0.15,660895.5,2988
2025/12/08,223.18,226.59,220.3,220.85,223.18,-1.2,-2.68,900359.25,4071
2025/12/07,226.31,231.96,222.05,223.18,226.31,-1.38,-3.13,1812667.5,8059
2025/12/04,225.61,232.93,220.1,226.31,225.61,0.31,0.7,962946.5,4248
2025/12/03,224.62,233.0,220.0,225.61,224.62,0.44,0.99,2764088.25,12110
2025/12/02,204.1,235.0,202.88,224.62,204.1,10.05,20.52,1.1109846E7,49405
2025/12/01,202.87,210.0,204.0,204.1,202.87,0.56,1.14,1726672.0,8407
2025/11/30,200.01,211.0,200.11,202.87,200.01,2.08,4.16,530067.38,2605
2025/11/27,206.81,211.95,196.0,200.01,206.81,-0.39,-0.81,1834585.75,9158
2025/11/26,213.26,215.9,181.0,206.81,213.26,-2.04,-4.36,873647.31,4210
2025/11/25,215.83,216.5,211.8,213.26,215.83,-1.87,-4.03,504790.59,2364
2025/11/24,213.58,217.0,212.0,215.83,213.58,1.37,2.92,1301809.88,6044
2025/11/23,213.05,217.0,210.5,213.58,213.05,0.25,0.53,529308.56,2478
2025/11/20,213.06,217.9,211.0,213.05,213.06,0.0,-0.01,1017927.63,4776
2025/11/19,216.6,218.94,210.0,213.06,216.6,-1.55,-3.35,1440345.75,6776
2025/11/18,218.03,222.3,213.0,216.6,218.03,0.15,0.32,588843.44,2704
2025/11/17,218.24,223.97,218.0,218.03,218.24,0.21,0.46,1434841.5,6577
2025/11/16,219.63,225.0,218.01,218.24,219.63,-0.7,-1.53,819456.75,3735
2025/11/13,220.22,230.0,217.3,219.63,220.22,-0.1,-0.22,1288610.75,5846
2025/11/12,224.4,227.0,210.0,220.22,224.4,-1.86,-4.18,1369195.63,6248
2025/11/11,221.39,230.0,221.01,224.4,221.39,1.36,3.01,1564260.38,6955
2025/11/10,219.46,231.0,216.03,221.39,219.46,1.89,4.14,4292025.5,19144
2025/11/09,219.47,224.0,218.03,219.46,219.47,-0.21,-0.47,541906.44,2468
2025/11/06,218.03,224.8,216.2,219.47,218.03,0.9,1.97,778239.94,3555
2025/11/05,218.11,225.99,216.0,218.03,218.11,-0.05,-0.11,2254413.75,10243
2025/11/04,216.17,220.5,217.0,218.11,216.17,1.38,2.98,1497870.38,6847
2025/11/03,214.16,218.95,211.49,216.17,214.16,1.55,3.31,1765745.38,8214
2025/11/02,216.58,227.98,208.0,214.16,216.58,-1.12,-2.42,1807956.88,8366
2025/10/30,209.33,224.84,205.01,216.58,209.33,3.19,6.67,2021640.5,9266
2025/10/29,232.58,234.5,204.01,209.33,232.58,-10.0,-23.25,6307223.0,29220
2025/10/28,248.25,245.7,230.0,232.58,248.25,-7.35,-18.25,1652322.0,6945
2025/10/27,227.09,241.65,227.11,239.92,227.09,6.18,14.56,5499917.5,22386
2025/10/26,221.74,228.02,216.7,227.09,221.74,2.33,5.35,3581510.25,15357
2025/10/23,219.55,223.67,216.67,221.74,219.55,1.37,3.12,3270055.25,14274
2025/10/22,219.74,230.67,211.67,219.55,219.74,-0.03,-0.07,5432950.0,23701
2025/10/21,207.09,221.64,208.07,219.74,207.09,5.87,12.65,1.3461509E7,59720
2025/10/20,194.67,207.98,194.67,207.09,194.67,6.56,13.31,1.4070922E7,66904
2025/10/19,185.73,194.67,187.67,194.67,185.73,4.61,8.94,3978193.25,19952
2025/10/16,181.67,187.67,182.67,185.73,181.67,2.14,4.06,1.2346868E7,63933
2025/10/15,177.5,186.42,177.68,181.67,177.5,2.24,4.17,7961630.0,41764
2025/10/14,173.67,177.92,173.77,177.5,173.67,2.1,3.83,4913598.0,26550
2025/10/13,170.67,175.67,168.68,173.67,170.67,1.68,3.0,5486802.0,30079
2025/10/12,173.67,174.67,169.17,170.67,173.67,-1.65,-3.0,4321073.5,24116
2025/10/08,172.67,175.66,170.68,173.67,172.67,0.55,1.0,7872396.5,43419
2025/10/07,161.68,175.67,160.67,172.67,161.68,6.46,10.99,1.5253538E7,85173
2025/10/06,161.67,163.67,161.08,161.68,161.67,0.01,0.01,1961728.88,11519
2025/10/05,161.8,164.41,161.0,161.67,161.8,-0.08,-0.13,2786637.0,16370
2025/10/02,161.67,164.4,159.93,161.8,161.67,0.08,0.13,2182196.5,12813
2025/10/01,161.29,166.67,152.67,161.67,161.29,0.22,0.38,1.9912288E7,118136
2025/09/30,162.04,162.67,158.67,161.29,162.04,-0.44,-0.75,4276471.0,25328
2025/09/29,161.43,166.67,158.68,162.04,161.43,0.36,0.61,9979903.0,58718
2025/09/28,163.29,166.67,159.67,161.43,163.29,-1.08,-1.86,6512721.0,38393
2025/09/25,161.42,167.17,158.67,163.29,161.42,1.1,1.87,8882246.0,51855
2025/09/24,165.96,168.16,160.83,161.42,165.96,-2.6,-4.54,3380777.0,19748
2025/09/23,160.48,168.47,158.27,165.96,160.48,3.25,5.48,5339655.5,30933
2025/09/22,165.78,169.67,157.82,160.48,165.78,-3.04,-5.3,9872008.0,58037
2025/09/21,166.93,171.67,164.67,165.78,166.93,-0.66,-1.15,1820108.0,10369
2025/09/18,173.76,177.92,166.67,166.93,173.76,-3.75,-6.83,4486940.5,25072
2025/09/17,170.57,178.62,166.67,173.76,170.57,1.78,3.19,3161546.25,17339
2025/09/16,174.62,180.37,169.67,170.57,174.62,-2.21,-4.05,3109891.25,17201
2025/09/15,178.54,181.67,168.67,174.62,178.54,-1.7,-3.17,6172534.0,33810
2025/09/14,161.92,184.47,163.23,178.54,161.92,9.76,16.620001,1.6950078E7,91040
2025/09/11,169.2,175.47,160.67,161.92,169.2,-4.1,-7.28,1.4138013E7,80698
2025/09/10,171.46,177.67,168.67,169.2,171.46,-1.26,-2.26,3322372.5,18604
2025/09/09,173.85,189.57,169.67,171.46,173.85,-2.17,-3.96,4728252.5,25908
2025/09/08,187.16,195.52,171.67,173.85,187.16,-6.81,-13.31,8218365.5,43431
2025/09/07,167.98,199.67,168.73,187.16,167.98,10.88,19.18,1.952921E7,100315
2025/09/03,160.75,174.17,160.67,167.98,160.75,4.28,7.23,1.4811593E7,84609
2025/09/02,151.67,165.67,151.67,160.75,151.67,5.68,9.08,9459482.0,55797
2025/09/01,153.18,157.67,146.77,151.67,153.18,-0.93,-1.51,3974548.0,24694
2025/08/31,159.67,164.66,151.92,153.18,159.67,-4.61,-7.75,8217459.0,49620
2025/08/28,157.12,165.67,153.94,159.67,157.12,1.54,2.55,1.1281467E7,66904
2025/08/27,151.92,161.63,150.73,157.12,151.92,3.24,5.2,1.625363E7,98287
2025/08/26,143.59,155.97,142.77,151.92,143.59,5.48,8.33,2.7917942E7,175500
2025/08/25,137.82,150.62,136.33,143.59,137.82,4.0,5.85,2.1816944E7,142843
2025/08/24,130.23,146.67,130.78,137.82,130.23,5.48,7.59,3.6560784E7,249729
2025/08/21,124.73,134.15,123.67,130.23,124.73,4.13,5.5,1.6646042E7,119221
2025/08/20,127.83,129.13,123.67,124.73,127.83,-2.28,-3.1,3794196.75,28271
2025/08/19,129.47,132.66,126.94,127.83,129.47,-1.66,-2.29,4869212.5,35420
2025/08/18,130.67,135.67,128.77,129.47,130.67,-0.86,-1.2,1.3135845E7,93657
2025/08/17,131.67,134.67,129.67,130.67,131.67,-0.71,-1.0,1.6035797E7,115180
2025/08/14,119.77,140.47,118.96,131.67,119.77,9.29,11.9,8.0498992E7,573032
2025/08/13,119.02,121.42,118.47,119.77,119.02,0.59,0.75,4381297.0,34274
2025/08/12,119.4,124.65,117.67,119.02,119.4,-0.3,-0.38,9901505.0,76703
2025/08/11,121.49,123.66,118.73,119.4,121.49,-1.61,-2.09,3019467.75,23556
2025/08/10,119.48,124.67,119.57,121.49,119.48,1.57,2.01,4230359.5,32359
2025/08/07,118.67,123.16,118.76,119.48,118.67,0.64,0.81,5658990.0,44032
2025/08/06,123.64,125.66,118.32,118.67,123.64,-3.77,-4.97,1.1137401E7,86453
2025/08/05,125.67,129.36,121.83,123.64,125.67,-1.51,-2.03,1.459932E7,109126
2025/08/04,118.98,133.17,118.17,125.67,118.98,5.25,6.69,4.4234496E7,329086
2025/08/03,120.65,123.51,117.67,118.98,120.65,-1.29,-1.67,1.0142657E7,79817
2025/07/31,119.59,124.67,119.68,120.65,119.59,0.83,1.06,1.2838065E7,98566
2025/07/30,123.63,125.52,118.67,119.59,123.63,0.0,-3.96,7750979.5,59488
2025/07/29,123.81,128.67,122.69,123.63,123.81,-0.14,-0.18,1.4911606E7,111729
2025/07/28,127.1,129.67,121.9,123.81,127.1,-2.43,-3.29,7259946.0,54757
2025/07/27,131.02,135.26,126.17,127.1,131.02,-2.81,-3.92,8114661.5,58827
2025/07/23,127.39,138.67,125.18,131.02,127.39,2.67,3.63,2.7337076E7,192520
2025/07/22,132.92,136.67,126.77,127.39,132.92,-3.92,-5.53,1.4433661E7,103520
2025/07/21,135.62,149.67,132.68,132.92,135.62,-1.88,-2.7,3.99266E7,268364
2025/07/20,114.49,136.17,118.18,135.62,114.49,17.200001,21.129999,3.8919184E7,281668
2025/07/17,102.57,120.67,100.37,114.49,102.57,10.75,11.92,2.4296468E7,202600
2025/07/16,94.05,111.17,94.57,102.57,94.05,8.32,8.52,1.8142962E7,162342
2025/07/15,92.74,94.67,92.49,94.05,92.74,1.3,1.31,1195981.13,11723
2025/07/14,90.4,93.46,90.47,92.74,90.4,2.37,2.34,1220792.63,12134
2025/07/13,94.25,96.65,89.82,90.4,94.25,-3.75,-3.85,2576201.0,25630
2025/07/07,190.68,198.44,191.67,194.97,190.68,2.0,3.98,4462722.0,22008
2025/07/06,190.8,195.65,189.02,190.68,190.8,0.44,0.87,3146999.5,15742
2025/07/02,189.05,193.64,188.12,190.8,189.05,1.32,2.61,864289.69,4339
2025/07/01,193.15,198.67,187.27,189.05,193.15,-2.03,-4.1,4187886.75,21124
2025/06/30,195.4,201.67,191.67,193.15,195.4,-0.85,-1.73,3471377.5,17173
2025/06/29,194.69,209.57,193.12,195.4,194.69,0.35,0.71,8164919.5,39368
2025/06/25,166.52,201.49,171.67,194.69,166.52,16.110001,28.17,1.4035943E7,71204
2025/06/24,162.97,170.37,165.67,166.52,162.97,2.07,3.55,778711.25,4444
2025/06/23,159.97,164.67,159.67,162.97,159.97,1.78,3.0,389587.06,2279
2025/06/22,155.65,161.65,154.78,159.97,155.65,2.63,4.32,753843.81,4520
2025/06/19,155.7,160.17,153.67,155.65,155.7,-0.32,-0.53,645055.81,3935
2025/06/18,155.7,163.17,153.68,155.7,155.7,1.96,3.22,230984.19,1402
2025/06/17,157.65,161.15,151.67,155.7,157.65,-1.19,-1.98,1830657.88,11284
2025/06/16,156.79,161.66,153.67,157.65,156.79,0.53,0.88,964404.31,5842
2025/06/15,161.72,161.67,156.67,156.79,161.72,-1.5,-2.55,826146.0,4971
2025/06/12,164.84,166.67,159.72,161.72,164.84,-1.83,-3.17,1647252.63,9672
2025/06/11,164.84,170.67,162.98,164.84,164.84,0.25,0.44,201311.55,1160
2025/06/10,164.84,167.12,162.95,164.84,164.84,-0.56,-0.97,65719.75,380
2025/06/04,164.84,167.62,162.73,164.84,164.84,-0.53,-0.91,65261.76,380
2025/06/03,165.31,167.67,163.84,164.84,165.31,-0.85,-1.47,1161211.5,6663
2025/06/02,162.33,167.67,163.78,165.31,162.33,3.13,5.34,370601.19,2135
2025/06/01,163.6,165.62,161.67,162.33,163.6,0.61,1.05,638185.0,3742
2025/05/29,164.08,165.66,162.69,163.6,164.08,-0.81,-1.39,446142.63,2594
2025/05/28,164.08,166.46,162.7,164.08,164.08,-0.8,-1.38,84306.61,489
2025/05/27,164.08,167.17,162.98,164.08,164.08,-0.47,-0.81,273654.75,1589
2025/05/26,166.43,166.66,163.92,164.08,166.43,-0.3,-0.52,484569.47,2805
2025/05/25,166.43,168.67,163.22,166.43,166.43,-0.43,-0.76,98665.44,563
2025/05/22,166.43,167.17,162.8,166.43,166.43,0.0,0.0,96714.57,561
2025/05/21,166.43,168.02,162.57,166.43,166.43,0.0,0.0,221046.88,1283
2025/05/20,164.52,171.67,159.27,166.43,164.52,1.1,1.91,313097.53,1793
2025/05/19,164.52,166.67,161.88,164.52,164.52,-0.72,-1.24,238801.63,1392
2025/05/18,164.52,168.15,163.77,164.52,164.52,-0.43,-0.74,227553.16,1318
2025/05/15,171.46,169.07,163.77,164.52,171.46,-4.04,-7.27,519353.31,3002
2025/05/14,171.46,169.47,163.77,171.46,171.46,-3.75,-6.74,66131.84,375
2025/05/08,171.46,171.67,166.67,-8.333,171.46,-2.66,-4.79,176955.38,999
2025/05/07,170.41,171.67,164.3,171.46,170.41,0.68,1.21,683990.31,3839
2025/05/06,164.74,171.67,165.67,170.41,164.74,3.37,5.83,1008423.88,5659
2025/05/05,156.7,170.66,159.32,164.74,156.7,7.25,11.96,1538807.0,8867
2025/05/04,157.32,161.67,155.57,156.7,157.32,-0.37,-0.62,2159480.75,13057
2025/04/30,159.75,161.37,154.67,157.32,159.75,-1.24,-2.08,733685.56,4452
2025/04/29,157.99,161.62,157.67,159.75,157.99,-0.19,-0.32,309340.19,1841
2025/04/28,152.02,160.17,153.2,157.99,152.02,4.77,7.65,1317190.13,8000
2025/04/27,152.76,155.67,150.67,152.02,152.76,1.19,1.91,610567.0,3790
2025/04/23,148.67,155.16,148.67,152.76,148.67,2.61,4.09,790138.56,4887
2025/04/22,147.67,154.62,146.97,148.67,147.67,0.64,1.0,1139888.63,7213
2025/04/17,148.27,151.42,147.2,147.67,148.27,0.89,1.4,455863.22,2918
2025/04/16,148.27,151.61,147.29,-8.333,148.27,-0.06,-0.1,275045.53,1755
2025/04/15,150.19,151.02,146.67,148.27,150.19,-2.22,-3.52,388272.0,2478
2025/04/14,150.19,152.62,144.17,-8.333,150.19,-2.03,-3.22,76417.91,493
2025/04/13,150.19,154.66,143.67,150.19,150.19,0.86,1.37,156987.77,1004
2025/04/10,150.19,155.42,146.8,-8.333,150.19,1.44,2.28,36646.05,233
2025/04/09,150.19,155.47,145.78,-8.333,150.19,-2.78,-4.41,76400.53,480
2025/04/08,150.19,155.66,151.67,-8.333,150.19,0.95,1.5,258307.08,1614
2025/04/07,150.19,155.96,147.75,-8.333,150.19,0.3,0.48,180182.23,1128
2025/04/06,154.56,157.42,146.67,150.19,154.56,-2.68,-4.37,658779.94,4129
2025/04/03,145.88,161.67,151.89,154.56,145.88,5.63,8.68,1023810.88,6267
2025/03/27,145.88,158.67,154.22,-8.333,145.88,5.47,8.44,192884.45,1163
2025/03/26,145.88,159.41,151.67,145.88,145.88,3.75,5.79,126643.89,782
2025/03/25,168.3,169.66,143.67,145.88,168.3,-13.94,-24.629999,601229.44,3755
2025/03/24,168.3,170.66,161.84,168.3,168.3,-3.18,-5.62,91408.26,531
2025/03/23,169.66,178.17,166.67,168.3,169.66,0.0,0.0,851465.94,4742
2025/03/20,141.62,171.61,143.67,169.66,141.62,18.709999,28.049999,1416062.25,8176
2025/03/19,141.62,146.67,143.78,141.62,141.62,1.44,2.16,103159.23,671
2025/03/18,141.62,146.66,143.67,141.62,141.62,1.89,2.84,72201.5,469
2025/03/17,141.62,146.67,143.67,141.62,141.62,3.37,5.05,112043.69,725
2025/03/16,141.62,146.21,142.17,141.62,141.62,1.09,1.63,261206.41,1709
2025/03/13,137.84,141.67,136.78,141.62,137.84,2.59,3.78,991632.38,6675
2025/03/12,136.86,140.67,134.77,137.84,136.86,-0.13,-0.19,344192.91,2353
2025/03/11,134.75,138.66,134.79,136.86,134.75,1.47,2.11,434566.84,2994
2025/03/10,139.46,140.67,132.68,134.75,139.46,-0.67,-0.99,981953.94,6826
2025/03/09,139.46,140.42,134.73,139.46,139.46,0.37,0.55,191293.2,1321
2025/03/06,133.7,140.56,134.67,139.46,133.7,4.59,6.52,564861.88,3865
2025/03/05,133.7,140.67,134.78,133.7,133.7,4.75,6.75,76655.45,520
