«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,31.97,32.95,31.4,31.65,31.97,-1.0,-0.32,5.7238272E7,1774451
2026/01/12,32.3,32.3,31.32,31.97,32.3,-0.99,-0.32,5.289644E7,1657133
2026/01/11,29.77,32.39,29.67,32.3,29.77,8.5,2.53,1.63447472E8,5217234
2026/01/08,28.74,30.0,28.65,29.77,28.74,3.58,1.03,7.8223168E7,2629806
2026/01/06,28.2,29.25,28.2,28.74,28.2,1.91,0.54,4.3662856E7,1513930
2026/01/05,29.03,29.5,27.95,28.2,29.03,-2.86,-0.83,2.6737496E7,941921
2026/01/04,29.9,30.0,28.92,29.03,29.9,-2.91,-0.87,3.4603524E7,1173445
2025/12/31,29.15,29.9,29.15,29.9,29.15,2.57,0.75,3.6456864E7,1236612
2025/12/30,29.4,29.7,29.1,29.15,29.4,-0.85,-0.25,2.5469298E7,870882
2025/12/29,29.4,29.71,29.12,29.4,29.4,0.34,0.1,1.3960354E7,474589
2025/12/28,29.57,29.9,29.02,29.4,29.57,-0.57,-0.17,4.6618216E7,1585063
2025/12/25,29.7,29.95,29.29,29.57,29.7,-0.44,-0.13,8360367.5,283588
2025/12/24,29.5,30.0,29.5,29.7,29.5,0.68,0.2,2.817499E7,945996
2025/12/23,29.0,29.65,29.0,29.5,29.0,1.72,0.5,4.2504956E7,1444331
2025/12/22,29.0,29.23,28.67,29.0,29.0,0.0,0.0,1.5993063E7,553486
2025/12/21,27.99,29.07,27.9,29.0,27.99,3.61,1.01,4.5929632E7,1598850
2025/12/18,28.2,28.49,27.98,27.99,28.2,-0.74,-0.21,2.3624792E7,840898
2025/12/17,28.25,28.76,28.0,28.2,28.25,-0.18,-0.05,4.448726E7,1573941
2025/12/16,28.71,28.88,27.93,28.25,28.71,-1.6,-0.46,5.4583932E7,1932781
2025/12/15,28.95,29.2,28.55,28.71,28.95,-0.52,-0.15,8.7796736E7,3058656
2025/12/14,29.4,29.97,28.66,28.95,29.4,-1.53,-0.45,3.6703816E7,1265169
2025/12/11,28.91,30.0,28.91,29.4,28.91,1.69,0.49,1.5083672E8,5099488
2025/12/10,28.0,29.0,28.01,28.91,28.0,3.25,0.91,6.5286152E7,2270452
2025/12/09,27.59,28.24,27.5,28.0,27.59,1.49,0.41,5.0189932E7,1798086
2025/12/08,26.97,27.9,27.3,27.59,26.97,2.89,0.78,5.7546452E7,2075842
2025/12/07,27.71,28.17,26.91,26.97,27.71,-2.67,-0.74,3.07704E7,1127184
2025/12/04,27.5,29.0,27.59,27.71,27.5,0.76,0.21,1.06808696E8,3799194
2025/12/03,26.9,27.5,26.52,27.5,26.9,2.23,0.6,6.6248744E7,2440834
2025/12/02,27.1,27.9,26.8,26.9,27.1,-0.74,-0.2,4.61159E7,1677985
2025/12/01,25.97,27.9,25.81,27.1,25.97,4.35,1.13,1.49202688E8,5523398
2025/11/30,24.55,26.0,24.56,25.97,24.55,5.78,1.42,7.3294048E7,2881567
2025/11/27,23.87,24.88,23.6,24.55,23.87,2.85,0.68,5.0527956E7,2070904
2025/11/26,23.79,23.99,23.5,23.87,23.79,0.34,0.08,2.4568582E7,1033067
2025/11/25,24.35,24.6,23.74,23.79,24.35,-2.3,-0.56,3.3555432E7,1394205
2025/11/24,24.9,25.29,24.25,24.35,24.9,-2.21,-0.55,3.70372E7,1492619
2025/11/23,25.31,25.95,24.81,24.9,25.31,-1.62,-0.41,2.5752552E7,1023530
2025/11/20,24.99,26.04,24.99,25.31,24.99,1.28,0.32,1.04526896E8,4110380
2025/11/19,25.3,25.7,24.53,24.99,25.3,-1.23,-0.31,1.0148404E8,4056008
2025/11/18,25.68,25.95,25.05,25.3,25.68,-1.48,-0.38,3.5987248E7,1420829
2025/11/17,24.82,26.7,25.03,25.68,24.82,3.46,0.86,6.7353136E7,2622254
2025/11/16,27.77,29.0,27.5,28.5,27.77,2.63,0.73,9.8087808E7,3453968
2025/11/13,27.98,28.3,27.5,27.77,27.98,-0.75,-0.21,3.86523E7,1391150
2025/11/12,27.35,28.5,27.44,27.98,27.35,2.3,0.63,1.0122356E8,3617794
2025/11/11,26.25,28.08,26.26,27.35,26.25,4.19,1.1,1.48571024E8,5435923
2025/11/10,26.5,26.8,26.03,26.25,26.5,-0.94,-0.25,5.1728828E7,1967263
2025/11/09,25.91,26.7,25.68,26.5,25.91,2.28,0.59,6.8429112E7,2606363
2025/11/06,26.28,26.58,25.9,25.91,26.28,-1.41,-0.37,5.2407528E7,1998451
2025/11/05,26.0,26.65,25.91,26.28,26.0,1.08,0.28,7.7826232E7,2968429
2025/11/04,26.15,26.4,25.93,26.0,26.15,-0.57,-0.15,3.2690576E7,1254851
2025/11/03,26.0,26.37,25.89,26.15,26.0,0.58,0.15,4.2935236E7,1645513
2025/11/02,26.24,26.65,25.94,26.0,26.24,-0.91,-0.24,3.219462E7,1223496
2025/10/30,25.9,26.88,25.77,26.24,25.9,1.31,0.34,9.3893648E7,3561146
2025/10/29,24.93,26.19,24.55,25.9,24.93,3.89,0.97,1.15868152E8,4509569
2025/10/28,25.03,25.46,24.92,24.93,25.03,-0.4,-0.1,5.4245596E7,2165566
2025/10/27,25.36,25.89,24.8,25.03,25.36,-1.3,-0.33,7.4975328E7,2983811
2025/10/26,24.89,25.89,25.0,25.36,24.89,1.89,0.47,5.4743048E7,2141643
