«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/12/01,14.99,16.48,14.45,16.15,14.99,7.74,1.16,2.1805992E7,1401532
2025/11/30,13.37,15.01,13.4,14.99,13.37,12.12,1.62,4.4953888E7,3131225
2025/11/27,12.6,13.67,12.61,13.37,12.6,6.11,0.77,5.2542584E7,4029827
2025/11/26,12.84,13.0,12.05,12.6,12.84,-1.87,-0.24,2.5862524E7,2044099
2025/11/25,13.54,13.65,12.4,12.84,13.54,-5.17,-0.7,3.9746952E7,3071110
2025/11/24,14.06,14.31,13.5,13.54,14.06,-2.92,-0.41,3.111958E7,2249427
2025/11/23,14.51,14.69,14.05,14.06,14.51,-3.1,-0.45,1.2334E7,861457
2025/11/20,13.8,14.85,13.8,14.51,13.8,5.14,0.71,4.5342452E7,3194367
2025/11/19,14.72,14.72,13.73,13.8,14.72,-6.25,-0.92,7.7471264E7,5537141
