«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,3.84,3.86,3.71,3.73,3.84,-2.86,-0.11,6196439.5,1638439
2026/01/12,3.85,3.97,3.83,3.84,3.85,-0.26,-0.01,9907940.0,2540737
2026/01/11,3.87,3.95,3.84,3.85,3.87,-0.52,-0.02,4588843.0,1181565
2026/01/08,3.87,3.97,3.85,3.87,3.87,0.0,0.0,8666983.0,2217953
2026/01/06,3.91,4.01,3.87,3.87,3.91,-1.02,-0.04,1.1005708E7,2793915
2026/01/05,3.89,4.05,3.82,3.91,3.89,0.51,0.02,2.0085996E7,5085194
2026/01/04,3.84,3.96,3.85,3.89,3.84,1.3,0.05,9168493.0,2348875
2025/12/31,3.83,4.08,3.82,3.84,3.83,0.26,0.01,4.0054816E7,10082262
2025/12/30,3.82,3.86,3.8,3.83,3.82,0.26,0.01,4403633.0,1150682
2025/12/29,3.87,3.91,3.82,3.82,3.87,-1.29,-0.05,5886172.0,1534703
2025/12/28,3.8,4.0,3.82,3.87,3.8,1.84,0.07,1.5212103E7,3876621
2025/12/25,3.81,3.87,3.79,3.8,3.81,-0.26,-0.01,3926032.75,1028800
2025/12/24,3.79,3.86,3.8,3.81,3.79,0.53,0.02,4135379.0,1083856
2025/12/23,3.83,3.9,3.74,3.79,3.83,-1.04,-0.04,1.0685157E7,2790875
2025/12/22,3.89,3.95,3.83,3.83,3.89,-1.54,-0.06,7533087.0,1936360
2025/12/21,3.82,3.96,3.82,3.89,3.82,1.83,0.07,9708697.0,2494396
2025/12/18,3.86,3.9,3.81,3.82,3.86,-1.04,-0.04,6956841.5,1814748
2025/12/17,3.98,4.0,3.84,3.86,3.98,-3.02,-0.12,1.3047064E7,3343021
2025/12/16,3.96,4.09,3.92,3.98,3.96,0.51,0.02,6.1138268E7,15313049
2025/12/15,3.8,3.96,3.77,3.96,3.8,4.21,0.16,3.553486E7,9084263
2025/12/14,3.83,3.89,3.77,3.8,3.83,-0.78,-0.03,7323801.0,1912640
2025/12/11,3.88,3.93,3.82,3.83,3.88,-1.29,-0.05,1.2194633E7,3160400
2025/12/10,3.93,3.96,3.83,3.88,3.93,-1.27,-0.05,1.8689554E7,4814125
2025/12/09,3.83,4.01,3.81,3.93,3.83,2.61,0.1,4.867882E7,12425923
2025/12/08,3.93,4.0,3.81,3.83,3.93,-2.54,-0.1,5.0045872E7,12833054
2025/12/07,4.16,4.35,3.86,3.93,4.16,-5.53,-0.23,1.1097616E8,27188351
2025/12/04,3.47,4.16,3.43,4.16,3.47,19.879999,0.69,9.8256256E7,25503759
2025/12/03,3.55,3.57,3.44,3.47,3.55,-2.25,-0.08,1.1125196E7,3174019
2025/12/02,3.36,3.56,3.35,3.55,3.36,5.65,0.19,3.0822498E7,8922604
2025/12/01,3.25,3.39,3.26,3.36,3.25,3.38,0.11,1.1331327E7,3392011
2025/11/30,3.25,3.31,3.23,3.25,3.25,-0.31,-0.01,6353468.0,1944976
2025/11/27,3.28,3.35,3.22,3.25,3.28,-1.22,-0.04,2534041.5,774467
2025/11/26,3.26,3.34,3.16,3.28,3.26,0.61,0.02,8691691.0,2656997
2025/11/25,3.16,3.27,3.11,3.26,3.16,3.16,0.1,5548951.5,1746089
2025/11/24,3.23,3.28,3.12,3.16,3.23,-2.79,-0.09,4114015.0,1297848
2025/11/23,3.26,3.32,3.22,3.23,3.26,-0.92,-0.03,3981263.25,1223682
2025/11/20,3.33,3.43,3.25,3.26,3.33,-2.1,-0.07,6069312.5,1814397
2025/11/19,3.28,3.38,3.25,3.33,3.28,1.52,0.05,5069243.0,1519282
2025/11/18,3.24,3.38,3.23,3.28,3.24,1.23,0.04,7977340.0,2423073
2025/11/17,3.34,3.36,3.22,3.24,3.34,-2.99,-0.1,8309646.0,2547226
2025/11/16,3.25,3.36,3.23,3.34,3.25,2.77,0.09,6148403.0,1862962
2025/11/13,3.41,3.45,3.24,3.25,3.41,-4.69,-0.16,9314582.0,2815236
2025/11/12,3.4,3.44,3.33,3.41,3.4,0.29,0.01,4335997.0,1284021
2025/11/11,3.52,3.59,3.37,3.4,3.52,-3.41,-0.12,1.0163353E7,2917326
2025/11/10,3.4,3.55,3.35,3.52,3.4,3.53,0.12,6661165.5,1936831
2025/11/09,3.47,3.5,3.4,3.4,3.47,-2.02,-0.07,5217663.0,1521920
2025/11/06,3.4,3.55,3.37,3.47,3.4,2.06,0.07,2.218914E7,6387926
2025/11/05,3.25,3.41,3.22,3.4,3.25,4.62,0.15,1.9783858E7,5919007
2025/11/04,3.14,3.34,3.12,3.25,3.14,3.5,0.11,2.9849848E7,9094685
2025/11/03,3.15,3.2,3.12,3.14,3.15,-0.32,-0.01,4637240.0,1471778
2025/11/02,3.15,3.22,3.15,3.15,3.15,0.0,0.0,1.4271254E7,4490662
2025/10/30,3.04,3.15,3.02,3.15,3.04,3.62,0.11,6527131.0,2100753
2025/10/29,3.07,3.1,3.01,3.04,3.07,-0.98,-0.03,2991631.5,984309
2025/10/28,3.13,3.14,3.06,3.07,3.13,-1.92,-0.06,3974951.75,1286095
2025/10/27,3.15,3.16,3.11,3.13,3.15,-0.63,-0.02,3117932.5,994102
