«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.37,4.4,4.22,4.22,4.37,-3.43,-0.15,750740.69,176069
2026/01/12,4.3,4.45,4.18,4.37,4.3,-2.09,-0.09,708409.75,160908
2026/01/11,4.29,4.4,4.13,4.3,4.29,1.17,0.05,187715.69,43611
2026/01/08,4.27,4.4,4.08,4.29,4.27,0.47,0.02,392401.34,91446
2026/01/06,4.35,4.44,4.07,4.27,4.35,0.46,0.02,209883.55,48842
2026/01/05,4.4,4.46,4.29,4.35,4.4,0.0,0.0,272931.44,62939
2026/01/04,4.36,4.47,4.0,4.4,4.36,-1.61,-0.07,563846.44,131503
2025/12/31,4.47,4.5,4.33,4.36,4.47,-0.22,-0.01,217671.08,49804
2025/12/30,4.67,4.69,4.35,4.47,4.67,-4.71,-0.22,748007.44,165582
2025/12/29,4.62,4.69,4.3,4.67,4.62,1.52,0.07,2452388.75,544106
2025/12/28,4.48,4.82,4.23,4.62,4.48,3.12,0.14,2469796.25,553502
2025/12/25,4.15,4.54,4.07,4.48,4.15,7.95,0.33,3014084.25,693850
2025/12/24,3.93,4.15,3.81,4.15,3.93,5.6,0.22,2155368.75,538020
2025/12/23,4.02,4.08,3.91,3.93,4.02,-2.24,-0.09,1824029.0,459668
2025/12/22,4.02,4.14,4.01,4.02,4.02,0.0,0.0,1775221.0,440975
2025/12/21,4.15,4.2,4.02,4.02,4.15,-3.13,-0.13,1553839.13,381692
2025/12/18,4.16,4.25,4.08,4.15,4.16,-0.24,-0.01,433239.44,104836
2025/12/17,4.22,4.36,4.1,4.16,4.22,-1.42,-0.06,548007.94,131325
2025/12/16,4.35,4.38,4.12,4.22,4.35,-3.45,-0.15,892727.19,210357
2025/12/15,4.0,4.4,4.08,4.35,4.0,8.75,0.35,893253.13,208433
2025/12/14,4.4,4.41,3.97,4.0,4.4,-9.09,-0.4,1542988.5,371212
2025/12/11,4.47,4.8,4.33,4.4,4.47,-1.57,-0.07,765582.06,171352
2025/12/10,4.07,4.47,4.02,4.47,4.07,9.83,0.4,3390798.75,786391
2025/12/09,4.01,4.1,3.93,4.07,4.01,2.24,0.09,1961379.75,489233
2025/12/08,3.93,4.08,3.91,4.01,3.93,0.0,0.0,503840.34,125668
2025/12/07,3.93,4.1,3.85,3.93,3.93,1.27,0.05,46125.61,11741
2025/12/04,3.99,4.06,3.93,3.93,3.99,0.25,0.01,555515.88,140535
2025/12/03,3.99,4.06,3.96,3.99,3.99,0.75,0.03,765669.38,191404
2025/12/02,3.94,4.04,3.92,3.99,3.94,1.02,0.04,597220.75,150442
2025/12/01,4.0,4.08,3.91,3.94,4.0,-1.5,-0.06,1010264.13,253089
2025/11/30,3.89,4.05,3.83,4.0,3.89,3.6,0.14,807989.38,204449
2025/11/27,3.85,3.92,3.81,3.89,3.85,1.82,0.07,550580.38,142243
2025/11/26,3.88,3.91,3.8,3.85,3.88,-2.06,-0.08,348463.63,90506
2025/11/25,3.84,3.93,3.84,3.88,3.84,0.78,0.03,327270.09,84487
2025/11/24,3.87,3.92,3.8,3.84,3.87,-0.78,-0.03,549925.88,143148
2025/11/23,3.9,3.95,3.85,3.87,3.9,-0.77,-0.03,416632.66,107403
2025/11/20,3.9,3.99,3.85,3.9,3.9,0.0,0.0,2464969.25,635556
2025/11/19,3.89,4.07,3.86,3.9,3.89,0.26,0.01,1497365.5,379069
2025/11/18,4.03,4.19,3.85,3.89,4.03,-4.47,-0.18,1543109.38,389440
2025/11/17,3.99,4.38,4.0,4.03,3.99,3.76,0.15,6452083.5,1546816
2025/11/16,3.93,4.05,3.89,3.99,3.93,1.78,0.07,2572922.25,645398
2025/11/13,3.92,3.98,3.84,3.93,3.92,0.26,0.01,1193879.38,303547
2025/11/12,3.93,3.95,3.86,3.92,3.93,0.25,0.01,1803160.25,464366
2025/11/11,3.9,3.97,3.87,3.93,3.9,0.77,0.03,1035237.69,264410
2025/11/10,3.92,3.98,3.88,3.9,3.92,-0.51,-0.02,338664.16,86660
2025/11/09,3.86,3.98,3.84,3.92,3.86,1.55,0.06,1713394.75,436013
2025/11/06,3.89,3.94,3.84,3.86,3.89,-0.77,-0.03,488711.13,126328
2025/11/05,3.97,3.99,3.87,3.89,3.97,-2.02,-0.08,2302090.5,591405
2025/11/04,3.98,4.06,3.93,3.97,3.98,0.0,0.0,1422017.88,354978
2025/11/03,3.94,4.0,3.7,3.98,3.94,1.02,0.04,3141757.0,817486
