«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,32.84,33.03,31.77,32.01,32.84,-2.56,-0.84,5662701.5,175378
2026/01/12,33.2,33.6,32.77,32.84,33.2,-1.08,-0.36,4569701.5,137677
2026/01/11,33.14,33.42,33.0,33.2,33.14,0.18,0.06,5524367.0,166499
2026/01/08,33.38,33.64,33.1,33.14,33.38,-0.72,-0.24,4912118.5,147479
2026/01/06,33.61,33.9,33.12,33.38,33.61,-0.68,-0.23,7407666.0,221280
2026/01/05,34.1,34.4,33.52,33.61,34.1,-1.44,-0.49,4778690.5,140931
2026/01/04,33.8,34.96,33.82,34.1,33.8,0.89,0.3,1.0439411E7,301998
2025/12/31,34.24,34.5,33.72,33.8,34.24,-1.29,-0.44,7145535.5,210185
2025/12/30,33.74,34.87,33.6,34.24,33.74,1.48,0.5,1.8426304E7,535765
2025/12/29,34.0,34.5,33.7,33.74,34.0,-0.76,-0.26,4497232.0,132472
2025/12/28,33.99,34.3,33.8,34.0,33.99,0.03,0.01,4404107.0,129461
2025/12/25,34.0,35.4,33.71,33.99,34.0,-0.03,-0.01,8042837.5,236083
2025/12/24,34.44,34.7,34.0,34.0,34.44,-1.28,-0.44,7359375.0,214973
2025/12/23,34.47,34.85,33.89,34.44,34.47,-0.09,-0.03,6043561.0,176277
2025/12/22,34.75,35.4,34.4,34.47,34.75,-0.81,-0.28,1.7578032E7,502473
2025/12/21,33.96,34.99,34.0,34.75,33.96,2.33,0.79,1.5080171E7,436155
2025/12/18,33.19,34.15,33.03,33.96,33.19,2.32,0.77,1.2436717E7,368967
2025/12/17,33.34,33.5,33.13,33.19,33.34,-0.45,-0.15,3656764.5,109901
2025/12/16,33.71,33.9,33.3,33.34,33.71,-1.1,-0.37,3365631.5,100392
2025/12/15,33.6,34.06,33.59,33.71,33.6,0.33,0.11,4953399.5,146631
2025/12/14,33.8,34.08,33.59,33.6,33.8,-0.59,-0.2,5455172.5,161877
2025/12/11,33.92,34.1,33.7,33.8,33.92,-0.35,-0.12,7037223.0,207725
2025/12/10,34.0,34.5,33.91,33.92,34.0,-0.24,-0.08,1.0344402E7,303514
2025/12/09,33.75,34.9,33.92,34.0,33.75,0.74,0.25,2.0087854E7,585279
2025/12/08,33.77,34.18,33.7,33.75,33.77,-0.06,-0.02,6337154.0,187271
2025/12/07,34.1,34.7,33.6,33.77,34.1,-0.97,-0.33,1.2188E7,357446
2025/12/04,33.81,34.18,33.05,34.1,33.81,0.86,0.29,1.9037904E7,565970
2025/12/03,34.18,35.39,33.8,33.81,34.18,-1.08,-0.37,5.286772E7,1525427
2025/12/02,32.98,34.69,32.0,34.18,32.98,3.64,1.2,1.54738624E8,4672732
2025/12/01,33.46,33.7,32.76,32.98,33.46,-1.43,-0.48,5937598.0,179724
2025/11/30,33.35,33.67,31.77,33.46,33.35,0.33,0.11,4807581.5,144883
2025/11/27,33.99,34.0,33.3,33.35,33.99,-1.88,-0.64,4465016.5,133318
2025/11/26,34.18,34.4,33.9,33.99,34.18,-0.56,-0.19,3820503.5,111970
2025/11/25,34.95,35.29,34.11,34.18,34.95,-2.2,-0.77,4296555.5,123661
2025/11/24,35.2,35.7,34.94,34.95,35.2,-0.74,-0.26,6251293.0,177370
2025/11/23,35.29,35.93,35.14,35.2,35.29,-0.26,-0.09,6334937.0,178862
2025/11/20,35.22,35.5,35.1,35.29,35.22,0.2,0.07,5139182.0,145418
2025/11/19,35.48,35.51,34.93,35.22,35.48,-0.73,-0.26,7079657.5,201658
2025/11/18,36.03,36.15,35.35,35.48,36.03,-1.53,-0.55,1.0148665E7,283504
2025/11/17,35.99,36.34,35.8,36.03,35.99,0.11,0.04,5639521.0,156595
2025/11/16,35.38,36.44,35.3,35.99,35.38,1.72,0.61,1.456746E7,404103
2025/11/13,35.53,35.87,35.33,35.38,35.53,-0.42,-0.15,4808795.0,135224
2025/11/12,35.21,35.6,34.86,35.53,35.21,0.91,0.32,7723391.0,219985
2025/11/11,35.19,35.7,35.11,35.21,35.19,-0.06,-0.02,3303639.0,93475
2025/11/10,35.58,35.55,34.87,35.19,35.58,-0.65,-0.23,2775727.0,79021
2025/11/09,36.11,36.48,35.35,35.58,36.11,-1.47,-0.53,8133629.5,226703
2025/11/06,36.32,36.59,36.06,36.11,36.32,-0.58,-0.21,8283960.0,228201
2025/11/05,36.3,37.15,36.11,36.32,36.3,0.06,0.02,1.5703975E7,428032
2025/11/04,36.13,36.9,36.23,36.3,36.13,0.47,0.17,9564372.0,262600
2025/11/03,36.08,36.37,35.9,36.13,36.08,0.14,0.05,7068214.0,195669
2025/11/02,36.14,36.42,35.95,36.08,36.14,-0.39,-0.14,2356051.5,65210
2025/10/30,36.36,36.72,36.1,36.14,36.36,-0.61,-0.22,1.0776627E7,295811
2025/10/29,35.99,36.57,35.91,36.36,35.99,1.03,0.37,8229146.0,226615
2025/10/28,36.16,36.48,35.85,35.99,36.16,-0.47,-0.17,6472502.0,179048
2025/10/27,36.03,36.5,36.0,36.16,36.03,0.36,0.13,7007182.5,193498
2025/10/26,36.19,36.75,36.0,36.03,36.19,-0.44,-0.16,6610942.5,182205
2025/10/23,35.89,36.8,35.91,36.19,35.89,0.84,0.3,7615697.5,209573
2025/10/22,36.16,36.54,35.85,35.89,36.16,-0.75,-0.27,3831405.0,106328
2025/10/21,36.19,36.7,35.71,36.16,36.19,0.19,0.07,1.3180979E7,364100
2025/10/20,36.67,36.96,36.0,36.19,36.67,-1.31,-0.48,7467709.0,205468
2025/10/19,36.16,37.3,36.26,36.67,36.16,1.41,0.51,1.5993722E7,433936
2025/10/16,36.16,36.63,36.11,36.16,36.16,0.0,0.0,7563390.5,208292
2025/10/15,36.03,36.62,35.99,36.16,36.03,0.36,0.13,6093015.5,168159
2025/10/14,35.35,36.66,35.31,36.03,35.35,1.92,0.68,1.4159558E7,390993
2025/10/13,35.26,35.72,35.21,35.35,35.26,0.26,0.09,4984084.5,140521
2025/10/12,35.56,35.64,35.17,35.26,35.56,-0.73,-0.26,3080391.25,87094
2025/10/08,35.98,35.98,35.3,35.56,35.98,-1.17,-0.42,5150266.5,144605
2025/10/07,35.96,36.25,35.81,35.98,35.96,0.06,0.02,4707206.0,130761
2025/10/06,35.86,36.39,35.91,35.96,35.86,0.14,0.05,6604976.0,182997
2025/10/05,35.45,36.36,35.5,35.86,35.45,1.16,0.41,5690027.0,158275
2025/10/02,35.69,35.86,35.1,35.45,35.69,-0.67,-0.24,5502272.0,154824
2025/10/01,36.01,36.65,35.61,35.69,36.01,-0.89,-0.32,1.0810029E7,299466
2025/09/30,36.66,36.96,36.0,36.01,36.66,-1.77,-0.65,1.0953336E7,302206
2025/09/29,36.02,37.18,36.15,36.66,36.02,1.78,0.64,1.8054456E7,491153
2025/09/28,35.27,36.44,35.39,36.02,35.27,2.13,0.75,1.6451604E7,456754
2025/09/25,35.08,35.6,35.16,35.27,35.08,0.54,0.19,4196286.5,118737
