«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,61.35,63.49,60.35,60.72,61.35,-1.48,-0.91,2928446.0,47347
2026/01/12,60.5,63.95,60.36,61.35,60.5,1.4,0.85,8683325.0,138351
2026/01/11,60.35,61.0,60.35,60.5,60.35,0.25,0.15,1890801.88,31206
2026/01/08,60.73,61.88,60.0,60.35,60.73,-0.63,-0.38,2912292.0,47859
2026/01/06,61.11,61.99,60.5,60.73,61.11,-0.02,-0.01,2896734.25,47334
2026/01/05,62.72,63.44,60.8,61.11,62.72,-2.57,-1.61,3483574.75,56172
2026/01/04,62.24,64.0,62.27,62.72,62.24,0.77,0.48,3990184.25,63330
2025/12/31,63.27,64.2,56.0,62.24,63.27,-1.63,-1.03,8267086.5,131960
2025/12/30,65.0,65.45,63.16,63.27,65.0,-2.66,-1.73,7603973.0,118594
2025/12/29,61.93,66.43,62.0,65.0,61.93,4.96,3.07,3.7510048E7,576735
2025/12/28,62.84,63.6,61.0,61.93,62.84,-1.45,-0.91,9642217.0,155221
2025/12/25,65.5,68.68,62.26,62.84,65.5,-4.06,-2.66,4.8697704E7,733199
2025/12/24,57.64,66.8,57.51,65.5,57.64,13.64,7.86,7.885036E7,1233140
2025/12/23,57.98,58.9,57.5,57.64,57.98,-0.59,-0.34,2495023.0,43126
2025/12/22,58.19,59.3,57.82,57.98,58.19,-0.64,-0.37,3794058.75,65067
2025/12/21,58.82,59.8,58.01,58.19,58.82,-1.07,-0.63,2520707.25,43009
2025/12/18,59.13,59.99,58.8,58.82,59.13,-0.52,-0.31,2505790.75,42463
2025/12/17,58.58,60.99,58.5,59.13,58.58,0.97,0.57,8267939.5,137946
2025/12/16,59.07,59.6,58.51,58.58,59.07,-0.86,-0.51,2570331.75,43637
2025/12/15,59.15,59.75,59.0,59.07,59.15,-0.14,-0.08,3098623.5,52360
2025/12/14,59.12,60.0,59.0,59.15,59.12,0.05,0.03,3103969.5,52313
2025/12/11,59.99,61.0,59.03,59.12,59.99,-1.45,-0.87,4718126.0,79054
2025/12/10,59.84,60.98,59.52,59.99,59.84,0.25,0.15,5049199.5,84039
2025/12/09,59.31,61.4,58.45,59.84,59.31,0.89,0.53,7177490.0,119235
2025/12/08,60.11,61.0,59.1,59.31,60.11,-1.33,-0.8,4345354.0,72556
2025/12/07,60.57,62.79,60.03,60.11,60.57,-0.76,-0.46,6457739.0,105662
2025/12/04,61.51,62.48,60.4,60.57,61.51,-1.53,-0.94,6542341.5,106374
2025/12/03,59.44,64.9,59.44,61.51,59.44,3.48,2.07,3.8568656E7,612918
2025/12/02,59.32,61.0,59.1,59.44,59.32,0.2,0.12,5309381.0,88361
2025/12/01,60.11,61.0,59.0,59.32,60.11,-0.27,-0.16,3322223.5,55668
2025/11/30,59.17,61.9,59.6,60.11,59.17,1.59,0.94,4699283.5,77667
2025/11/27,57.58,62.5,57.76,59.17,57.58,3.32,1.91,1.548976E7,255466
2025/11/26,60.64,61.89,57.11,57.58,60.64,-5.05,-3.06,5689974.0,95555
2025/11/25,62.44,63.7,60.15,60.64,62.44,-2.88,-1.8,6030156.5,96951
2025/11/24,65.09,65.8,62.0,62.44,65.09,-4.07,-2.65,7061053.0,111455
2025/11/23,67.16,68.39,65.0,65.09,67.16,-3.08,-2.07,5752496.0,87227
2025/11/20,67.15,70.0,67.1,67.16,67.15,0.01,0.01,9432245.0,137267
2025/11/19,68.66,69.25,66.92,67.15,68.66,-2.2,-1.51,9673542.0,142790
2025/11/18,70.89,72.25,68.3,68.66,70.89,-3.15,-2.23,8845220.0,126426
2025/11/17,69.72,72.99,69.8,70.89,69.72,1.68,1.17,1.3531062E7,189515
2025/11/16,70.39,71.79,69.67,69.72,70.39,-0.95,-0.67,4056306.75,57880
2025/11/13,69.03,72.38,69.1,70.39,69.03,1.97,1.36,1.6873962E7,238746
2025/11/12,69.04,69.99,69.01,69.03,69.04,-0.01,-0.01,6660388.5,96071
2025/11/11,69.61,71.0,69.0,69.04,69.61,-0.82,-0.57,6545054.0,94196
2025/11/10,69.23,73.49,69.0,69.61,69.23,0.55,0.38,1.7011334E7,238382
2025/11/09,69.28,70.69,68.25,68.48,69.28,-1.14,-0.8,6108813.5,87367
2025/11/06,71.16,72.5,68.27,69.28,71.16,-2.61,-1.88,7864038.5,110525
2025/11/05,71.31,73.6,70.86,71.16,71.31,-0.21,-0.15,8760583.0,120323
2025/11/04,74.33,75.75,70.85,71.31,74.33,-4.02,-3.02,2.8068426E7,376953
2025/11/03,67.87,76.25,66.37,74.33,67.87,9.41,6.46,5.8361048E7,786750
2025/11/02,70.87,72.2,67.85,67.87,70.87,-4.19,-3.0,1.2499503E7,177889
2025/10/30,70.83,72.95,70.8,70.87,70.83,0.06,0.04,9833118.0,135770
2025/10/29,71.7,72.64,70.28,70.83,71.7,-1.2,-0.87,8962424.0,124215
2025/10/28,74.26,75.64,70.24,71.7,74.26,-3.41,-2.56,9899656.0,135321
2025/10/27,72.96,77.05,73.32,74.26,72.96,1.76,1.3,3.9129984E7,511552
2025/10/26,72.5,76.04,72.25,72.96,72.5,0.63,0.46,1.9701276E7,263505
2025/10/23,74.75,77.04,72.37,72.5,74.75,-2.98,-2.25,2.2041912E7,293230
