«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2021/07/14,0.2,0.2,0.19,0.19,0.2,0.0,0.0,359146.0,117790
2021/07/12,0.19,0.21,0.2,0.2,0.19,5.26,0.01,24252.0,7662
2021/07/05,0.19,0.19,0.19,0.19,0.19,0.0,0.0,13682.0,4592
2021/06/30,0.19,0.19,0.19,0.19,0.19,0.0,0.0,17870.0,6000
2021/06/28,0.19,0.19,0.19,0.19,0.19,0.0,0.0,435.0,146
2021/06/23,0.2,0.19,0.19,0.19,0.2,-5.0,-0.01,7440.0,2500
2021/06/21,0.2,0.2,0.2,0.2,0.2,0.0,0.0,564.0,180
2021/06/16,0.2,0.2,0.19,0.2,0.2,0.0,0.0,42307.0,13565
2021/06/02,0.16,0.2,0.17,0.2,0.16,25.0,0.04,256271.0,83330
2021/05/26,0.16,0.18,0.16,0.16,0.16,0.0,0.0,10144.0,4040
2021/05/24,0.16,0.16,0.15,0.16,0.16,0.0,0.0,9080.0,3684
2021/04/28,0.19,0.16,0.16,0.16,0.19,-15.79,-0.03,502.0,200
2021/04/26,0.15,0.2,0.19,0.19,0.15,33.33,0.05,90961.0,30000
2021/04/19,0.15,0.15,0.15,0.15,0.15,0.0,0.0,7455.0,3170
2021/04/12,0.18,0.14,0.14,0.15,0.18,-22.22,-0.04,9182.0,4000
2021/03/31,0.18,0.18,0.18,0.18,0.18,0.0,0.0,10548.0,3728
2021/03/22,0.19,0.18,0.18,0.18,0.19,-5.26,-0.01,353.0,125
2021/03/17,0.19,0.19,0.19,0.19,0.19,0.0,0.0,16415.0,5500
2021/03/15,0.2,0.19,0.18,0.19,0.2,-5.0,-0.01,6722.0,2283
2021/03/10,0.2,0.2,0.18,0.2,0.2,-10.0,-0.02,2800.0,894
2021/03/03,0.21,0.21,0.2,0.2,0.21,-4.76,-0.01,25220.0,7896
2021/03/01,0.2,0.22,0.21,0.21,0.2,5.0,0.01,35004.0,10583
2021/02/24,0.21,0.2,0.2,0.2,0.21,-4.76,-0.01,640.0,204
2021/02/22,0.19,0.21,0.2,0.21,0.19,10.53,0.02,18008.0,5500
2021/02/15,0.19,0.19,0.19,0.19,0.19,0.0,0.0,1482.0,500
2021/02/10,0.2,0.19,0.19,0.19,0.2,-5.0,-0.01,1240.0,417
2021/02/03,0.2,0.2,0.2,0.2,0.2,0.0,0.0,15730.0,5000
2021/01/25,0.2,0.2,0.2,0.2,0.2,0.0,0.0,15732.0,5000
2021/01/18,0.18,0.2,0.2,0.2,0.18,11.11,0.02,941.0,300
2021/01/11,0.19,0.18,0.18,0.18,0.19,-5.26,-0.01,1412.0,500
2021/01/06,0.21,0.19,0.18,0.19,0.21,-14.29,-0.03,194.75,1030
2020/12/30,0.19,0.21,0.21,0.21,0.19,10.53,0.02,3138.0,950
2020/12/21,0.19,0.19,0.19,0.19,0.19,0.0,0.0,5551.0,1865
2020/12/14,0.18,0.2,0.19,0.19,0.18,11.11,0.02,3142.0,1050
2020/12/09,0.2,0.18,0.18,0.18,0.2,-10.0,-0.02,1411.0,500
2020/12/02,0.22,0.2,0.2,0.2,0.22,-9.09,-0.02,27939.0,8920
2020/11/25,0.18,0.23,0.2,0.22,0.18,27.78,0.05,9427.0,2780
2020/11/02,0.19,0.18,0.18,0.18,0.19,-5.26,-0.01,1980.0,700
2020/10/21,0.19,0.22,0.19,0.19,0.19,5.26,0.01,9127.0,3000
2020/10/19,0.19,0.19,0.18,0.19,0.19,-5.26,-0.01,9067.0,3100
2020/10/12,0.19,0.19,0.19,0.19,0.19,0.0,0.0,2981.0,1000
2020/10/07,0.19,0.19,0.19,0.19,0.19,0.0,0.0,2390.0,800
2020/09/30,0.21,0.19,0.19,0.19,0.21,-9.52,-0.02,3593.0,1200
2020/09/28,0.18,0.22,0.21,0.21,0.18,22.22,0.04,4017.0,1200
2020/09/23,0.2,0.18,0.18,0.18,0.2,-10.0,-0.02,2837.0,1000
2020/08/31,0.2,0.2,0.19,0.2,0.2,-5.0,-0.01,6200.0,2000
2020/08/19,0.18,0.2,0.2,0.2,0.18,11.11,0.02,18483.0,5800
2020/07/29,0.19,0.18,0.18,0.18,0.19,-5.26,-0.01,351.0,122
2020/07/27,0.19,0.2,0.18,0.19,0.19,0.0,0.0,18068.0,6000
2020/07/22,0.2,0.2,0.19,0.19,0.2,-5.0,-0.01,7345.0,2385
2020/07/20,0.22,0.2,0.2,0.2,0.22,-9.09,-0.02,1597.0,500
2020/07/15,0.2,0.22,0.22,0.22,0.2,10.0,0.02,1306.0,372
2020/06/10,0.2,0.19,0.19,0.2,0.2,-5.0,-0.01,46.0,15
2020/06/08,0.19,0.2,0.2,0.2,0.19,5.26,0.01,14275.0,4400
2020/05/13,0.18,0.19,0.18,0.19,0.18,5.56,0.01,1130.0,6000
2020/05/06,0.18,0.19,0.16,0.18,0.18,0.0,0.0,14336.0,5000
2020/05/04,0.2,0.18,0.18,0.18,0.2,-10.0,-0.02,5672.0,2000
2020/04/29,0.19,0.2,0.2,0.2,0.19,5.26,0.01,1510.0,7550
2020/04/22,0.19,0.2,0.19,0.19,0.19,0.0,0.0,66375.0,22050
2020/04/15,0.2,0.19,0.19,0.19,0.2,-5.0,-0.01,59864.0,20000
2020/04/13,0.18,0.2,0.19,0.2,0.18,11.11,0.02,159517.0,50679
2020/03/09,0.22,0.18,0.18,0.18,0.22,-18.18,-0.04,42254.0,15000
2020/02/26,0.23,0.22,0.21,0.22,0.23,-4.35,-0.01,147.5,680
