«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.429,0.433,0.413,0.417,0.429,-2.797,-0.012,7520809.5,17745263
2026/01/12,0.41,0.431,0.408,0.429,0.41,4.634,0.019,1.846773E7,43543769
2026/01/11,0.414,0.423,0.408,0.41,0.414,-0.966,-0.004,6870989.5,16582545
2026/01/08,0.417,0.425,0.411,0.414,0.417,-0.719,-0.003,1.3167409E7,31538863
2026/01/06,0.42,0.424,0.416,0.417,0.42,-0.714,-0.003,1.0541368E7,25144489
2026/01/05,0.441,0.443,0.418,0.42,0.441,-4.762,-0.021,1.0543694E7,24810522
2026/01/04,0.435,0.445,0.433,0.441,0.435,0.46,0.002,3675530.25,8404506
2025/12/31,0.441,0.449,0.434,0.435,0.441,-1.361,-0.006,1.3700975E7,30955963
2025/12/30,0.453,0.46,0.44,0.441,0.453,-2.649,-0.012,1.2733238E7,28342751
2025/12/29,0.429,0.453,0.428,0.453,0.429,5.594,0.024,1.9238286E7,43284694
2025/12/28,0.442,0.446,0.426,0.429,0.442,-2.941,-0.013,1.0106042E7,23390236
2025/12/25,0.442,0.45,0.438,0.442,0.442,0.0,0.0,1.2127289E7,27147455
2025/12/24,0.427,0.452,0.422,0.442,0.427,3.513,0.015,1.8358102E7,41776976
2025/12/23,0.445,0.453,0.421,0.427,0.445,-4.045,-0.018,1.81966E7,41658418
2025/12/22,0.444,0.456,0.443,0.445,0.444,0.225,0.001,1.3378664E7,29780147
2025/12/21,0.447,0.465,0.441,0.444,0.447,-0.671,-0.003,4.5572436E7,101019771
2025/12/18,0.486,0.49,0.447,0.447,0.486,-8.025,-0.039,4.1969468E7,88836023
2025/12/17,0.473,0.493,0.471,0.486,0.473,2.748,0.013,5.1692008E7,107125568
2025/12/16,0.498,0.5,0.462,0.473,0.498,-5.02,-0.025,4.0566112E7,84158119
2025/12/15,0.523,0.536,0.497,0.498,0.523,-4.78,-0.025,7.2839464E7,141570798
2025/12/14,0.523,0.535,0.522,0.523,0.523,0.0,0.0,3.6435676E7,69027993
2025/12/11,0.525,0.538,0.523,0.523,0.525,-0.381,-0.002,4.2758456E7,80756514
2025/12/10,0.519,0.527,0.514,0.525,0.519,1.156,0.006,4.1673508E7,80060648
2025/12/09,0.514,0.541,0.519,0.519,0.514,0.973,0.005,5.5496576E7,104661072
2025/12/08,0.53,0.534,0.513,0.514,0.53,-3.019,-0.016,6.4034816E7,122793707
2025/12/07,0.481,0.53,0.483,0.53,0.481,10.187,0.049,1.03796376E8,203309322
2025/12/04,0.489,0.497,0.481,0.481,0.489,-1.636,-0.008,2.256942E7,46264811
