«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.09,2.11,2.03,2.03,2.09,-2.87,-0.06,1.1613306E7,5646591
2026/01/12,2.06,2.15,2.07,2.09,2.06,1.46,0.03,2.3337818E7,11075955
2026/01/11,2.1,2.1,1.94,2.06,2.1,-1.9,-0.04,2.5632834E7,12533279
2026/01/08,2.25,2.25,2.08,2.1,2.25,-6.67,-0.15,3.3338134E7,15418243
2026/01/06,2.06,2.28,2.09,2.25,2.06,9.22,0.19,8.3085448E7,37593040
2026/01/05,2.02,2.23,2.04,2.06,2.02,1.98,0.04,4.1210712E7,19312130
2026/01/04,3.58,3.56,3.36,3.5,3.58,-2.23,-0.08,4.417874E7,12875508
2025/12/31,3.39,3.64,3.41,3.58,3.39,5.6,0.19,4.4379456E7,12708741
2025/12/30,3.4,3.43,3.36,3.39,3.4,-0.29,-0.01,1.9954194E7,5871785
2025/12/29,3.24,3.49,3.23,3.4,3.24,4.94,0.16,6.456756E7,19129376
2025/12/28,3.22,3.25,3.18,3.24,3.22,0.62,0.02,1.771492E7,5518276
2025/12/25,3.23,3.3,3.21,3.22,3.23,-0.31,-0.01,3.3797004E7,10399062
2025/12/24,2.99,3.24,3.07,3.23,2.99,8.03,0.24,5.3694056E7,16984157
2025/12/23,2.95,3.04,2.92,2.99,2.95,1.36,0.04,1.4681598E7,4894733
2025/12/22,2.9,2.96,2.88,2.95,2.9,1.72,0.05,1.1186689E7,3818466
2025/12/21,2.89,2.95,2.86,2.9,2.89,0.35,0.01,7794575.0,2692497
2025/12/18,2.92,2.95,2.87,2.89,2.92,-1.03,-0.03,4558419.5,1564319
2025/12/17,2.87,2.95,2.84,2.92,2.87,2.79,0.08,5625972.5,1954647
2025/12/16,2.9,2.93,2.85,2.87,2.9,-1.03,-0.03,2.0173506E7,6999272
2025/12/15,2.98,3.1,2.9,2.9,2.98,-2.68,-0.08,3.5791036E7,11934686
2025/12/14,2.97,3.05,2.92,2.98,2.97,0.34,0.01,2.4986374E7,8379494
2025/12/11,2.95,2.98,2.92,2.97,2.95,0.68,0.02,2.6156594E7,8891260
2025/12/10,2.91,2.97,2.91,2.95,2.91,2.06,0.06,1.8409074E7,6252036
2025/12/09,2.89,2.96,2.9,2.91,2.89,0.69,0.02,2.129735E7,7278187
2025/12/08,3.0,3.02,2.83,2.89,3.0,-3.67,-0.11,3.3230724E7,11393914
2025/12/07,2.89,3.1,2.87,3.0,2.89,3.81,0.11,5.450364E7,18269744
2025/12/04,2.69,2.9,2.69,2.89,2.69,7.43,0.2,4.1407536E7,14647097
2025/12/03,2.61,2.73,2.58,2.69,2.61,3.07,0.08,1.6127302E7,6091557
2025/12/02,2.58,2.64,2.54,2.61,2.58,1.16,0.03,9474342.0,3647447
2025/12/01,2.5,2.62,2.48,2.58,2.5,3.2,0.08,3.9271508E7,15213277
2025/11/30,2.3,2.55,2.26,2.5,2.3,8.7,0.2,5.1942692E7,21318390
2025/11/27,2.25,2.32,2.24,2.3,2.25,2.22,0.05,9894451.0,4320661
2025/11/26,2.3,2.35,2.25,2.25,2.3,-1.3,-0.03,8509173.0,3716911
2025/11/25,2.28,2.32,2.26,2.3,2.28,0.88,0.02,5110780.5,2229288
2025/11/24,2.3,2.32,2.26,2.28,2.3,-0.87,-0.02,1.5165658E7,6633232
2025/11/23,2.31,2.38,2.3,2.3,2.31,-0.43,-0.01,1.2130315E7,5193038
2025/11/20,2.3,2.33,2.27,2.31,2.3,0.43,0.01,1.6302466E7,7094081
2025/11/19,2.1,2.31,2.14,2.3,2.1,9.52,0.2,5.753614E7,25623834
2025/11/18,2.03,2.19,2.02,2.1,2.03,3.45,0.07,5.7513552E7,27286324
2025/11/17,2.05,2.07,2.02,2.03,2.05,-0.98,-0.02,5278374.5,2596272
2025/11/16,2.02,2.1,2.0,2.05,2.02,1.49,0.03,1.5101896E7,7358851
2025/11/13,1.87,2.1,1.86,2.02,1.87,8.02,0.15,4.9452088E7,24390777
2025/11/12,1.85,1.89,1.83,1.87,1.85,1.08,0.02,5670841.0,3043702
2025/11/11,1.87,1.89,1.84,1.85,1.87,-1.07,-0.02,1570357.38,845028
2025/11/10,1.89,1.9,1.86,1.87,1.89,-1.06,-0.02,1604907.63,857101
2025/11/09,1.85,1.91,1.85,1.89,1.85,0.0,0.0,3967451.75,2110622
2025/11/06,1.89,1.91,1.85,1.85,1.89,-2.12,-0.04,6398209.5,3393878
2025/11/05,1.88,1.9,1.87,1.89,1.88,0.53,0.01,2154138.5,1142110
2025/11/04,1.9,1.93,1.86,1.88,1.9,0.0,0.0,2146292.5,1134331
2025/11/03,1.93,1.95,1.9,1.9,1.93,-1.55,-0.03,3141935.75,1636484
2025/11/02,1.88,1.95,1.89,1.93,1.88,2.66,0.05,7818218.5,4072532
2025/10/30,1.84,1.95,1.82,1.88,1.84,2.17,0.04,1.8808266E7,9819145
2025/10/29,1.85,1.88,1.84,1.84,1.85,-0.54,-0.01,3001949.0,1616988
2025/10/28,1.82,1.88,1.81,1.85,1.82,2.75,0.05,6319781.5,3429850
2025/10/27,1.84,1.85,1.82,1.82,1.84,-1.09,-0.02,2902531.0,1579610
2025/10/26,1.8,1.84,1.8,1.84,1.8,2.22,0.04,3461913.5,1896726
2025/10/23,1.82,1.83,1.8,1.8,1.82,-1.1,-0.02,3676176.25,2032224
2025/10/22,1.83,1.84,1.8,1.82,1.83,-0.55,-0.01,3460328.25,1906988
2025/10/21,1.82,1.85,1.78,1.83,1.82,0.55,0.01,1.3042692E7,7179266
2025/10/20,1.82,1.85,1.81,1.82,1.82,0.0,0.0,5087023.5,2776811
2025/10/19,1.83,1.85,1.81,1.82,1.83,-0.55,-0.01,5424802.5,2974430
2025/10/16,1.83,1.87,1.82,1.83,1.83,0.0,0.0,3844353.5,2085527
2025/10/15,1.84,1.87,1.81,1.83,1.84,-0.54,-0.01,1690252.0,921368
2025/10/14,1.88,1.9,1.84,1.84,1.88,-2.13,-0.04,3624639.75,1947576
2025/10/13,1.85,1.9,1.85,1.88,1.85,1.62,0.03,2690356.0,1434542
2025/10/12,1.91,1.92,1.85,1.85,1.91,-3.14,-0.06,4787558.5,2546837
2025/10/08,1.8,1.91,1.77,1.91,1.8,6.11,0.11,2.4511724E7,13208024
2025/10/07,1.79,1.86,1.8,1.8,1.79,0.56,0.01,8773945.0,4817505
2025/10/06,1.8,1.83,1.79,1.79,1.8,-0.56,-0.01,4368413.5,2416298
2025/10/05,1.81,1.85,1.8,1.8,1.81,-0.55,-0.01,3114282.75,1712145
2025/10/02,1.82,1.88,1.81,1.81,1.82,0.55,0.01,3413518.0,1864613
2025/10/01,1.87,1.9,1.82,1.82,1.87,-2.67,-0.05,2986152.25,1613052
2025/09/30,1.88,1.92,1.87,1.87,1.88,-0.53,-0.01,9226578.0,4882865
2025/09/29,1.86,1.9,1.85,1.88,1.86,1.08,0.02,4267970.5,2275646
2025/09/28,1.9,1.93,1.85,1.86,1.9,-2.11,-0.04,4773904.0,2544122
2025/09/25,1.91,1.92,1.87,1.9,1.91,-0.52,-0.01,9505312.0,5009237
2025/09/24,1.87,1.96,1.87,1.91,1.87,2.14,0.04,5.211814E7,26822766
2025/09/23,1.89,1.94,1.87,1.87,1.89,-1.06,-0.02,9977109.0,5206240
2025/09/22,1.8,1.98,1.78,1.89,1.8,5.0,0.09,2.9790824E7,15723673
2025/09/21,1.8,1.84,1.75,1.8,1.8,0.0,0.0,2946209.0,1646228
2025/09/18,1.78,1.81,1.77,1.8,1.78,1.12,0.02,2567675.75,1427159
2025/09/17,1.81,1.84,1.75,1.78,1.81,-1.66,-0.03,4229308.5,2376932
2025/09/16,1.9,1.91,1.79,1.81,1.9,-4.74,-0.09,4854790.5,2636927
2025/09/15,1.93,1.94,1.89,1.9,1.93,-1.55,-0.03,7249552.0,3794959
2025/09/14,1.93,1.97,1.92,1.93,1.93,0.0,0.0,2144594.25,1104912
2025/09/11,1.94,1.98,1.93,1.93,1.94,-0.52,-0.01,2102770.5,1080454
2025/09/10,1.97,1.97,1.91,1.94,1.97,-1.02,-0.02,5588332.0,2851583
2025/09/09,1.91,2.02,1.9,1.97,1.91,3.14,0.06,1.9889318E7,10104131
2025/09/08,1.93,1.96,1.9,1.91,1.93,-1.04,-0.02,3900212.5,2042205
2025/09/07,1.95,1.99,1.93,1.93,1.95,-1.03,-0.02,3414565.0,1750954
2025/09/03,2.0,2.02,1.94,1.95,2.0,-2.5,-0.05,6585042.5,3342081
2025/09/02,2.01,2.05,2.0,2.0,2.01,-0.498,-0.01,5984857.0,2966813
2025/09/01,1.97,2.1,1.94,2.01,1.97,2.03,0.04,1.04121E7,5144065
2025/08/31,2.02,2.04,1.97,1.97,2.02,-2.475,-0.05,7548178.5,3784468
2025/08/28,2.06,2.07,2.0,2.02,2.06,-1.942,-0.04,7968025.0,3936984
2025/08/27,2.04,2.07,2.0,2.06,2.04,0.98,0.02,6118791.0,2989230
2025/08/26,2.05,2.07,1.84,2.04,2.05,-0.488,-0.01,4558522.5,2234391
2025/08/25,2.08,2.1,2.05,2.05,2.08,-1.442,-0.03,5283213.5,2558113
2025/08/24,2.11,2.15,2.06,2.08,2.11,-1.422,-0.03,1.3611798E7,6497735
2025/08/21,2.05,2.15,2.04,2.11,2.05,2.927,0.06,1.7974548E7,8500208
2025/08/20,2.07,2.1,2.04,2.05,2.07,-0.966,-0.02,3683655.5,1779606
2025/08/19,2.06,2.1,2.06,2.07,2.06,0.971,0.02,9943198.0,4788947
2025/08/18,2.1,2.1,2.06,2.06,2.1,-1.905,-0.04,1.2845519E7,6184836
2025/08/17,2.17,2.19,2.08,2.1,2.17,-3.226,-0.07,1.8389274E7,8703407
2025/08/14,2.25,2.26,2.16,2.17,2.25,-3.556,-0.08,1.9098636E7,8633841
2025/08/13,2.15,2.26,2.13,2.25,2.15,4.65,0.1,2.615949E7,11834395
