«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/07/22,0.76,0.768,0.735,0.739,0.76,-2.763,-0.021,3.1036296E7,41488193
2025/07/21,0.77,0.8,0.76,0.76,0.77,-1.299,-0.01,4.6071628E7,59099166
2025/07/20,0.769,0.777,0.753,0.77,0.769,0.13,0.001,3.7650244E7,49289240
2025/07/17,0.72,0.77,0.717,0.769,0.72,6.806,0.049,4.641148E7,62136332
2025/07/16,0.741,0.753,0.72,0.72,0.741,-2.834,-0.021,2.5398864E7,34540478
2025/07/15,0.711,0.745,0.717,0.741,0.711,4.219,0.03,9.144396E7,125299560
2025/07/14,0.718,0.74,0.706,0.711,0.718,-0.975,-0.007,8.2819384E7,115099272
2025/07/13,0.685,0.721,0.69,0.718,0.685,4.818,0.033,5.0467116E7,71298759
2025/07/10,0.66,0.697,0.66,0.685,0.66,3.788,0.025,7.5809656E7,110407362
2025/07/09,0.66,0.67,0.652,0.66,0.66,0.0,0.0,2.0373296E7,30724495
2025/07/07,0.664,0.68,0.635,0.66,0.664,-0.602,-0.004,8.1983272E7,124419388
2025/07/06,0.68,0.686,0.662,0.664,0.68,-2.353,-0.016,2.8765982E7,42919703
2025/07/02,0.666,0.704,0.646,0.68,0.666,2.102,0.014,1.25858232E8,184596561
2025/07/01,0.632,0.675,0.62,0.666,0.632,5.38,0.034,1.25144528E8,190873929
2025/06/30,0.619,0.655,0.608,0.632,0.619,2.1,0.013,1.28408656E8,201723897
2025/06/29,0.571,0.627,0.575,0.619,0.571,8.406,0.048,1.25941816E8,207925717
2025/06/25,0.523,0.571,0.523,0.571,0.523,9.178,0.048,1.26241184E8,228988141
2025/06/24,0.504,0.525,0.509,0.523,0.504,3.77,0.019,3.7486796E7,72560061
2025/06/23,0.494,0.508,0.497,0.504,0.494,2.024,0.01,1.1960831E7,23815413
2025/06/22,0.486,0.496,0.47,0.494,0.486,1.646,0.008,4019079.5,8277097
2025/06/19,0.492,0.502,0.485,0.486,0.492,-1.22,-0.006,7200436.0,14620073
2025/06/18,0.495,0.497,0.49,0.492,0.495,-0.606,-0.003,4519383.0,9162751
2025/06/17,0.506,0.51,0.492,0.495,0.506,-2.174,-0.011,9057867.0,18146605
2025/06/16,0.505,0.515,0.504,0.506,0.505,0.198,0.001,6492615.0,12723345
2025/06/15,0.537,0.517,0.495,0.505,0.537,-5.773,-0.031,9149122.0,18115974
2025/06/12,0.557,0.556,0.533,0.537,0.557,-3.591,-0.02,1.9900924E7,36373156
2025/06/11,0.55,0.564,0.551,0.557,0.55,1.273,0.007,3.2116156E7,57680576
2025/06/10,0.542,0.55,0.54,0.55,0.542,1.476,0.008,2.2984358E7,41975651
2025/06/04,0.529,0.55,0.529,0.542,0.529,2.457,0.013,2.7935148E7,51560696
2025/06/03,0.53,0.533,0.529,0.529,0.53,-0.189,-0.001,6193526.5,11686585
2025/06/02,0.536,0.537,0.526,0.53,0.536,-1.119,-0.006,7194399.5,13592734
2025/06/01,0.532,0.541,0.531,0.536,0.532,0.752,0.004,1.8585894E7,34571526
2025/05/29,0.528,0.536,0.527,0.532,0.528,0.758,0.004,1.1743245E7,22098880
2025/05/28,0.532,0.534,0.528,0.528,0.532,-0.752,-0.004,8048074.5,15208313
2025/05/27,0.528,0.534,0.526,0.532,0.528,0.758,0.004,9904873.0,18685060
2025/05/26,0.539,0.543,0.528,0.528,0.539,-2.041,-0.011,1.450833E7,27178991
2025/05/25,0.528,0.546,0.53,0.539,0.528,2.083,0.011,3.8070828E7,70527623
2025/05/22,0.525,0.529,0.522,0.528,0.525,0.571,0.003,1.6758906E7,31867240
2025/05/21,0.521,0.531,0.522,0.525,0.521,0.768,0.004,1.5535917E7,29519434
2025/05/20,0.517,0.523,0.517,0.521,0.517,0.774,0.004,7486007.0,14393287
2025/05/19,0.524,0.525,0.515,0.517,0.524,-1.336,-0.007,1.6629045E7,32033175
2025/05/18,0.538,0.541,0.524,0.524,0.538,-2.602,-0.014,1.9276866E7,36357990
2025/05/15,0.54,0.553,0.538,0.538,0.54,-0.37,-0.002,4.7178592E7,86403351
2025/05/14,0.526,0.544,0.527,0.54,0.526,2.662,0.014,4.3121024E7,80000672
2025/05/13,0.52,0.534,0.52,0.526,0.52,1.154,0.006,1.9804834E7,37536371
2025/05/12,0.517,0.521,0.516,0.52,0.517,0.58,0.003,4213891.0,8122948
2025/05/11,0.519,0.532,0.517,0.517,0.519,-0.385,-0.002,1.6771914E7,32039982
2025/05/08,0.525,0.527,0.514,0.519,0.525,-1.143,-0.006,9990082.0,19271684
2025/05/07,0.533,0.536,0.524,0.525,0.533,-1.501,-0.008,1.3585135E7,25628424
2025/05/06,0.535,0.543,0.533,0.533,0.535,-0.374,-0.002,2.3323312E7,43306467
2025/05/05,0.527,0.535,0.525,0.535,0.527,1.518,0.008,2.9547784E7,55620282
