«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.333,0.336,0.326,0.33,0.333,-2.102,-0.007,3062312.0,9261854
2026/01/12,0.331,0.337,0.331,0.333,0.331,0.604,0.002,5041749.0,15112831
2026/01/11,0.331,0.335,0.329,0.331,0.331,0.0,0.0,4164205.75,12588550
2026/01/08,0.337,0.34,0.33,0.331,0.337,-1.78,-0.006,5535188.0,16497163
2026/01/06,0.335,0.34,0.333,0.337,0.335,0.597,0.002,8400374.0,25019442
2026/01/05,0.344,0.345,0.335,0.335,0.344,-2.326,-0.008,3692770.5,10909366
2026/01/04,0.344,0.347,0.341,0.344,0.344,-0.872,-0.003,4815051.5,14020823
2025/12/31,0.343,0.351,0.343,0.344,0.343,0.292,0.001,4058814.0,11711922
2025/12/30,0.341,0.349,0.342,0.343,0.341,0.587,0.002,4487086.0,13008442
2025/12/29,0.341,0.345,0.34,0.341,0.341,0.0,0.0,4902898.5,14318059
2025/12/28,0.34,0.345,0.341,0.341,0.34,0.294,0.001,3955399.5,11536741
2025/12/25,0.341,0.348,0.338,0.34,0.341,-0.293,-0.001,6098376.0,17883108
2025/12/24,0.338,0.345,0.338,0.341,0.338,0.888,0.003,1.6442001E7,48225572
2025/12/23,0.35,0.353,0.334,0.338,0.35,-3.429,-0.012,2.3129346E7,68301845
2025/12/22,0.357,0.361,0.35,0.35,0.357,-1.961,-0.007,9386244.0,26531228
2025/12/21,0.368,0.37,0.355,0.357,0.368,-2.989,-0.011,8962950.0,24845748
2025/12/18,0.38,0.384,0.365,0.368,0.38,-3.158,-0.012,8134760.0,21725172
2025/12/17,0.38,0.382,0.375,0.38,0.38,0.0,0.0,5505218.0,14567623
2025/12/16,0.394,0.395,0.377,0.38,0.394,-3.553,-0.014,1.3993015E7,36566968
2025/12/15,0.409,0.419,0.39,0.394,0.409,-3.667,-0.015,1.8750824E7,46783372
2025/12/14,0.378,0.41,0.37,0.409,0.378,8.201,0.031,2.8994806E7,74433210
2025/12/11,0.382,0.387,0.376,0.378,0.382,-1.047,-0.004,5785130.5,15157878
2025/12/10,0.384,0.389,0.38,0.382,0.384,-0.521,-0.002,4404850.0,11477723
2025/12/09,0.387,0.397,0.383,0.384,0.387,-0.775,-0.003,9752773.0,25099444
2025/12/08,0.408,0.409,0.386,0.387,0.408,-5.147,-0.021,2.1437804E7,54095660
2025/12/07,0.38,0.409,0.382,0.408,0.38,7.368,0.028,3.8560344E7,96849275
2025/12/04,0.387,0.395,0.378,0.38,0.387,-1.809,-0.007,1.2335222E7,31889018
