«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2022/06/01,28.5,4.13,1.02,2.43,28.5,-96.42,-27.48,1610.28,664
2021/09/08,28.5,10.1,10.1,28.5,28.5,-64.56,-18.4,383.8,38
2021/08/30,28.5,10.0,10.0,28.5,28.5,-64.91,-18.5,380.0,38
2021/08/23,10.0,28.5,28.5,28.5,10.0,185.0,18.5,345306.0,12116
2021/06/29,28.08,28.15,28.15,28.08,28.08,0.25,0.07,2392.75,85
2021/06/28,28.08,28.1,28.1,28.08,28.08,0.07,0.02,6491.1,231
2021/06/24,28.08,28.5,28.08,28.08,28.08,1.5,0.42,7050.18,251
2021/06/23,28.08,28.11,28.1,28.08,28.08,0.11,0.03,30498.85,1085
2021/06/22,28.08,28.0,28.0,28.08,28.08,-0.28,-0.08,25200.0,900
2021/06/21,28.08,28.05,28.05,28.08,28.08,-0.11,-0.03,68245.65,2433
2021/06/15,28.08,28.0,28.0,28.08,28.08,-0.28,-0.08,7840.0,280
2021/06/13,28.08,28.0,28.0,28.08,28.08,-0.28,-0.08,1400.0,50
2021/06/09,28.08,28.08,27.84,28.08,28.08,0.0,0.0,58537.65,2086
2021/06/07,28.08,27.5,26.5,28.08,28.08,-2.07,-0.58,1477.5,55
2021/06/06,28.08,28.0,26.51,28.08,28.08,-5.59,-1.57,26622.0,1004
2021/06/02,28.08,28.0,26.55,28.08,28.08,-5.34,-1.5,7850.11,290
2021/06/01,28.08,28.0,27.5,28.08,28.08,-0.28,-0.08,8887.5,323
2021/05/30,28.08,28.0,27.5,28.08,28.08,-0.28,-0.08,28885.0,1050
2021/05/24,28.08,28.08,27.5,28.08,28.08,-2.07,-0.58,10052.0,365
2021/05/20,28.08,27.5,27.5,28.08,28.08,-2.07,-0.58,21890.0,796
2021/05/18,28.08,27.5,27.5,28.08,28.08,-2.07,-0.58,27.5,1
2021/05/11,28.08,27.45,27.31,28.08,28.08,-2.24,-0.63,43274.51,1577
2021/05/09,28.08,27.5,27.5,28.08,28.08,-2.07,-0.58,34127.5,1241
2021/05/05,28.08,26.01,26.01,28.08,28.08,-7.37,-2.07,60109.11,2311
2021/04/14,28.08,26.01,26.01,28.08,28.08,-7.37,-2.07,1300.5,50
2021/04/13,28.08,26.01,26.01,28.08,28.08,-7.37,-2.07,26010.0,1000
2021/04/12,28.08,26.01,26.0,28.08,28.08,-7.41,-2.08,15757.8,606
2021/04/04,28.08,25.5,25.5,28.08,28.08,-9.19,-2.58,510.0,20
2021/03/31,28.08,30.0,30.0,28.08,28.08,6.84,1.92,120.0,4
2021/03/29,28.08,25.31,25.31,28.08,28.08,-9.86,-2.77,151.86,6
2021/03/28,28.08,30.0,30.0,28.08,28.08,6.84,1.92,450.0,15
2021/03/24,28.08,28.5,28.5,28.08,28.08,1.5,0.42,285.0,10
2021/03/22,28.08,27.76,27.76,28.08,28.08,-1.14,-0.32,1943.2,70
2021/03/21,28.08,28.5,27.1,28.08,28.08,1.5,0.42,25926.44,951
2021/03/18,28.1,28.1,28.0,28.08,28.1,-0.36,-0.1,938388.13,33422
2021/03/17,28.0,28.1,28.07,28.1,28.0,0.25,0.07,2291725.25,81562
2021/03/16,28.0,28.0,28.0,28.0,28.0,0.0,0.0,434840.0,15530
2021/03/15,28.0,27.99,27.74,28.0,28.0,-0.93,-0.26,74792.0,2675
2021/03/14,28.0,28.4,28.0,28.0,28.0,1.43,0.4,79371.84,2824
2021/03/11,28.0,28.0,27.9,28.0,28.0,0.0,0.0,162903.8,5818
2021/03/10,27.5,28.0,28.0,28.0,27.5,1.82,0.5,148400.0,5300
2021/03/09,27.5,28.0,28.0,27.5,27.5,1.82,0.5,50400.0,1800
2021/03/08,27.5,27.67,27.56,27.5,27.5,0.62,0.17,78347.28,2838
2021/03/07,27.5,27.61,27.6,27.5,27.5,0.36,0.1,57964.65,2100
2021/03/03,27.5,27.5,27.5,27.5,27.5,0.0,0.0,70895.0,2578
2021/03/02,27.51,27.51,27.5,27.5,27.51,-0.04,-0.01,346380.0,12594
2021/03/01,27.51,27.56,27.5,27.51,27.51,0.18,0.05,69065.0,2506
2021/02/28,28.02,27.89,27.5,27.51,28.02,-1.86,-0.52,336752.38,12242
2021/02/25,27.19,28.45,27.3,28.02,27.19,3.24,0.88,1540432.75,54972
2021/02/24,27.59,27.4,27.1,27.19,27.59,-1.78,-0.49,135950.0,5000
2021/02/23,27.59,27.05,27.01,27.59,27.59,-2.03,-0.56,2324.62,86
2021/02/22,27.0,27.9,27.0,27.59,27.0,3.22,0.87,255880.56,9276
2021/02/21,26.87,27.0,27.0,27.0,26.87,0.48,0.13,210735.0,7805
2021/02/17,27.26,27.0,26.5,26.87,27.26,-2.42,-0.66,315979.59,11758
2021/02/16,27.26,27.0,27.0,27.26,27.26,-0.95,-0.26,52758.0,1954
2021/02/15,27.26,27.11,27.11,27.26,27.26,-0.55,-0.15,27110.0,1000
2021/02/14,27.26,27.0,26.86,27.26,27.26,-0.95,-0.26,2834.3,105
2021/02/11,26.23,28.25,26.86,27.26,26.23,2.4,0.63,440702.22,16169
