«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2024/03/14,0.088,0.092,0.089,0.091,0.088,3.41,0.003,1470381.69,333804
2024/03/13,0.09,0.091,0.085,0.088,0.09,-2.22,-0.002,466747.66,108810
2024/03/12,0.09,0.093,0.088,0.09,0.09,0.0,0.0,1245263.38,280076
2024/03/11,0.09,0.091,0.09,0.09,0.09,0.0,0.0,1025106.6,231035
2024/03/10,0.085,0.092,0.081,0.09,0.085,5.88,0.005,2559229.48,579120
2024/03/07,0.08,0.086,0.079,0.085,0.08,6.25,0.005,431479.27,104220
2024/03/06,0.086,0.085,0.078,0.08,0.086,-6.98,-0.006,537339.97,216828
2024/03/05,0.086,0.085,0.085,0.086,0.086,0.0,0.0,112255.52,42740
2024/03/04,0.085,0.087,0.085,0.086,0.085,1.18,0.001,443488.17,166329
2024/03/03,0.085,0.087,0.087,0.085,0.085,0.0,0.0,8402.08,3126
2024/02/29,0.084,0.088,0.084,0.085,0.084,1.19,0.001,1321977.32,495819
2024/02/28,0.084,0.087,0.082,0.084,0.084,0.0,0.0,185446.22,71800
2024/02/27,0.081,0.086,0.083,0.084,0.081,3.7,0.003,924370.37,354639
2024/02/26,0.079,0.082,0.08,0.081,0.079,2.53,0.002,923532.07,371831
2024/02/25,0.075,0.08,0.076,0.079,0.075,5.33,0.004,631200.09,259414
2024/02/22,0.075,0.075,0.075,0.075,0.075,0.0,0.0,196.94,85
2024/02/21,0.075,0.078,0.075,0.075,0.075,0.0,0.0,507217.24,218227
2024/02/20,0.075,0.078,0.077,0.075,0.075,0.0,0.0,226734.08,94667
2024/02/19,0.075,0.078,0.077,0.075,0.075,0.0,0.0,286645.8,120260
2024/02/18,0.074,0.076,0.075,0.075,0.074,1.35,0.001,302728.18,129998
2024/02/15,0.073,0.075,0.072,0.074,0.073,1.37,0.001,326003.41,142717
2024/02/14,0.073,0.074,0.074,0.073,0.073,0.0,0.0,32005.04,14000
2024/02/13,0.073,0.072,0.072,0.073,0.073,0.0,0.0,13123.3,5900
2024/02/12,0.073,0.073,0.072,0.073,0.073,-1.37,-0.001,2038.304,28032
2024/02/11,0.073,0.072,0.072,0.073,0.073,0.0,0.0,1957.37,880
2024/02/08,0.073,0.075,0.073,0.073,0.073,0.0,0.0,162304.56,70344
2024/02/07,0.073,0.073,0.073,0.073,0.073,0.0,0.0,104554.73,46362
2024/02/06,0.073,0.074,0.072,0.073,0.073,0.0,0.0,151902.24,66885
2024/02/05,0.073,0.073,0.072,0.073,0.073,0.0,0.0,62707.64,27845
2024/02/04,0.073,0.073,0.073,0.073,0.073,0.0,0.0,172160.57,76340
2024/02/01,0.073,0.071,0.071,0.073,0.073,0.0,0.0,8192.33,3735
2024/01/31,0.073,0.072,0.071,0.073,0.073,0.0,0.0,53012.16,24109
2024/01/30,0.073,0.073,0.072,0.073,0.073,0.0,0.0,137197.47,60846
2024/01/29,0.073,0.073,0.072,0.073,0.073,0.0,0.0,202657.42,90000
2024/01/28,0.073,0.072,0.072,0.073,0.073,0.0,0.0,57831.51,26000
2024/01/24,0.073,0.073,0.072,0.073,0.073,0.0,0.0,84660.76,38055
2024/01/23,0.073,0.072,0.072,0.073,0.073,0.0,0.0,90732.85,40790
2024/01/22,0.073,0.073,0.072,0.073,0.073,0.0,0.0,2070.75,925
2024/01/21,0.073,0.073,0.073,0.073,0.073,0.0,0.0,773.53,343
2024/01/18,0.073,0.072,0.072,0.073,0.073,0.0,0.0,199923.53,89882
2024/01/17,0.073,0.072,0.071,0.073,0.073,0.0,0.0,248108.67,111546
2024/01/16,0.073,0.072,0.072,0.073,0.073,0.0,0.0,21264.2,9560
2024/01/15,0.073,0.074,0.072,0.073,0.073,0.0,0.0,125377.04,55837
2024/01/14,0.073,0.074,0.073,0.073,0.073,0.0,0.0,92096.43,40448
2024/01/11,0.073,0.074,0.073,0.073,0.073,0.0,0.0,169626.4,74570
2024/01/10,0.069,0.074,0.072,0.073,0.069,5.8,0.004,315617.0,139663
2024/01/09,0.069,0.072,0.07,0.069,0.069,0.0,0.0,218300.11,98866
2024/01/08,0.069,0.072,0.071,0.069,0.069,0.0,0.0,144819.12,65115
2024/01/04,0.069,0.07,0.07,0.069,0.069,0.0,0.0,16807.72,7773
2024/01/03,0.069,0.07,0.069,0.069,0.069,0.0,0.0,93037.01,43034
2024/01/02,0.069,0.07,0.069,0.069,0.069,0.0,0.0,29966.31,14000
2023/12/31,0.069,0.069,0.069,0.069,0.069,0.0,0.0,1129.76,530
2023/12/28,0.069,0.069,0.069,0.069,0.069,0.0,0.0,21316.24,10000
2023/12/27,0.069,0.07,0.07,0.069,0.069,0.0,0.0,108125.85,50000
2023/12/26,0.069,0.07,0.069,0.069,0.069,0.0,0.0,25297.0,11705
2023/12/25,0.069,0.071,0.069,0.069,0.069,0.0,0.0,212656.55,98060
2023/12/24,0.069,0.07,0.068,0.069,0.069,0.0,0.0,13799.95,6500
2023/12/21,0.069,0.07,0.068,0.069,0.069,0.0,0.0,46814.17,21725
2023/12/20,0.069,0.07,0.069,0.069,0.069,0.0,0.0,5070.64,2350
2023/12/19,0.073,0.071,0.067,0.069,0.073,-5.48,-0.004,501959.06,233727
2023/12/17,0.073,0.071,0.071,0.073,0.073,0.0,0.0,50314.88,22938
2023/12/14,0.073,0.071,0.071,0.073,0.073,0.0,0.0,30209.84,13773
2023/12/13,0.073,0.071,0.071,0.073,0.073,0.0,0.0,103243.81,47070
2023/12/12,0.073,0.071,0.07,0.073,0.073,0.0,0.0,159327.58,73600
2023/12/11,0.073,0.07,0.07,0.073,0.073,0.0,0.0,119076.84,55064
2023/12/10,0.073,0.07,0.07,0.073,0.073,0.0,0.0,2205.77,1020
2023/12/05,0.073,0.071,0.07,0.073,0.073,0.0,0.0,4161.63,1900
2023/12/04,0.073,0.073,0.073,0.073,0.073,0.0,0.0,6540.07,2900
2023/12/03,0.073,0.071,0.071,0.073,0.073,0.0,0.0,1535.46,700
2023/11/30,0.073,0.071,0.07,0.073,0.073,0.0,0.0,6058.12,2787
2023/11/29,0.073,0.071,0.07,0.073,0.073,0.0,0.0,77146.63,35500
2023/11/28,0.072,0.074,0.07,0.073,0.072,1.39,0.001,313261.64,139085
2023/11/23,0.072,0.07,0.07,0.072,0.072,0.0,0.0,32439.33,15000
2023/11/22,0.072,0.072,0.071,0.072,0.072,0.0,0.0,43528.82,19724
2023/11/21,0.072,0.07,0.07,0.072,0.072,0.0,0.0,1081.31,500
2023/11/20,0.072,0.07,0.07,0.072,0.072,0.0,0.0,57491.14,26584
2023/11/16,0.072,0.071,0.07,0.072,0.072,0.0,0.0,77550.95,35369
2023/11/14,0.072,0.073,0.072,0.072,0.072,0.0,0.0,15533.81,6900
2023/11/13,0.072,0.072,0.072,0.072,0.072,0.0,0.0,3143.09,1413
