«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,122.37,123.0,119.6,120.18,122.37,-1.83,-2.24,1252523.75,10380
2026/01/12,123.76,125.08,122.25,122.37,123.76,-1.18,-1.46,1394105.25,11375
2026/01/11,124.53,125.8,122.1,123.76,124.53,-1.23,-1.53,447580.25,3614
2026/01/08,126.44,126.44,124.1,124.53,126.44,-1.6,-2.02,794722.94,6356
2026/01/06,125.72,127.49,125.21,126.44,125.72,-0.33,-0.42,364707.78,2886
2026/01/05,126.94,128.4,125.0,125.72,126.94,-1.27,-1.61,3773321.0,29733
2026/01/04,129.13,131.8,125.51,126.94,129.13,-1.7,-2.19,3839717.25,29936
2025/12/31,125.45,130.0,125.0,129.13,125.45,2.93,3.68,1.5468334E7,120366
2025/12/30,121.92,128.5,121.5,125.45,121.92,2.9,3.53,1.1309983E7,90177
2025/12/29,121.78,123.0,120.0,121.92,121.78,0.11,0.14,1827197.0,15106
2025/12/28,122.39,123.4,121.75,121.78,122.39,-0.52,-0.64,1284291.13,10523
2025/12/25,121.83,124.7,121.5,122.39,121.83,0.46,0.56,5002057.5,40715
2025/12/24,121.87,123.98,121.1,121.83,121.87,0.82,1.0,1494522.25,12218
2025/12/23,123.0,124.4,121.0,121.87,123.0,-1.63,-2.0,1275805.63,10415
2025/12/22,122.52,124.65,122.0,123.0,122.52,1.21,1.48,369759.81,3005
2025/12/21,123.44,125.49,122.0,122.52,123.44,0.98,1.21,1626341.75,13149
2025/12/18,124.44,125.99,123.0,123.44,124.44,-0.8,-1.0,971472.44,7843
2025/12/17,125.6,126.89,124.0,124.44,125.6,-1.07,-1.35,910032.69,7302
2025/12/16,125.0,130.1,124.0,125.6,125.0,0.48,0.6,7600368.5,59189
2025/12/15,126.42,127.12,125.0,125.0,126.42,-1.12,-1.42,861695.94,6880
2025/12/14,123.29,127.77,123.1,126.42,123.29,2.3,2.83,1613496.38,12795
2025/12/11,126.01,127.8,123.0,123.29,126.01,-1.2,-1.51,1883457.75,15051
2025/12/10,126.74,128.0,126.0,126.01,126.74,-0.58,-0.73,1489064.13,11772
2025/12/09,127.39,128.8,126.0,126.74,127.39,0.09,0.11,1146007.25,9040
2025/12/08,126.0,128.9,126.0,127.39,126.0,1.57,1.98,884474.75,6974
2025/12/07,127.28,130.0,125.01,126.0,127.28,-1.01,-1.28,4538221.0,35769
2025/12/04,128.2,130.0,126.54,127.28,128.2,-0.92,-1.18,582773.31,4542
2025/12/03,126.3,128.99,126.0,128.2,126.3,1.35,1.7,1177406.88,9254
2025/12/02,126.69,128.99,125.0,126.3,126.69,-0.31,-0.39,630920.88,5008
2025/12/01,123.47,130.0,122.04,126.69,123.47,2.61,3.22,8643305.0,67290
2025/11/30,121.99,125.0,121.0,123.47,121.99,0.83,1.01,1475557.13,12006
2025/11/27,120.49,124.49,120.01,121.99,120.49,2.66,3.21,4592760.0,37678
2025/11/26,123.65,125.7,120.0,120.49,123.65,-2.55,-3.15,4042580.25,33539
2025/11/25,127.02,129.59,122.32,123.65,127.02,-3.7,-4.7,4659339.0,37411
2025/11/24,129.29,131.0,126.01,127.02,129.29,-1.76,-2.27,7233938.5,56226
2025/11/23,129.5,132.0,129.02,129.29,129.5,-0.37,-0.48,1614285.88,12453
2025/11/20,130.2,132.0,128.0,129.5,130.2,-0.5,-0.65,6442493.0,49435
2025/11/19,130.08,131.59,130.02,130.2,130.08,-0.04,-0.05,1066279.63,8183
2025/11/18,133.51,134.0,127.0,130.08,133.51,-2.57,-3.43,2895755.0,22406
2025/11/16,131.46,134.0,130.0,133.51,131.46,1.56,2.05,8968451.0,67789
2025/11/13,132.72,133.0,131.15,131.46,132.72,-0.69,-0.92,1813713.25,13757
2025/11/12,131.07,135.99,131.11,132.72,131.07,0.8,1.05,3370375.75,25394
