«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,22.99,23.19,22.22,22.6,22.99,-1.7,-0.39,1.600444E7,704144
2026/01/12,23.22,23.5,22.91,22.99,23.22,-0.99,-0.23,2.085438E7,900881
2026/01/11,23.24,23.51,23.02,23.22,23.24,-0.09,-0.02,1.1068772E7,476492
2026/01/08,23.6,23.88,23.17,23.24,23.6,-1.53,-0.36,9328134.0,398968
2026/01/06,23.25,23.95,23.2,23.6,23.25,1.51,0.35,1.3997649E7,592794
2026/01/05,23.8,23.95,23.0,23.25,23.8,-2.31,-0.55,9719961.0,415095
2026/01/04,24.48,24.48,23.8,23.8,24.48,-2.78,-0.68,2.0904964E7,873297
2025/12/31,24.55,24.84,24.0,24.48,24.55,-0.29,-0.07,1.7632852E7,726210
2025/12/30,24.76,24.91,24.53,24.55,24.76,-0.85,-0.21,6161615.0,249914
2025/12/29,24.73,25.0,24.72,24.76,24.73,0.12,0.03,5882445.5,236739
2025/12/28,24.63,25.0,24.55,24.73,24.63,0.41,0.1,8680266.0,351292
2025/12/25,24.76,24.87,24.63,24.63,24.76,-0.53,-0.13,6233836.5,252064
2025/12/24,25.0,25.1,24.72,24.76,25.0,-0.96,-0.24,5621025.0,226123
2025/12/23,24.79,25.2,24.7,25.0,24.79,0.85,0.21,1.6569038E7,664290
2025/12/22,24.72,25.25,24.72,24.79,24.72,0.28,0.07,1.8346482E7,735154
2025/12/21,24.9,25.14,24.72,24.72,24.9,-0.72,-0.18,7885806.5,317279
2025/12/18,24.81,25.03,24.71,24.9,24.81,0.36,0.09,1.4183785E7,570237
2025/12/17,25.05,25.29,24.71,24.81,25.05,-0.96,-0.24,1.8497284E7,742037
2025/12/16,25.5,25.79,25.05,25.05,25.5,-1.76,-0.45,2.1916346E7,866849
2025/12/15,25.64,26.39,25.5,25.5,25.64,-0.55,-0.14,6.5472424E7,2534423
2025/12/14,23.95,26.2,24.5,25.64,23.95,7.06,1.69,2.32786176E8,9038026
2025/12/11,24.38,24.5,23.93,23.95,24.38,-1.76,-0.43,1.83686E7,760513
2025/12/10,24.32,24.93,24.24,24.38,24.32,0.25,0.06,1.712443E7,696888
2025/12/09,24.13,24.5,24.05,24.32,24.13,0.79,0.19,1.0458091E7,431801
2025/12/08,24.44,24.7,24.01,24.13,24.44,-1.27,-0.31,1.2086335E7,497187
2025/12/07,24.8,25.0,24.44,24.44,24.8,-1.45,-0.36,1.6221872E7,658776
2025/12/04,25.0,25.29,24.71,24.8,25.0,-0.8,-0.2,1.2871407E7,516684
2025/12/03,25.6,25.9,24.92,25.0,25.6,-2.34,-0.6,2.5985388E7,1031481
2025/12/02,24.85,26.18,25.1,25.6,24.85,3.02,0.75,9.681352E7,3780873
2025/12/01,23.86,25.09,23.85,24.85,23.86,4.15,0.99,5.7692284E7,2349566
