«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,18.97,19.9,15.5,17.8,18.97,-6.17,-1.17,1228751.75,74097
2026/01/05,16.99,18.99,16.98,18.97,16.99,11.65,1.98,278388.31,15223
2025/12/31,17.0,17.58,16.01,16.99,17.0,-0.06,-0.01,24200.38,1456
2025/12/29,17.0,17.74,15.0,17.0,17.0,0.0,0.0,1211960.63,79900
2025/12/24,17.0,17.0,16.0,17.0,17.0,0.0,0.0,84433.12,4991
2025/12/22,16.5,17.0,15.51,17.0,16.5,3.03,0.5,206535.52,12340
2025/12/17,16.49,16.5,15.5,16.5,16.49,0.06,0.01,226283.55,13959
2025/12/15,16.08,16.6,15.8,16.49,16.08,2.55,0.41,65445.98,4049
2025/12/10,15.71,16.5,15.73,16.08,15.71,2.36,0.37,219741.47,13586
2025/12/08,16.0,16.95,15.63,15.71,16.0,-1.81,-0.29,89149.24,5538
2025/12/03,16.0,17.4,15.56,16.0,16.0,0.0,0.0,177776.7,10881
2025/12/01,17.0,17.5,15.1,16.0,17.0,-5.88,-1.0,296681.38,18755
2025/11/26,16.98,18.0,15.15,17.0,16.98,0.12,0.02,469652.44,27516
2025/11/24,21.2,22.0,15.15,16.98,21.2,-19.91,-4.22,1155951.5,71296
2025/11/19,24.0,26.89,20.07,21.2,24.0,-11.67,-2.8,422546.72,19346
2025/11/17,35.0,35.0,20.0,24.0,35.0,-31.43,-11.0,924891.25,40059
2025/11/12,29.97,49.0,26.26,35.0,29.97,16.780001,5.03,1476843.25,44601
2025/11/10,12.05,30.0,12.99,29.97,12.05,148.710007,17.92,1922738.38,99538
2025/11/05,13.4,13.4,12.02,12.05,13.4,-10.07,-1.35,136686.58,11135
2025/11/03,13.2,13.4,12.01,13.4,13.2,1.52,0.2,27704.21,2153
2025/10/29,13.0,13.6,13.2,13.2,13.0,1.54,0.2,42394.6,3195
2025/10/27,13.5,13.6,13.0,13.0,13.5,-3.7,-0.5,90197.4,6721
2025/10/22,13.0,13.83,12.45,13.5,13.0,3.85,0.5,145341.91,10885
2025/10/20,13.0,13.85,13.0,13.0,13.0,0.0,0.0,87678.46,6694
2025/10/15,13.85,13.85,12.91,13.0,13.85,-6.14,-0.85,553000.06,42421
2025/10/13,12.9,14.0,13.0,13.85,12.9,7.36,0.95,248925.7,18524
2025/10/08,11.17,12.95,12.9,12.9,11.17,15.49,1.73,13702.8,1062
2025/10/06,13.49,13.55,11.0,11.17,13.49,-17.200001,-2.32,10349.54,783
2025/10/01,13.03,13.99,13.03,13.49,13.03,3.53,0.46,17985.1,1329
2025/09/29,13.0,13.11,13.0,13.03,13.0,0.23,0.03,13334.43,1019
2025/09/24,13.0,13.5,13.0,13.0,13.0,0.0,0.0,27029.0,2079
2025/09/22,14.49,14.45,12.8,13.0,14.49,-10.28,-1.49,144858.98,11126
2025/09/17,14.8,14.8,13.5,14.49,14.8,-2.09,-0.31,3481.66,240
2025/09/15,14.3,14.8,13.02,14.8,14.3,3.5,0.5,19695.65,1461
2025/09/10,14.3,14.3,14.0,14.3,14.3,0.0,0.0,2791.0,197
2025/09/08,14.0,15.0,14.0,14.3,14.0,2.14,0.3,7277.0,509
2025/09/03,15.0,15.15,14.0,14.0,15.0,-6.67,-1.0,2920.25,206
2025/09/01,14.3,15.0,14.3,15.0,14.3,4.9,0.7,215049.59,14388
2025/08/27,14.9,15.0,14.3,14.3,14.9,-4.03,-0.6,83219.3,5607
2025/08/25,13.3,14.9,13.31,14.9,13.3,12.03,1.6,183116.55,12750
2025/08/20,14.0,14.0,13.3,13.3,14.0,-5.0,-0.7,41422.1,3069
2025/08/18,14.1,14.0,13.4,14.0,14.1,-0.71,-0.1,65158.45,4750
2025/08/13,13.5,14.5,13.26,14.1,13.5,4.44,0.6,72663.69,5233
2025/08/11,14.9,14.9,13.2,13.5,14.9,-9.4,-1.4,59755.52,4420
2025/08/06,14.7,15.5,13.01,14.9,14.7,1.36,0.2,38240.73,2685
2025/08/04,14.66,15.0,14.67,14.7,14.66,0.27,0.04,45156.61,3053
2025/07/30,15.0,15.05,14.66,14.66,15.0,0.0,-0.34,65614.1,4371
2025/07/28,16.5,16.5,14.65,15.0,16.5,-9.09,-1.5,347631.47,23147
2025/07/23,15.0,16.5,14.8,16.5,15.0,10.0,1.5,107739.11,7201
2025/07/21,18.0,18.45,15.0,15.0,18.0,-16.67,-3.0,1078730.38,71178
2025/07/16,14.49,18.0,15.0,18.0,14.49,24.219999,3.51,90453.95,5610
2025/07/14,15.0,15.1,14.03,14.49,15.0,-3.4,-0.51,172198.95,11894
2025/07/07,15.0,20.0,15.0,15.0,15.0,0.0,0.0,172333.33,11090
2025/07/02,19.0,22.9,15.0,15.0,19.0,-21.049999,-4.0,277416.72,15463
2025/06/30,17.0,23.0,19.0,19.0,17.0,11.76,2.0,54970.8,2754
2025/06/25,21.0,29.79,15.0,17.0,21.0,-19.049999,-4.0,97194.37,4858
2025/06/23,15.8,30.0,18.6,21.0,15.8,32.91,5.2,328924.81,15404
2025/06/18,17.77,19.88,15.5,15.8,17.77,-11.09,-1.97,21725.86,1233
2025/06/16,14.5,19.0,12.01,17.77,14.5,22.549999,3.27,95016.22,5243
2025/06/11,15.0,17.0,14.25,14.5,15.0,-3.33,-0.5,81108.12,5424
2025/06/04,12.5,15.0,11.56,15.0,12.5,20.0,2.5,26860.54,1848
2025/06/02,12.48,12.5,12.5,12.5,12.48,0.16,0.02,34125.0,2730
2025/05/28,12.48,13.59,12.48,12.48,12.48,0.0,0.0,21616.78,1686
2025/05/26,12.0,12.48,12.48,12.48,12.0,4.0,0.48,1322.88,106
2025/05/21,12.04,12.03,12.0,12.0,12.04,-0.33,-0.04,2726.75,227
2025/05/19,12.03,12.48,12.0,12.04,12.03,0.08,0.01,128176.65,10665
2025/05/14,13.46,13.4,12.0,12.03,13.46,-10.62,-1.43,12969.25,1071
2025/05/07,11.5,13.46,11.55,13.46,11.5,17.04,1.96,37563.96,2907
2025/05/05,12.5,12.5,11.5,11.5,12.5,-8.0,-1.0,19274.5,1665
2025/04/30,11.7,12.5,11.6,12.5,11.7,6.84,0.8,19583.35,1576
2025/04/28,11.5,11.7,11.6,11.7,11.5,1.74,0.2,1390.8,119
2025/04/23,11.07,11.55,11.5,11.5,11.07,3.88,0.43,7080.5,615
2025/04/16,11.56,11.64,11.0,11.07,11.56,-4.24,-0.49,33188.5,3014
2025/04/14,12.75,13.0,11.08,11.56,12.75,-9.33,-1.19,17645.38,1467
2025/04/09,11.3,12.75,12.0,12.75,11.3,12.83,1.45,4233.75,335
2025/04/07,13.0,12.75,11.08,11.3,13.0,-13.08,-1.7,1410.06,126
2025/03/26,11.04,13.0,11.04,13.0,11.04,17.75,1.96,1925.99,164
2025/03/24,11.32,13.0,11.04,11.04,11.32,-2.47,-0.28,15079.31,1173
2025/03/19,9.06,11.32,11.32,9.06,9.06,24.940001,2.26,226.4,20
2025/03/17,12.99,12.6,9.03,9.06,12.99,-30.25,-3.93,12566.03,1097
2025/03/12,13.69,13.0,12.26,12.99,13.69,-5.11,-0.7,8266.88,652
2025/03/10,13.5,13.69,13.69,13.5,13.5,1.41,0.19,13.69,1
2025/03/05,12.31,13.5,12.3,13.5,12.31,9.67,1.19,6204.11,501
2025/03/03,12.26,13.7,12.27,12.31,12.26,0.41,0.05,25001.8,2031
2025/02/26,12.26,13.79,12.26,12.26,12.26,0.0,0.0,10037.63,765
2025/02/24,12.2,13.56,12.0,12.26,12.2,0.49,0.06,17489.4,1400
2025/02/19,13.8,13.0,12.2,12.2,13.8,-11.59,-1.6,2570.3,210
2025/02/17,13.35,13.8,13.2,13.8,13.35,3.37,0.45,14540.6,1084
2025/02/12,12.25,13.35,12.25,13.35,12.25,8.98,1.1,11316.05,919
2025/02/10,12.23,12.25,12.23,12.25,12.23,0.16,0.02,3356.48,274
2025/02/05,13.88,13.88,12.05,12.23,13.88,-11.89,-1.65,6530.26,536
2025/02/03,13.5,14.0,13.0,13.88,13.5,2.81,0.38,7827.88,602
2025/01/29,12.51,14.0,12.41,13.5,12.51,7.91,0.99,22333.23,1670
2025/01/27,12.2,13.0,12.2,12.51,12.2,2.54,0.31,29257.09,2300
2025/01/22,12.2,13.0,12.2,12.2,12.2,0.0,0.0,11362.2,911
2025/01/20,13.0,14.0,12.0,12.2,13.0,-6.15,-0.8,54298.8,4282
2025/01/15,14.0,13.0,13.0,13.0,14.0,-7.14,-1.0,1300.0,100
2025/01/13,14.95,14.0,12.0,14.0,14.95,-6.35,-0.95,1342.45,110
2025/01/08,14.95,14.95,14.95,14.95,14.95,0.0,0.0,284.05,19
2025/01/06,13.5,14.95,12.01,14.95,13.5,10.74,1.45,22790.75,1676
2024/12/30,14.0,13.6,13.5,13.5,14.0,-3.57,-0.5,5794.22,429
2024/12/25,15.9,14.0,14.0,15.9,15.9,-11.95,-1.9,784.0,56
2024/12/23,15.99,15.99,15.9,15.99,15.99,-0.56,-0.09,862.83,54
2024/12/18,13.7,16.11,15.99,15.99,13.7,16.719999,2.29,17824.2,1114
2024/12/16,16.12,13.71,12.07,13.7,16.12,-15.01,-2.42,7676.24,568
2024/12/11,15.01,16.12,12.05,16.12,15.01,7.4,1.11,52348.08,3588
2024/12/09,15.4,15.4,14.05,15.01,15.4,-2.53,-0.39,26311.6,1813
2024/12/04,14.7,15.4,15.4,14.7,14.7,4.76,0.7,770.0,50
2024/12/02,14.7,15.0,14.0,14.7,14.7,0.0,0.0,12073.0,811
2024/11/27,14.7,14.7,14.7,14.7,14.7,0.0,0.0,352.8,24
2024/11/20,14.8,14.7,13.13,14.7,14.8,-0.68,-0.1,13870.98,1039
2024/11/18,15.0,15.02,14.8,14.8,15.0,-1.33,-0.2,15276.48,1019
2024/11/13,16.27,16.27,15.0,15.0,16.27,-7.81,-1.27,25294.04,1666
2024/11/11,16.4,16.27,15.01,16.4,16.4,-0.79,-0.13,595.47,39
2024/11/06,16.89,16.4,15.0,16.4,16.89,-2.9,-0.49,6512.0,432
2024/11/04,16.94,17.5,16.89,16.94,16.94,-0.3,-0.05,1541.32,91
2024/10/30,15.3,16.94,16.0,15.3,15.3,10.72,1.64,1311.92,78
2024/10/28,17.0,17.79,15.3,15.3,17.0,-10.0,-1.7,10799.25,666
2024/10/23,9.0,17.9,14.99,17.0,9.0,88.889999,8.0,43749.54,2637
2024/10/21,15.0,15.99,9.0,9.0,15.0,-40.0,-6.0,11630.2,916
2024/10/16,16.0,16.0,15.0,15.0,16.0,-6.25,-1.0,38143.2,2464
2024/10/14,16.01,16.1,16.0,16.0,16.01,-0.06,-0.01,10090.24,630
2024/10/09,18.84,19.0,16.0,16.01,18.84,-15.02,-2.83,42192.09,2610
2024/10/07,16.2,18.95,16.0,18.84,16.2,16.299999,2.64,20672.51,1226
2024/10/02,16.0,16.2,16.0,16.2,16.0,1.25,0.2,2410.0,150
2024/09/30,16.3,16.3,15.3,16.0,16.3,-1.84,-0.3,35823.02,2270
2024/09/25,15.25,16.3,15.25,16.3,15.25,6.89,1.05,14633.35,930
2024/09/23,15.0,15.3,15.0,15.25,15.0,1.67,0.25,39090.55,2601
2024/09/18,15.1,15.1,14.65,15.0,15.1,-0.66,-0.1,106570.95,7103
2024/09/16,15.0,16.0,15.1,15.1,15.0,0.67,0.1,64105.7,4007
2024/09/11,16.2,16.2,15.0,15.0,16.2,-7.41,-1.2,87535.22,5674
2024/09/09,16.7,16.7,15.31,16.2,16.7,-2.99,-0.5,13976.34,872
2024/09/04,16.5,16.7,16.5,16.7,16.5,1.21,0.2,4343.7,262
2024/09/02,16.13,17.0,16.5,16.5,16.13,2.29,0.37,29327.5,1756
2024/08/26,18.05,20.75,15.01,16.13,18.05,-10.64,-1.92,7354.89,409
2024/08/21,17.03,20.75,17.7,18.05,17.03,5.99,1.02,149685.59,8350
2024/08/19,20.0,20.02,17.03,17.03,20.0,-14.85,-2.97,5160.74,263
2024/08/14,20.85,20.95,19.02,20.0,20.85,-4.08,-0.85,151868.63,7338
2024/08/12,17.01,20.97,20.85,20.85,17.01,22.57,3.84,49870.2,2380
2024/08/07,16.5,19.0,17.01,17.01,16.5,3.09,0.51,75279.87,4255
2024/08/05,24.01,29.85,16.5,16.5,24.01,-31.280001,-7.51,3535.75,161
2024/07/31,27.0,27.95,15.1,24.01,27.0,-11.07,-2.99,366661.41,14687
2024/07/29,13.02,27.0,13.0,27.0,13.02,107.370003,13.98,24274.68,1434
2024/07/24,13.0,13.02,13.02,13.0,13.0,0.15,0.02,807.24,62
2024/07/22,15.0,15.0,13.0,13.0,15.0,-13.33,-2.0,7793.61,595
2024/07/17,16.84,17.0,15.0,16.84,16.84,-10.93,-1.84,710.56,46
2024/07/15,11.52,17.5,13.0,16.84,11.52,46.18,5.32,8506.83,611
2024/07/08,15.3,14.8,11.2,11.52,15.3,-24.709999,-3.78,4175.96,361
2024/07/03,15.35,17.96,15.3,15.3,15.35,-0.33,-0.05,40291.7,2513
2024/07/01,14.51,17.96,15.0,15.35,14.51,5.79,0.84,12285.72,801
2024/06/26,10.3,44.0,11.4,14.51,10.3,40.869999,4.21,297590.28,10184
2024/06/24,11.48,10.3,10.3,10.3,11.48,-10.28,-1.18,1030.0,100
2024/06/12,11.48,11.69,11.48,11.48,11.48,0.0,0.0,972.72,84
2024/06/10,11.68,11.7,11.48,11.68,11.68,-1.71,-0.2,494.08,43
2024/06/05,10.3,11.68,11.68,10.3,10.3,13.4,1.38,116.8,10
2024/06/03,10.99,10.3,10.3,10.3,10.99,-6.28,-0.69,2884.0,280
2024/05/29,11.64,10.99,10.99,10.99,11.64,-5.58,-0.65,1099.0,100
2024/05/27,12.4,11.64,7.03,11.64,12.4,-6.13,-0.76,2883.49,312
2024/05/22,12.4,12.4,12.4,12.4,12.4,0.0,0.0,12.4,1
2024/05/20,10.7,12.49,10.61,12.4,10.7,15.89,1.7,13438.94043,1216
2024/05/15,11.4,11.8,10.7,10.7,11.4,-6.14,-0.7,21260.0,1905
2024/05/13,11.0,12.0,11.4,11.4,11.0,3.64,0.4,35025.0,3000
2024/05/08,12.0,13.49,11.0,11.0,12.0,-8.33,-1.0,68812.851563,6137
2024/05/01,11.0,13.79,11.0,11.0,11.0,9.09,1.0,439.950012,36
2024/04/29,11.0,11.15,10.8,11.0,11.0,0.0,0.0,42535.351563,3874
2024/04/24,11.0,12.94,11.0,11.0,11.0,0.0,0.0,12732.799805,1114
2024/04/22,10.6,11.6,11.0,11.0,10.6,3.77,0.4,29873.5,2655
2024/04/17,10.0,11.99,10.0,10.6,10.0,6.0,0.6,13739.099609,1296
2024/04/15,11.0,11.0,10.0,10.0,11.0,-9.09,-1.0,72007.0,6600
2024/04/08,11.5,11.0,10.2,11.0,11.5,-4.35,-0.5,10552.0,1032
2024/04/03,8.08,11.5,9.99,11.5,8.08,42.330002,3.42,19398.800781,1770
2024/04/01,10.02,8.08,8.08,8.08,10.02,-19.360001,-1.94,808.0,100
2024/03/27,10.0,11.4,10.02,10.02,10.0,0.2,0.02,2375.399902,235
2024/03/25,12.0,11.5,10.0,10.0,12.0,-16.67,-2.0,9000.75,840
2024/03/13,12.97,12.0,12.0,12.97,12.97,-7.48,-0.97,12.0,1
2024/03/11,12.97,12.97,12.97,12.97,12.97,0.0,0.0,38.91,3
2024/03/06,10.5,12.97,11.0,12.97,10.5,23.52,2.47,57221.101563,4952
2024/03/04,11.89,12.0,10.06,10.5,11.89,-11.69,-1.39,1299.060059,117
2024/02/28,11.43,11.89,10.3,11.89,11.43,4.02,0.46,21570.929688,1975
2024/02/26,11.48,11.48,10.36,11.43,11.48,-0.44,-0.05,12698.5,1153
2024/02/21,11.11,11.48,10.05,11.48,11.11,3.33,0.37,26251.910156,2588
2024/02/19,11.24,11.98,10.03,11.11,11.24,-1.16,-0.13,22613.029297,1994
2024/02/14,12.0,12.0,11.24,11.24,12.0,-6.33,-0.76,5711.0,501
2024/02/12,11.2,12.0,11.0,12.0,11.2,7.14,0.8,3779.73999,321
2024/02/07,11.86,11.2,11.0,11.2,11.86,-5.56,-0.66,5954.600098,538
2024/02/05,11.8,12.89,11.86,11.86,11.8,0.51,0.06,3737.590088,312
2024/01/31,12.97,13.0,10.1,11.8,12.97,-9.02,-1.17,16054.730469,1352
2024/01/29,11.0,12.97,9.07,12.97,11.0,17.91,1.97,4269.259766,403
2024/01/24,10.0,12.99,10.0,11.0,10.0,10.0,1.0,20887.099609,1944
2024/01/22,9.5,10.0,7.5,10.0,9.5,5.26,0.5,25447.599609,2777
2024/01/15,8.9,9.5,8.39,9.5,8.9,6.74,0.6,7142.3,823
2024/01/10,9.75,9.75,8.5,8.9,9.75,-8.72,-0.85,3413.050049,380
2024/01/08,9.75,9.75,8.93,9.75,9.75,0.0,0.0,6830.0,760
2023/12/25,9.25,8.4,8.2,8.4,9.25,-9.19,-0.85,5111.700195,616
2023/12/20,8.5,9.87,9.0,9.25,8.5,8.82,0.75,2936.360107,319
2023/12/18,8.1,9.0,7.31,8.5,8.1,4.94,0.4,25565.759766,2916
2023/12/13,8.01,8.5,8.0,8.1,8.01,1.12,0.09,4127.859863,502
2023/12/06,9.0,8.95,7.01,8.01,9.0,-11.0,-0.99,13509.419922,1773
2023/12/04,8.0,9.0,7.7,9.0,8.0,12.5,1.0,1396.900024,170
