«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,22.17,22.5,21.3,21.31,22.17,-3.88,-0.86,8277686.5,379642
2026/01/12,22.66,23.0,22.1,22.17,22.66,-2.16,-0.49,5059872.0,223997
2026/01/11,22.88,23.5,22.57,22.66,22.88,-0.96,-0.22,1.5029041E7,651186
2026/01/08,22.96,23.75,22.81,22.88,22.96,-0.35,-0.08,1.7476668E7,748180
2026/01/06,22.21,23.5,22.25,22.96,22.21,3.38,0.75,3.7690036E7,1634752
2026/01/05,22.05,22.53,21.45,22.21,22.05,0.73,0.16,1.7174436E7,773771
2026/01/04,21.2,22.96,21.17,22.05,21.2,4.01,0.85,4.8584172E7,2185871
2025/12/31,20.91,21.66,20.92,21.2,20.91,1.39,0.29,1.571676E7,736867
2025/12/30,20.68,21.4,20.7,20.91,20.68,1.11,0.23,1.229348E7,585013
2025/12/29,20.99,21.29,20.64,20.68,20.99,-1.48,-0.31,7374763.0,353322
2025/12/28,21.15,21.47,20.92,20.99,21.15,-0.76,-0.16,7227968.0,341991
2025/12/25,21.55,21.85,21.0,21.15,21.55,-1.86,-0.4,1.0266971E7,482813
2025/12/24,20.4,22.1,20.76,21.55,20.4,5.64,1.15,5.2409848E7,2429462
2025/12/23,21.19,21.29,20.0,20.4,21.19,-3.73,-0.79,3.3755664E7,1640294
2025/12/22,22.81,23.88,21.01,21.19,22.81,-7.1,-1.62,4.7917584E7,2176991
2025/12/21,21.5,23.9,21.0,22.81,21.5,6.09,1.31,5.0940884E7,2272714
2025/12/18,19.23,22.0,18.8,21.5,19.23,11.8,2.27,7.3141544E7,3552622
2025/12/17,19.33,19.8,19.09,19.23,19.33,-0.52,-0.1,1.0289457E7,528472
2025/12/16,20.03,20.39,18.85,19.33,20.03,-3.64,-0.73,1.8580168E7,958067
2025/12/15,20.11,20.8,19.82,20.03,20.11,-0.4,-0.08,2.0588038E7,1022247
2025/12/14,18.84,21.45,18.85,20.11,18.84,6.74,1.27,9.689104E7,4812506
2025/12/11,17.91,18.86,17.91,18.84,17.91,5.19,0.93,3.290071E7,1788979
2025/12/10,17.83,18.15,17.87,17.91,17.83,0.45,0.08,4201186.5,232997
2025/12/09,17.89,18.39,17.61,17.83,17.89,-0.34,-0.06,1.8836862E7,1041979
2025/12/08,18.25,18.65,17.85,17.89,18.25,-1.97,-0.36,1.1354624E7,623008
2025/12/07,17.12,18.25,17.14,18.25,17.12,6.6,1.13,1.3887928E7,783465
