«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.23,2.25,2.13,2.14,2.23,-4.04,-0.09,1.6480655E7,7545303
2026/01/12,2.22,2.31,2.19,2.23,2.22,0.45,0.01,3.5356928E7,15722995
2026/01/11,2.2,2.4,2.2,2.22,2.2,0.91,0.02,1.5662041E7,7024056
2026/01/08,2.26,2.31,2.19,2.2,2.26,-2.65,-0.06,2.9982122E7,13297228
2026/01/06,2.26,2.31,2.24,2.26,2.26,0.0,0.0,2.0855228E7,9183977
2026/01/05,2.19,2.36,2.13,2.26,2.19,3.2,0.07,7.9165984E7,34764020
2026/01/04,2.26,2.3,2.17,2.19,2.26,-3.1,-0.07,3.4207972E7,15357434
2025/12/31,2.31,2.36,2.26,2.26,2.31,-2.16,-0.05,6.0357364E7,26076518
2025/12/30,2.39,2.41,2.28,2.31,2.39,-3.35,-0.08,1.14408328E8,49178687
2025/12/29,2.31,2.54,2.37,2.39,2.31,3.46,0.08,1.74546624E8,71040430
2025/12/28,2.41,2.46,2.31,2.31,2.41,-4.15,-0.1,1.4588448E8,60895169
2025/12/25,2.22,2.5,2.27,2.41,2.22,8.56,0.19,3.1879552E8,133564858
2025/12/24,2.02,2.22,2.02,2.22,2.02,9.9,0.2,1.4558216E8,67567025
2025/12/23,1.95,2.03,1.96,2.02,1.95,3.59,0.07,3.8018452E7,18958967
2025/12/22,1.99,2.01,1.95,1.95,1.99,-2.01,-0.04,2.59394E7,13147309
2025/12/21,2.04,2.07,1.98,1.99,2.04,-2.45,-0.05,3.0912126E7,15343990
2025/12/18,1.98,2.08,1.98,2.04,1.98,3.03,0.06,8.2785784E7,40608366
2025/12/17,2.08,2.11,1.97,1.98,2.08,-4.81,-0.1,8.0274464E7,39667836
2025/12/16,2.15,2.19,2.08,2.08,2.15,-3.26,-0.07,3.5575036E7,16762158
2025/12/15,2.13,2.19,2.1,2.15,2.13,0.94,0.02,3.8186888E7,17741808
2025/12/14,2.2,2.22,2.13,2.13,2.2,-3.18,-0.07,3.9054416E7,18028058
2025/12/11,2.19,2.32,2.2,2.2,2.19,0.46,0.01,1.24900432E8,55592729
2025/12/10,2.19,2.26,2.11,2.19,2.19,0.0,0.0,7.602084E7,34458684
2025/12/09,2.27,2.33,2.19,2.19,2.27,-3.52,-0.08,1.09964768E8,48831084
2025/12/08,2.08,2.42,2.04,2.27,2.08,9.13,0.19,3.51023392E8,154809534
2025/12/07,1.74,2.08,1.74,2.08,1.74,19.540001,0.34,2.71281824E8,139225767
2025/12/04,1.75,1.8,1.73,1.74,1.75,-0.57,-0.01,3.7381888E7,21170572
2025/12/03,1.72,1.8,1.73,1.75,1.72,1.74,0.03,6.227232E7,35281388
2025/12/02,1.64,1.74,1.64,1.72,1.64,4.88,0.08,4.7542452E7,28016971
2025/12/01,1.66,1.71,1.62,1.64,1.66,-1.2,-0.02,2.7919938E7,16753469
2025/11/30,1.69,1.71,1.64,1.66,1.69,-1.78,-0.03,2.122626E7,12649896
2025/11/27,1.68,1.73,1.67,1.69,1.68,0.6,0.01,2.0710232E7,12207733
2025/11/26,1.67,1.76,1.65,1.68,1.67,0.6,0.01,2.5663014E7,15066468
2025/11/25,1.73,1.77,1.66,1.67,1.73,-3.47,-0.06,2.9892158E7,17463228
2025/11/24,1.78,1.79,1.72,1.73,1.78,-2.81,-0.05,2.1287664E7,12210349
2025/11/23,1.82,1.84,1.77,1.78,1.82,-2.2,-0.04,2.173395E7,12053249
2025/11/20,1.82,1.88,1.81,1.82,1.82,0.0,0.0,3.3093492E7,17947028
2025/11/19,1.79,1.82,1.77,1.82,1.79,1.68,0.03,2.4138622E7,13477574
2025/11/18,1.81,1.84,1.79,1.79,1.81,-1.1,-0.02,1.521229E7,8403721
2025/11/17,1.82,1.85,1.8,1.81,1.82,-0.55,-0.01,2.0927254E7,11505121
2025/11/16,1.84,1.87,1.81,1.82,1.84,-1.09,-0.02,3.0964538E7,16884178
2025/11/13,1.87,1.92,1.83,1.84,1.87,-1.6,-0.03,7.6819952E7,41009938
2025/11/12,1.8,1.9,1.81,1.87,1.8,3.89,0.07,8.0264112E7,43185896
2025/11/11,1.78,1.85,1.78,1.8,1.78,1.12,0.02,4.5255528E7,24887405
2025/11/10,1.79,1.8,1.74,1.78,1.79,-0.56,-0.01,3.542346E7,20030626
2025/11/09,1.82,1.85,1.79,1.79,1.82,-1.65,-0.03,2.7143304E7,14925129
2025/11/06,1.83,1.86,1.79,1.82,1.83,-0.55,-0.01,5.8665036E7,32000498
2025/11/05,1.87,1.9,1.79,1.83,1.87,-2.14,-0.04,1.04391656E8,56132461
2025/11/04,1.83,1.93,1.85,1.87,1.83,2.19,0.04,1.08391856E8,57414977
2025/11/03,1.81,1.85,1.76,1.83,1.81,1.1,0.02,1.1804688E8,65112584
2025/11/02,1.72,1.81,1.73,1.81,1.72,5.23,0.09,6.2477996E7,35196755
2025/10/30,1.75,1.78,1.7,1.72,1.75,-1.71,-0.03,2.949457E7,16987192
2025/10/29,1.65,1.83,1.64,1.75,1.65,6.06,0.1,1.69305952E8,95935041
2025/10/28,1.7,1.71,1.62,1.65,1.7,-2.94,-0.05,2.584197E7,15586326
2025/10/27,1.71,1.74,1.66,1.7,1.71,-0.58,-0.01,3.9375616E7,23265433
2025/10/26,1.55,1.78,1.54,1.71,1.55,10.32,0.16,1.40455296E8,83793676
2025/10/23,1.54,1.66,1.54,1.55,1.54,0.65,0.01,1.09602816E8,68922068
2025/10/22,1.4,1.64,1.39,1.54,1.4,10.0,0.14,2.20118864E8,143830265
2025/10/21,1.41,1.43,1.37,1.4,1.41,-0.71,-0.01,3.037097E7,21824090
2025/10/20,1.4,1.46,1.41,1.41,1.4,0.71,0.01,6.5812388E7,45976385
2025/10/19,1.35,1.42,1.36,1.4,1.35,3.7,0.05,6.7276424E7,48526238
2025/10/16,1.24,1.38,1.25,1.35,1.24,8.87,0.11,1.23588224E8,92690285
2025/10/15,1.2,1.24,1.2,1.24,1.2,3.33,0.04,1.2383971E7,10114378
2025/10/14,1.21,1.23,1.2,1.2,1.21,-0.83,-0.01,8117720.0,6704300
2025/10/13,1.22,1.23,1.21,1.21,1.22,-0.82,-0.01,4560713.0,3746340
2025/10/12,1.24,1.26,1.22,1.22,1.24,-1.61,-0.02,2.0438616E7,16449374
2025/10/08,1.19,1.25,1.18,1.24,1.19,4.2,0.05,2.0607738E7,16791855
2025/10/07,1.2,1.21,1.19,1.19,1.2,-0.83,-0.01,5023775.0,4203351
2025/10/06,1.21,1.23,1.19,1.2,1.21,-0.83,-0.01,7690894.5,6382426
2025/10/05,1.2,1.22,1.2,1.21,1.2,0.83,0.01,4082581.0,3374258
2025/10/02,1.2,1.22,1.19,1.2,1.2,0.0,0.0,1.4594958E7,12085538
2025/10/01,1.2,1.22,1.19,1.2,1.2,0.0,0.0,3304315.5,2747234
2025/09/30,1.2,1.23,1.19,1.2,1.2,0.0,0.0,1.1726714E7,9694752
2025/09/29,1.19,1.21,1.18,1.2,1.19,0.84,0.01,4905217.0,4105426
2025/09/28,1.19,1.21,1.19,1.19,1.19,0.0,0.0,1429093.25,1193152
2025/09/25,1.17,1.2,1.17,1.19,1.17,1.71,0.02,3801215.0,3186305
2025/09/24,1.16,1.18,1.16,1.17,1.16,0.86,0.01,1995913.63,1706138
2025/09/23,1.18,1.19,1.16,1.16,1.18,-1.69,-0.02,1433362.63,1225523
2025/09/22,1.18,1.19,1.16,1.18,1.18,0.0,0.0,2427020.25,2067265
2025/09/21,1.19,1.21,1.17,1.18,1.19,-0.84,-0.01,8133480.5,6855896
2025/09/18,1.2,1.21,1.18,1.19,1.2,-0.83,-0.01,2941453.0,2466011
2025/09/17,1.21,1.21,1.18,1.2,1.21,-0.83,-0.01,3464641.0,2897957
2025/09/16,1.23,1.24,1.19,1.21,1.23,-1.63,-0.02,4666970.0,3847970
2025/09/15,1.26,1.27,1.23,1.23,1.26,-2.38,-0.03,6502681.0,5216726
2025/09/14,1.27,1.28,1.26,1.26,1.27,-0.79,-0.01,3619732.5,2859060
2025/09/11,1.26,1.28,1.26,1.27,1.26,0.79,0.01,3982095.25,3146263
2025/09/10,1.27,1.28,1.26,1.26,1.27,-0.79,-0.01,2009061.0,1583907
2025/09/09,1.27,1.29,1.27,1.27,1.27,0.0,0.0,2244429.25,1756038
2025/09/08,1.27,1.29,1.27,1.27,1.27,0.0,0.0,4899430.0,3837987
2025/09/07,1.27,1.29,1.26,1.27,1.27,0.0,0.0,4666375.5,3665939
2025/09/03,1.27,1.29,1.27,1.27,1.27,0.0,0.0,4958238.5,3897606
2025/09/02,1.27,1.29,1.27,1.27,1.27,0.0,0.0,3530303.5,2765522
2025/09/01,1.27,1.29,1.26,1.27,1.27,0.0,0.0,3915072.25,3071223
2025/08/31,1.3,1.31,1.27,1.27,1.3,-2.308,-0.03,3361724.5,2602942
2025/08/28,1.29,1.31,1.28,1.3,1.29,0.775,0.01,5696340.0,4389274
2025/08/27,1.29,1.3,1.27,1.29,1.29,0.0,0.0,4862453.5,3784168
2025/08/26,1.3,1.32,1.28,1.29,1.3,-0.769,-0.01,5934486.0,4577153
2025/08/25,1.3,1.33,1.3,1.3,1.3,0.0,0.0,2.568182E7,19539169
2025/08/24,1.27,1.31,1.27,1.3,1.27,2.362,0.03,8194641.5,6344641
2025/08/21,1.28,1.29,1.27,1.27,1.28,-0.781,-0.01,1100752.875,864914
2025/08/20,1.28,1.31,1.27,1.28,1.28,0.0,0.0,7921629.5,6138105
2025/08/19,1.28,1.3,1.28,1.28,1.28,0.0,0.0,3779623.5,2940666
2025/08/18,1.27,1.3,1.27,1.28,1.27,1.575,0.02,1.0388521E7,8083992
2025/08/17,1.28,1.29,1.27,1.27,1.28,-0.781,-0.01,1479181.125,1159126
2025/08/14,1.29,1.3,1.26,1.28,1.29,-0.775,-0.01,3578484.0,2800047
2025/08/13,1.3,1.31,1.28,1.29,1.3,-0.77,-0.01,2722977.75,2108983
2025/08/12,1.31,1.31,1.29,1.3,1.31,-0.76,-0.01,3211989.0,2466447
2025/08/11,1.3,1.33,1.29,1.31,1.3,0.77,0.01,1.1771964E7,8958281
2025/08/10,1.29,1.31,1.29,1.3,1.29,0.78,0.01,3637418.5,2801782
2025/08/07,1.29,1.31,1.28,1.29,1.29,0.0,0.0,9313335.0,7190642
2025/08/06,1.29,1.3,1.28,1.29,1.29,0.0,0.0,4192928.75,3242902
2025/08/05,1.27,1.31,1.28,1.29,1.27,1.57,0.02,1.8995192E7,14638759
2025/08/04,1.26,1.29,1.26,1.27,1.26,1.59,0.02,5370261.5,4212784
2025/08/03,1.27,1.28,1.26,1.26,1.27,0.0,0.0,9711915.0,7634764
2025/07/31,1.26,1.28,1.25,1.27,1.26,0.79,0.01,3287351.25,2602761
2025/07/30,1.28,1.3,1.25,1.26,1.28,0.0,-0.02,3911948.5,3084349
2025/07/29,1.28,1.29,1.26,1.28,1.28,0.0,0.0,6490575.0,5100985
2025/07/28,1.31,1.32,1.28,1.28,1.31,-2.29,-0.03,1.0640244E7,8239007
2025/07/27,1.33,1.34,1.31,1.31,1.33,-1.5,-0.02,6321367.0,4794090
2025/07/23,1.32,1.34,1.31,1.33,1.32,0.76,0.01,5327717.0,4032653
2025/07/22,1.33,1.36,1.32,1.32,1.33,-0.75,-0.01,1.1314439E7,8442010
2025/07/21,1.34,1.36,1.33,1.33,1.34,-0.75,-0.01,1.1396939E7,8459063
2025/07/20,1.32,1.35,1.33,1.34,1.32,1.52,0.02,4580998.0,3422312
2025/07/17,1.33,1.35,1.32,1.32,1.33,-0.75,-0.01,1.0415359E7,7810651
2025/07/16,1.34,1.36,1.32,1.33,1.34,-0.75,-0.01,8001270.0,5982393
2025/07/15,1.33,1.38,1.34,1.34,1.33,0.75,0.01,1.8135288E7,13380974
2025/07/14,1.34,1.35,1.33,1.33,1.34,-0.75,-0.01,8150366.0,6094073
2025/07/13,1.36,1.37,1.34,1.34,1.36,-1.47,-0.02,6068930.0,4502507
2025/07/07,1.31,1.37,1.31,1.37,1.31,4.58,0.06,3.9733104E7,29506759
2025/07/06,1.31,1.33,1.31,1.31,1.31,0.0,0.0,7854523.5,5965423
2025/07/02,1.31,1.33,1.31,1.31,1.31,0.0,0.0,1.3919605E7,10542462
2025/07/01,1.33,1.35,1.3,1.31,1.33,-1.5,-0.02,1.6650274E7,12593315
2025/06/30,1.28,1.34,1.28,1.33,1.28,3.91,0.05,3.142975E7,23807291
2025/06/29,1.28,1.3,1.28,1.28,1.28,0.0,0.0,1.2821055E7,9951254
2025/06/25,1.27,1.3,1.26,1.28,1.27,0.79,0.01,1.2975145E7,10141347
2025/06/24,1.23,1.29,1.26,1.27,1.23,4.88,0.06,2.5045712E7,19636433
2025/06/23,1.2,1.25,1.2,1.23,1.2,2.5,0.03,1.7833358E7,14467874
2025/06/22,1.18,1.21,1.12,1.2,1.18,1.69,0.02,1.4860853E7,12697669
2025/06/19,1.22,1.24,1.18,1.18,1.22,-3.28,-0.04,1.6234242E7,13467074
