«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.85,4.91,4.74,4.83,4.85,-0.41,-0.02,4557793.5,946374
2026/01/12,4.95,5.01,4.83,4.85,4.95,-2.02,-0.1,9382185.0,1899082
2026/01/11,4.86,5.0,4.89,4.95,4.86,1.85,0.09,7824188.0,1584786
2026/01/08,4.71,5.05,4.67,4.86,4.71,3.18,0.15,3.1596076E7,6424495
2026/01/06,4.8,4.9,4.52,4.71,4.8,-1.88,-0.09,7039954.0,1481239
2026/01/05,4.81,4.9,4.74,4.8,4.81,-0.21,-0.01,4754953.5,984126
2026/01/04,4.83,4.86,4.73,4.81,4.83,-0.41,-0.02,3433990.5,713307
2025/12/31,4.96,4.96,4.77,4.83,4.96,-2.62,-0.13,1.1345314E7,2337545
2025/12/30,4.98,5.04,4.91,4.96,4.98,-0.4,-0.02,5780248.0,1169238
2025/12/29,4.94,5.0,4.89,4.98,4.94,0.81,0.04,9390011.0,1897426
2025/12/28,4.92,5.1,4.91,4.94,4.92,0.41,0.02,1.6464474E7,3303464
2025/12/25,5.07,5.12,4.9,4.92,5.07,-2.96,-0.15,1.9897134E7,3988769
2025/12/24,5.13,5.22,5.04,5.07,5.13,-1.17,-0.06,8403687.0,1635665
2025/12/23,5.11,5.15,5.0,5.13,5.11,0.39,0.02,1.5381313E7,3030728
2025/12/22,5.4,5.41,5.01,5.11,5.4,-5.37,-0.29,2.1577092E7,4156413
2025/12/21,5.28,5.41,5.28,5.4,5.28,2.27,0.12,1.6116485E7,3015573
2025/12/18,5.08,5.39,5.02,5.28,5.08,3.94,0.2,3.317977E7,6358821
2025/12/17,4.96,5.08,4.91,5.08,4.96,2.42,0.12,1.1183938E7,2230132
2025/12/16,5.1,5.18,4.9,4.96,5.1,-2.75,-0.14,2.3490556E7,4704093
2025/12/15,5.03,5.2,4.97,5.1,5.03,1.39,0.07,1.9917574E7,3923212
2025/12/14,5.01,5.28,5.0,5.03,5.01,0.4,0.02,4.9169636E7,9549757
2025/12/11,4.7,5.03,4.71,5.01,4.7,6.6,0.31,7.5769488E7,15411883
2025/12/10,4.5,4.82,4.6,4.7,4.5,4.44,0.2,3.352953E7,7108119
2025/12/09,4.5,4.62,4.43,4.5,4.5,0.0,0.0,1.7643178E7,3895846
2025/12/08,4.55,4.59,4.48,4.5,4.55,-1.1,-0.05,1.216628E7,2689089
2025/12/07,4.24,4.6,4.24,4.55,4.24,7.31,0.31,4.3349532E7,9721842
2025/12/04,4.16,4.26,4.17,4.24,4.16,1.92,0.08,1.2162107E7,2878873
2025/12/03,4.17,4.32,4.16,4.16,4.17,-0.24,-0.01,1.6440055E7,3895741
2025/12/02,4.24,4.28,4.15,4.17,4.24,-1.65,-0.07,3760570.75,892375
2025/12/01,4.22,4.32,4.22,4.24,4.22,0.47,0.02,6661399.5,1560694
2025/11/30,4.27,4.32,4.18,4.22,4.27,-1.17,-0.05,8013938.0,1900948
2025/11/27,4.34,4.41,4.25,4.27,4.34,-1.61,-0.07,1.2453751E7,2889550
2025/11/26,4.17,4.34,4.14,4.34,4.17,4.08,0.17,1.479436E7,3485655
2025/11/25,4.2,4.4,4.16,4.17,4.2,-0.71,-0.03,2.1323024E7,4956400
2025/11/24,3.96,4.35,3.99,4.2,3.96,6.06,0.24,3.7988388E7,9015707
2025/11/23,4.1,4.14,3.95,3.96,4.1,-3.41,-0.14,9179468.0,2280306
2025/11/20,4.18,4.29,4.1,4.1,4.18,-1.91,-0.08,7299070.5,1750966
2025/11/19,4.18,4.28,4.0,4.18,4.18,0.0,0.0,1.9856412E7,4858960
2025/11/18,4.24,4.32,4.16,4.18,4.24,-1.42,-0.06,4648311.5,1101153
2025/11/17,4.21,4.3,4.17,4.24,4.21,0.71,0.03,7131289.0,1685979
2025/11/16,4.3,4.35,4.16,4.21,4.3,-2.09,-0.09,9434663.0,2219277
2025/11/13,4.44,4.51,4.3,4.3,4.44,-3.15,-0.14,1.1609049E7,2650439
2025/11/12,4.48,4.55,4.43,4.44,4.48,-0.89,-0.04,3876300.0,867681
2025/11/11,4.42,4.56,4.42,4.48,4.42,1.36,0.06,1.2055361E7,2680515
2025/11/10,4.44,4.49,4.4,4.42,4.44,-0.45,-0.02,1.3894492E7,3139555
2025/11/09,4.51,4.55,4.4,4.44,4.51,-1.55,-0.07,1.7923022E7,4017990
2025/11/06,4.63,4.77,4.48,4.51,4.63,-2.59,-0.12,6.2343288E7,13616379
2025/11/05,4.55,4.84,4.48,4.63,4.55,1.76,0.08,4.7515768E7,10248429
2025/11/04,4.39,4.72,4.41,4.55,4.39,3.64,0.16,2.2128488E7,4831926
2025/11/03,4.45,4.52,4.38,4.39,4.45,-1.35,-0.06,1.2865931E7,2899348
2025/11/02,4.14,4.69,4.1,4.45,4.14,7.49,0.31,1.048098E8,23241965
2025/10/30,4.25,4.35,4.12,4.14,4.25,-2.59,-0.11,2.5751998E7,6104917
2025/10/29,4.02,4.28,4.02,4.25,4.02,5.72,0.23,6.0562596E7,14567636
2025/10/28,3.89,4.03,3.77,4.02,3.89,3.34,0.13,4.4034556E7,11264938
2025/10/27,3.77,4.14,3.85,3.89,3.77,3.18,0.12,1.06756528E8,26960681
2025/10/26,3.6,3.77,3.64,3.77,3.6,4.72,0.17,4.7688128E7,12864785
2025/10/23,3.54,3.7,3.5,3.6,3.54,1.69,0.06,2.3355182E7,6418523
2025/10/22,3.54,3.6,3.53,3.54,3.54,0.0,0.0,2686727.0,756220
2025/10/21,3.58,3.63,3.53,3.54,3.58,-1.12,-0.04,6601819.0,1853640
2025/10/20,3.5,3.71,3.5,3.58,3.5,2.29,0.08,2.786541E7,7686092
2025/10/19,3.45,3.51,3.44,3.5,3.45,1.45,0.05,6379647.5,1830818
2025/10/16,3.47,3.53,3.42,3.45,3.47,-0.58,-0.02,8006302.0,2312782
2025/10/15,3.48,3.55,3.44,3.47,3.48,-0.29,-0.01,8649237.0,2479547
2025/10/14,3.42,3.58,3.42,3.48,3.42,1.75,0.06,2.05887E7,5874468
2025/10/13,3.42,3.45,3.37,3.42,3.42,0.0,0.0,1.0860114E7,3196324
2025/10/12,3.57,3.6,3.42,3.42,3.57,-4.2,-0.15,2.2337554E7,6412192
2025/10/08,3.55,3.7,3.55,3.57,3.55,0.56,0.02,1.7279998E7,4766466
2025/10/07,3.58,3.62,3.54,3.55,3.58,-0.84,-0.03,9008223.0,2523771
2025/10/06,3.57,3.72,3.55,3.58,3.57,0.28,0.01,3.7091E7,10235114
2025/10/05,3.29,3.66,3.3,3.57,3.29,8.51,0.28,1.35441664E8,38216697
2025/10/02,3.27,3.33,3.26,3.29,3.27,0.61,0.02,5074486.5,1541876
2025/10/01,3.29,3.39,3.26,3.27,3.29,-0.61,-0.02,1.5361489E7,4620736
2025/09/30,3.24,3.4,3.28,3.29,3.24,1.54,0.05,2.8650628E7,8583796
2025/09/29,3.22,3.26,3.21,3.24,3.22,0.62,0.02,5075725.0,1568220
2025/09/28,3.21,3.27,3.2,3.22,3.21,0.31,0.01,5575291.0,1725612
2025/09/25,3.14,3.21,3.14,3.21,3.14,2.23,0.07,5846767.0,1832954
2025/09/24,3.02,3.14,3.03,3.14,3.02,3.97,0.12,3857843.0,1246346
2025/09/23,3.03,3.11,3.02,3.02,3.03,-0.33,-0.01,2723388.75,889786
2025/09/22,3.02,3.06,2.98,3.03,3.02,0.33,0.01,1729966.13,573382
2025/09/21,3.09,3.14,3.01,3.02,3.09,-2.27,-0.07,2617044.5,858954
2025/09/18,3.05,3.12,3.06,3.09,3.05,1.31,0.04,5058641.0,1633959
2025/09/17,3.1,3.12,3.01,3.05,3.1,-1.61,-0.05,8465198.0,2759360
2025/09/16,3.15,3.17,2.98,3.1,3.15,-1.59,-0.05,6500933.5,2112367
2025/09/15,3.18,3.2,3.09,3.15,3.18,-0.94,-0.03,8271691.0,2615449
2025/09/14,3.28,3.32,3.17,3.18,3.28,-3.05,-0.1,1.0951332E7,3402374
2025/09/11,3.34,3.36,3.28,3.28,3.34,-1.8,-0.06,9690445.0,2917011
2025/09/10,3.22,3.37,3.2,3.34,3.22,3.73,0.12,1.1185808E7,3390236
2025/09/09,3.27,3.31,3.21,3.22,3.27,-1.53,-0.05,4948740.0,1521014
2025/09/08,3.33,3.38,3.26,3.27,3.33,-1.8,-0.06,1.3733657E7,4134287
2025/09/07,3.41,3.46,3.33,3.33,3.41,-2.35,-0.08,1.1843453E7,3482260
2025/09/03,3.34,3.48,3.33,3.41,3.34,2.1,0.07,3.0983674E7,9097400
2025/09/02,3.37,3.42,3.32,3.34,3.37,-0.89,-0.03,1.0980342E7,3261972
2025/09/01,3.24,3.4,3.21,3.37,3.24,4.01,0.13,2.0727044E7,6225533
2025/08/31,3.28,3.37,3.22,3.24,3.28,-1.22,-0.04,8547606.0,2591438
2025/08/28,3.3,3.37,3.24,3.28,3.3,-0.61,-0.02,6401517.5,1943675
2025/08/27,3.27,3.42,3.24,3.3,3.27,0.92,0.03,2.4899922E7,7464310
2025/08/26,3.18,3.28,3.16,3.27,3.18,2.83,0.09,1.5567332E7,4829114
2025/08/25,3.27,3.32,3.17,3.18,3.27,-2.75,-0.09,9533219.0,2932682
2025/08/24,3.3,3.35,3.27,3.27,3.3,-0.91,-0.03,9023375.0,2733736
2025/08/21,3.28,3.35,3.27,3.3,3.28,0.61,0.02,2.5549414E7,7725630
2025/08/20,3.29,3.44,3.23,3.28,3.29,-0.3,-0.01,6.2003668E7,18594169
2025/08/19,3.1,3.3,3.09,3.29,3.1,6.13,0.19,2.9495188E7,9214081
2025/08/18,3.12,3.15,3.06,3.1,3.12,-0.64,-0.02,1.4534937E7,4697502
2025/08/17,3.11,3.21,3.12,3.12,3.11,0.32,0.01,1.6220478E7,5130895
2025/08/14,2.92,3.12,2.89,3.11,2.92,6.51,0.19,3.0037132E7,9892469
2025/08/13,2.99,3.03,2.86,2.92,2.99,-2.34,-0.07,1.7833034E7,6110426
