«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,7.07,7.07,6.89,6.91,7.07,-2.26,-0.16,2.9029458E7,4175629
2026/01/12,7.09,7.14,7.01,7.07,7.09,-0.28,-0.02,1.9724516E7,2791022
2026/01/11,7.11,7.16,7.08,7.09,7.11,-0.28,-0.02,4.001876E7,5632535
2026/01/08,7.15,7.2,7.09,7.11,7.15,-0.56,-0.04,3.1627304E7,4440884
2026/01/06,7.12,7.21,7.1,7.15,7.12,0.42,0.03,3.0079376E7,4200887
2026/01/05,6.95,7.28,7.01,7.12,6.95,2.45,0.17,1.28130576E8,17878955
2026/01/04,6.93,6.98,6.93,6.95,6.93,0.29,0.02,1.7604294E7,2533544
2025/12/31,6.92,6.96,6.93,6.93,6.92,0.14,0.01,1.0737433E7,1546103
2025/12/30,6.96,7.0,6.92,6.92,6.96,-0.57,-0.04,1.9868414E7,2860855
2025/12/29,6.95,7.0,6.95,6.96,6.95,0.14,0.01,2.1131282E7,3026073
2025/12/28,6.95,7.01,6.93,6.95,6.95,0.0,0.0,3.223298E7,4618271
2025/12/25,6.9,7.01,6.88,6.95,6.9,0.72,0.05,3.4592208E7,4972653
2025/12/24,6.94,7.0,6.86,6.9,6.94,-0.58,-0.04,6.4573144E7,9356256
2025/12/23,6.93,7.02,6.94,6.94,6.93,0.14,0.01,3.9435296E7,5645124
2025/12/22,6.94,7.03,6.93,6.93,6.94,-0.14,-0.01,3.193846E7,4582851
2025/12/21,6.95,7.02,6.93,6.94,6.95,-0.14,-0.01,1.1912465E7,1710903
2025/12/18,6.86,7.07,6.87,6.95,6.86,1.31,0.09,5.401516E7,7756056
2025/12/17,6.94,6.99,6.84,6.86,6.94,-1.15,-0.08,3.2149266E7,4673073
2025/12/16,7.0,7.08,6.94,6.94,7.0,-0.86,-0.06,2.0767672E7,2954017
2025/12/15,7.02,7.07,6.98,7.0,7.02,-0.28,-0.02,9776671.0,1395428
2025/12/14,6.99,7.1,7.0,7.02,6.99,0.43,0.03,1.8345382E7,2602674
2025/12/11,7.05,7.12,6.98,6.99,7.05,-0.85,-0.06,1.8417008E7,2612840
2025/12/10,6.9,7.05,6.9,7.05,6.9,2.17,0.15,4.70516E7,6720462
2025/12/09,6.87,6.98,6.87,6.9,6.87,0.44,0.03,1.0805972E7,1561286
2025/12/08,6.82,7.05,6.85,6.87,6.82,0.73,0.05,4.3136312E7,6201736
2025/12/07,6.69,6.82,6.7,6.82,6.69,1.94,0.13,1.0596497E7,1562066
2025/12/04,6.68,6.73,6.66,6.69,6.68,0.15,0.01,9143147.0,1367245
2025/12/03,6.72,6.74,6.66,6.68,6.72,-0.6,-0.04,1.1816116E7,1763798
2025/12/02,6.76,6.79,6.72,6.72,6.76,-0.59,-0.04,1.2782657E7,1895633
2025/12/01,6.76,6.79,6.75,6.76,6.76,0.0,0.0,1.0943695E7,1616431
2025/11/30,6.77,6.82,6.75,6.76,6.77,-0.15,-0.01,1.1635335E7,1718563
2025/11/27,6.77,6.8,6.76,6.77,6.77,0.0,0.0,9074494.0,1338868
2025/11/26,6.79,6.82,6.77,6.77,6.79,-0.29,-0.02,9256231.0,1363213
2025/11/25,6.81,6.85,6.79,6.79,6.81,-0.29,-0.02,1.2490527E7,1832358
2025/11/24,6.84,6.88,6.8,6.81,6.84,-0.44,-0.03,1.4211997E7,2079790
2025/11/23,6.85,6.89,6.84,6.84,6.85,-0.15,-0.01,9562975.0,1395195
2025/11/20,6.86,6.88,6.84,6.85,6.86,-0.15,-0.01,1.5905699E7,2320376
2025/11/19,6.85,6.89,6.85,6.86,6.85,0.15,0.01,8329284.0,1213301
2025/11/18,6.86,6.95,6.85,6.85,6.86,-0.15,-0.01,1.8670614E7,2705146
2025/11/17,6.87,6.91,6.86,6.86,6.87,-0.15,-0.01,1.2361937E7,1796775
2025/11/16,6.87,6.9,6.86,6.87,6.87,0.0,0.0,7724565.0,1124031
2025/11/13,6.87,6.89,6.86,6.87,6.87,0.0,0.0,8437000.0,1227768
2025/11/12,6.88,6.91,6.86,6.87,6.88,-0.15,-0.01,1.4352869E7,2086959
2025/11/11,6.88,6.91,6.86,6.88,6.88,0.0,0.0,1.1755837E7,1708076
2025/11/10,6.88,6.92,6.85,6.88,6.88,0.0,0.0,7359384.0,1070382
2025/11/09,6.9,6.96,6.88,6.88,6.9,-0.29,-0.02,1.1791739E7,1707031
2025/11/06,6.87,6.93,6.86,6.9,6.87,0.44,0.03,1.0177906E7,1476356
2025/11/05,6.93,6.98,6.85,6.87,6.93,-0.87,-0.06,1.685446E7,2443377
2025/11/04,6.94,7.01,6.91,6.93,6.94,-0.14,-0.01,1.8499428E7,2655788
2025/11/03,6.95,6.99,6.89,6.94,6.95,-0.14,-0.01,1.0498277E7,1515239
2025/11/02,7.0,7.04,6.89,6.95,7.0,-0.71,-0.05,1.6820004E7,2421658
2025/10/30,7.01,7.04,6.99,7.0,7.01,-0.14,-0.01,1.1703422E7,1667233
2025/10/29,7.02,7.07,6.99,7.01,7.02,-0.14,-0.01,1.4296662E7,2038286
2025/10/28,6.94,7.09,6.97,7.02,6.94,1.15,0.08,6.6435684E7,9422608
2025/10/27,6.98,7.03,6.91,6.94,6.98,-0.57,-0.04,1.7568368E7,2523855
2025/10/26,6.9,7.04,6.91,6.98,6.9,1.16,0.08,4.4301432E7,6345091
2025/10/23,6.85,6.92,6.84,6.9,6.85,0.73,0.05,2.1289768E7,3096126
2025/10/22,6.88,6.92,6.85,6.85,6.88,-0.44,-0.03,2.0613132E7,2998561
2025/10/21,6.9,6.91,6.87,6.88,6.9,-0.29,-0.02,1.4131542E7,2052207
2025/10/20,6.91,6.96,6.9,6.9,6.91,-0.14,-0.01,1.8081254E7,2610415
2025/10/19,6.84,6.92,6.85,6.91,6.84,1.02,0.07,1.4938568E7,2165313
2025/10/16,6.86,6.89,6.83,6.84,6.86,-0.29,-0.02,1.4716992E7,2146723
2025/10/15,6.88,6.89,6.84,6.86,6.88,-0.29,-0.02,1.1092246E7,1617553
2025/10/14,6.9,6.95,6.88,6.88,6.9,-0.29,-0.02,1.8825124E7,2724602
2025/10/13,7.56,6.92,6.77,6.9,7.56,-8.73,-0.66,5.6816692E7,8265182
2025/10/12,7.62,7.64,7.54,7.56,7.62,-0.79,-0.06,5.3028796E7,6998296
2025/10/08,7.68,7.69,7.62,7.62,7.68,-0.78,-0.06,2.8018942E7,3669189
2025/10/07,7.7,7.75,7.67,7.68,7.7,-0.26,-0.02,1.9349462E7,2516053
2025/10/06,7.69,7.78,7.67,7.7,7.69,0.13,0.01,5.6172536E7,7276364
2025/10/05,7.56,7.69,7.58,7.69,7.56,1.72,0.13,2.6006616E7,3408551
2025/10/02,7.55,7.61,7.53,7.56,7.55,0.13,0.01,1.3340222E7,1763694
2025/10/01,7.57,7.61,7.52,7.55,7.57,-0.26,-0.02,3.135323E7,4142639
2025/09/30,7.55,7.61,7.55,7.57,7.55,0.26,0.02,3.9762488E7,5248273
2025/09/29,7.58,7.66,7.53,7.55,7.58,-0.4,-0.03,3.6401252E7,4792329
2025/09/28,7.52,7.65,7.57,7.58,7.52,0.8,0.06,2.8754674E7,3784332
2025/09/25,7.48,7.63,7.49,7.52,7.48,0.53,0.04,2.9210004E7,3869462
2025/09/24,7.38,7.48,7.38,7.48,7.38,1.36,0.1,1.672763E7,2243577
2025/09/23,7.39,7.45,7.35,7.38,7.39,-0.14,-0.01,8543173.0,1156973
2025/09/22,7.42,7.46,7.38,7.39,7.42,-0.4,-0.03,9689288.0,1307901
2025/09/21,7.43,7.48,7.41,7.42,7.43,-0.13,-0.01,7366403.0,990317
2025/09/18,7.44,7.5,7.42,7.43,7.44,-0.13,-0.01,1.5035298E7,2019258
2025/09/17,7.35,7.46,7.31,7.44,7.35,1.22,0.09,1.8954568E7,2554650
2025/09/16,7.39,7.41,7.3,7.35,7.39,-0.54,-0.04,1.7714246E7,2412521
2025/09/15,7.43,7.45,7.38,7.39,7.43,-0.54,-0.04,1.0859479E7,1464675
2025/09/14,7.41,7.45,7.41,7.43,7.41,0.27,0.02,7778801.5,1047843
2025/09/11,7.42,7.46,7.41,7.41,7.42,-0.13,-0.01,9997688.0,1345377
2025/09/10,7.31,7.45,7.31,7.42,7.31,1.5,0.11,1.5811038E7,2134598
2025/09/09,7.32,7.36,7.31,7.31,7.32,-0.14,-0.01,1.4072044E7,1918538
2025/09/08,7.31,7.34,7.3,7.32,7.31,0.14,0.01,1.2882201E7,1761846
2025/09/07,7.31,7.36,7.29,7.31,7.31,0.0,0.0,1.1097021E7,1516134
2025/09/03,7.37,7.39,7.3,7.31,7.37,-0.81,-0.06,1.5325973E7,2089598
2025/09/02,7.38,7.42,7.35,7.37,7.38,-0.14,-0.01,1.1914157E7,1615393
2025/09/01,7.36,7.4,7.31,7.38,7.36,0.27,0.02,1.3600971E7,1844989
2025/08/31,7.4,7.46,7.34,7.36,7.4,-0.54,-0.04,1.6169451E7,2186391
2025/08/28,7.38,7.47,7.38,7.4,7.38,0.27,0.02,2.5290576E7,3410705
2025/08/27,7.33,7.41,7.34,7.38,7.33,0.68,0.05,1.5334673E7,2079599
2025/08/26,7.42,7.44,7.33,7.33,7.42,-1.21,-0.09,1.9569E7,2648596
2025/08/25,7.45,7.47,7.39,7.42,7.45,-0.4,-0.03,1.8008908E7,2425029
2025/08/24,7.41,7.49,7.4,7.45,7.41,0.54,0.04,1.7812808E7,2398241
2025/08/21,7.44,7.48,7.4,7.41,7.44,-0.4,-0.03,2.1055294E7,2832588
2025/08/20,7.48,7.52,7.42,7.44,7.48,-0.53,-0.04,4.4536204E7,5976452
2025/08/19,7.5,7.66,7.47,7.48,7.5,-0.27,-0.02,7.6096904E7,10076452
2025/08/18,7.27,7.5,7.29,7.5,7.27,3.16,0.23,6.4961528E7,8767109
2025/08/17,7.27,7.29,7.24,7.27,7.27,0.0,0.0,2.054724E7,2830524
2025/08/14,7.26,7.32,7.23,7.27,7.26,0.14,0.01,2.1817042E7,3005252
2025/08/13,7.3,7.35,7.25,7.26,7.3,-0.55,-0.04,3.4947536E7,4790572
2025/08/12,7.31,7.36,7.3,7.3,7.31,-0.14,-0.01,3.9802736E7,5433186
2025/08/11,7.37,7.41,7.31,7.31,7.37,-0.81,-0.06,7.8411896E7,10647703
2025/08/10,7.38,7.42,7.36,7.37,7.38,-0.14,-0.01,3.2636798E7,4421056
2025/08/07,7.39,7.43,7.34,7.38,7.39,-0.14,-0.01,6.3599864E7,8616779
2025/08/06,7.43,7.54,7.39,7.39,7.43,-0.54,-0.04,6.2113948E7,8338193
2025/08/05,7.4,7.51,7.4,7.43,7.4,0.41,0.03,7.2905824E7,9791961
2025/08/04,7.31,7.44,7.32,7.4,7.31,1.23,0.09,7.6491544E7,10355159
2025/08/03,7.37,7.36,7.26,7.31,7.37,-0.81,-0.06,4.7481424E7,6506737
2025/07/31,7.25,7.42,7.23,7.37,7.25,1.66,0.12,7.8911672E7,10810829
2025/07/30,7.47,7.64,7.21,7.25,7.47,0.0,-0.22,1.25031432E8,16906679
2025/07/29,7.55,7.59,7.44,7.47,7.55,-1.06,-0.08,7.2318016E7,9663171
2025/07/28,7.65,7.81,7.53,7.55,7.65,-1.31,-0.1,1.56638752E8,20391971
2025/07/27,7.5,7.76,7.53,7.65,7.5,2.0,0.15,1.10772504E8,14420544
2025/07/23,7.52,7.62,7.45,7.5,7.52,-0.27,-0.02,9.5360376E7,12703816
2025/07/22,7.68,7.75,7.52,7.52,7.68,-2.08,-0.16,2.56994912E8,33608017
2025/07/21,7.75,7.82,7.66,7.68,7.75,-0.9,-0.07,1.57864816E8,20391084
2025/07/20,7.77,7.85,7.75,7.75,7.77,-0.26,-0.02,1.00024432E8,12842334
2025/07/17,7.87,8.0,7.77,7.77,7.87,-1.27,-0.1,1.42167952E8,18047070
