«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.58,2.65,2.46,2.48,2.58,-2.71,-0.07,967845.44,382053
2026/01/12,2.65,2.69,2.56,2.58,2.65,-2.64,-0.07,1662660.0,634312
2026/01/11,2.53,2.65,2.54,2.65,2.53,4.74,0.12,2996684.75,1143460
2026/01/08,2.61,2.63,2.48,2.53,2.61,-3.07,-0.08,8259747.5,3282320
2026/01/06,2.6,2.64,2.57,2.61,2.6,-0.77,-0.02,803258.81,308321
2026/01/05,2.61,2.66,2.48,2.6,2.61,-0.38,-0.01,3481181.25,1390955
2026/01/04,2.7,2.73,2.57,2.61,2.7,-1.48,-0.04,1323182.25,499927
2025/12/31,2.73,2.77,2.66,2.7,2.73,-1.47,-0.04,919975.25,341386
2025/12/30,2.76,2.78,2.7,2.73,2.76,0.36,0.01,743590.69,273236
2025/12/29,2.8,2.82,2.7,2.76,2.8,-1.79,-0.05,1092540.63,398440
2025/12/28,2.76,2.88,2.63,2.8,2.76,1.45,0.04,1708388.38,621151
2025/12/25,2.82,2.88,2.68,2.76,2.82,-0.35,-0.01,1680502.38,607572
2025/12/24,2.96,3.04,2.82,2.82,2.96,-3.38,-0.1,1974316.0,695138
2025/12/23,2.82,2.96,2.86,2.96,2.82,4.96,0.14,2061180.63,697965
2025/12/22,2.69,2.82,2.69,2.82,2.69,4.83,0.13,3082113.75,1115288
2025/12/21,2.68,2.7,2.65,2.69,2.68,0.37,0.01,2595428.5,972004
2025/12/18,2.68,2.68,2.65,2.68,2.68,0.0,0.0,702458.63,262953
2025/12/17,2.65,2.68,2.62,2.68,2.65,1.13,0.03,1059082.13,397975
2025/12/16,2.61,2.68,2.6,2.65,2.61,0.77,0.02,775646.5,293113
2025/12/15,2.67,2.67,2.6,2.61,2.67,-2.25,-0.06,591977.13,224613
2025/12/14,2.64,2.68,2.61,2.67,2.64,1.14,0.03,781065.94,293071
2025/12/11,2.57,2.68,2.55,2.64,2.57,2.72,0.07,1267127.5,488580
2025/12/10,2.61,2.68,2.5,2.57,2.61,-1.92,-0.05,663283.69,258490
2025/12/09,2.61,2.73,2.56,2.61,2.61,0.38,0.01,609814.06,231938
2025/12/08,2.49,2.61,2.5,2.61,2.49,4.82,0.12,2205670.25,850822
2025/12/07,2.51,2.55,2.46,2.49,2.51,-0.8,-0.02,584196.88,234224
2025/12/04,2.52,2.57,2.48,2.51,2.52,-0.4,-0.01,554389.38,221200
2025/12/03,2.54,2.58,2.5,2.52,2.54,-0.79,-0.02,528656.25,209958
2025/12/02,2.55,2.62,2.53,2.54,2.55,0.0,0.0,685366.06,268630
2025/12/01,2.53,2.62,2.51,2.55,2.53,0.79,0.02,840440.5,325658
2025/11/30,2.57,2.62,2.45,2.53,2.57,-2.33,-0.06,1364583.88,544994
2025/11/27,2.68,2.69,2.55,2.57,2.68,-2.99,-0.08,1891487.5,734537
2025/11/26,2.67,2.77,2.6,2.68,2.67,-1.5,-0.04,661449.63,246765
2025/11/25,2.65,2.78,2.52,2.67,2.65,1.89,0.05,1504223.5,552574
2025/11/24,2.7,2.7,2.6,2.65,2.7,-1.48,-0.04,1031723.13,392105
2025/11/23,2.67,2.8,2.56,2.7,2.67,1.12,0.03,2477973.25,905732
2025/11/20,2.55,2.67,2.55,2.67,2.55,4.71,0.12,1711599.75,646923
2025/11/19,2.43,2.55,2.31,2.55,2.43,4.94,0.12,5259378.5,2082237
2025/11/18,2.48,2.47,2.42,2.43,2.48,-2.42,-0.06,502107.44,205104
2025/11/17,2.45,2.52,2.39,2.48,2.45,0.82,0.02,599147.38,244607
2025/11/16,2.34,2.45,2.3,2.45,2.34,4.7,0.11,2074691.25,852412
2025/11/13,2.46,2.48,2.34,2.34,2.46,-4.88,-0.12,2038637.25,857918
2025/11/12,2.47,2.5,2.45,2.46,2.47,0.4,0.01,467142.78,189590
2025/11/11,2.5,2.51,2.46,2.47,2.5,-0.8,-0.02,1095638.25,440107
2025/11/10,2.48,2.51,2.47,2.5,2.48,0.81,0.02,407697.53,163075
2025/11/09,2.47,2.52,2.46,2.48,2.47,0.4,0.01,461623.59,186183
2025/11/06,2.52,2.54,2.44,2.47,2.52,-1.98,-0.05,441273.81,178358
2025/11/05,2.53,2.55,2.5,2.52,2.53,0.0,0.0,175525.09,69548
2025/11/04,2.52,2.55,2.52,2.53,2.52,0.4,0.01,419726.19,165299
2025/11/03,2.54,2.55,2.51,2.52,2.54,-0.39,-0.01,358395.09,142040
2025/11/02,2.56,2.58,2.5,2.54,2.56,-1.17,-0.03,386935.06,151574
2025/10/30,2.58,2.59,2.53,2.56,2.58,-0.78,-0.02,601132.75,234571
2025/10/29,2.55,2.6,2.44,2.58,2.55,1.18,0.03,1038378.5,406817
2025/10/28,2.56,2.6,2.52,2.55,2.56,-0.39,-0.01,532888.0,208866
2025/10/27,2.58,2.6,2.55,2.56,2.58,-0.39,-0.01,499752.06,194400
2025/10/26,2.65,2.63,2.56,2.58,2.65,-2.64,-0.07,1307323.25,506027
2025/10/23,2.59,2.66,2.56,2.65,2.59,1.93,0.05,2420917.0,922663
2025/10/22,2.61,2.65,2.57,2.59,2.61,-0.38,-0.01,259553.55,99991
2025/10/21,2.57,2.69,2.59,2.61,2.57,1.56,0.04,1537517.63,586591
2025/10/20,2.59,2.67,2.55,2.57,2.59,0.77,0.02,1483733.63,572681
2025/10/19,2.68,2.69,2.58,2.59,2.68,-2.24,-0.06,1285365.63,491460
2025/10/16,2.61,2.74,2.62,2.68,2.61,2.68,0.07,784754.25,291914
2025/10/15,2.51,2.63,2.54,2.61,2.51,4.78,0.12,2178718.75,833009
2025/10/14,2.57,2.6,2.5,2.51,2.57,0.0,0.0,578563.69,228390
2025/10/13,2.61,2.63,2.48,2.57,2.61,-1.53,-0.04,472830.0,183795
2025/10/12,2.61,2.64,2.59,2.61,2.61,0.0,0.0,311426.5,118986
2025/10/08,2.67,2.66,2.58,2.61,2.67,-1.87,-0.05,1206919.13,463295
2025/10/07,2.63,2.68,2.62,2.67,2.63,1.9,0.05,709130.81,267718
2025/10/06,2.64,2.66,2.61,2.63,2.64,-0.76,-0.02,295423.22,112444
2025/10/05,2.64,2.69,2.59,2.64,2.64,0.38,0.01,469446.19,178007
2025/10/02,2.67,2.69,2.62,2.64,2.67,0.75,0.02,655625.88,247342
2025/10/01,2.63,2.71,2.61,2.67,2.63,2.28,0.06,255760.91,95968
2025/09/30,2.64,2.67,2.58,2.63,2.64,-0.38,-0.01,624584.19,237977
2025/09/29,2.67,2.67,2.61,2.64,2.67,0.0,0.0,353704.19,134036
2025/09/28,2.68,2.7,2.63,2.67,2.68,-0.75,-0.02,598155.0,225510
2025/09/25,2.7,2.72,2.65,2.68,2.7,-0.74,-0.02,409493.78,152630
2025/09/24,2.65,2.74,2.6,2.7,2.65,1.89,0.05,668116.63,251049
2025/09/23,2.66,2.74,2.58,2.65,2.66,0.75,0.02,370861.63,140241
2025/09/22,2.71,2.77,2.58,2.66,2.71,-1.85,-0.05,1041560.38,396096
2025/09/21,2.81,2.82,2.67,2.71,2.81,-3.56,-0.1,862838.88,319367
2025/09/18,2.68,2.81,2.65,2.81,2.68,4.85,0.13,1486953.38,538573
2025/09/17,2.73,2.76,2.62,2.68,2.73,-2.56,-0.07,761956.94,284456
2025/09/16,2.81,2.93,2.67,2.73,2.81,-3.56,-0.1,1048718.0,381895
2025/09/15,2.94,2.94,2.8,2.81,2.94,-3.4,-0.1,1950657.88,692393
2025/09/14,3.09,3.12,2.94,2.94,3.09,-4.85,-0.15,1472125.13,496888
2025/09/11,2.99,3.13,3.01,3.09,2.99,3.34,0.1,1534953.5,491948
2025/09/10,2.85,2.99,2.71,2.99,2.85,4.91,0.14,3819723.75,1347548
2025/09/09,3.0,2.85,2.85,2.85,3.0,-5.0,-0.15,404098.66,141789
2025/09/08,3.15,3.0,3.0,3.0,3.15,-4.76,-0.15,453939.0,151313
2025/09/07,3.31,3.15,3.15,3.15,3.31,-4.83,-0.16,623674.81,197992
2025/09/02,3.39,3.38,3.2,3.31,3.39,-2.36,-0.08,1984462.875,604604
2025/09/01,3.48,3.57,3.34,3.39,3.48,-2.586,-0.09,1119352.5,329504
2025/08/31,3.51,3.69,3.35,3.48,3.51,2.279,0.08,870623.563,251183
2025/08/28,3.56,3.74,3.3,3.51,3.56,0.562,0.02,2681321.0,758619
2025/08/27,3.26,3.58,3.2,3.56,3.26,9.816,0.32,2635152.25,744675
2025/08/26,3.49,3.52,3.15,3.26,3.49,-6.59,-0.23,4486524.0,1380438
2025/08/25,3.69,3.77,3.48,3.49,3.69,-5.42,-0.2,1808802.75,503567
2025/08/24,3.74,3.8,3.65,3.69,3.74,-1.337,-0.05,1622975.25,437214
2025/08/21,3.78,3.83,3.67,3.74,3.78,-1.323,-0.05,981234.813,262868
2025/08/20,3.75,3.98,3.69,3.78,3.75,2.133,0.08,2453069.0,637538
2025/08/19,3.82,3.84,3.64,3.75,3.82,-1.832,-0.07,1595012.75,426575
2025/08/18,3.57,3.91,3.4,3.82,3.57,7.003,0.25,4153666.0,1125384
2025/08/17,3.54,3.59,3.31,3.57,3.54,0.847,0.03,2894443.25,836753
2025/08/14,3.71,3.75,3.52,3.54,3.71,-4.582,-0.17,2197811.5,608952
2025/08/13,3.75,3.82,3.62,3.71,3.75,-1.6,-0.06,1228518.25,332114
2025/08/12,3.69,3.8,3.55,3.75,3.69,1.63,0.06,2297659.25,629028
2025/08/11,3.66,3.89,3.56,3.69,3.66,0.55,0.02,3769417.75,1018319
2025/08/10,3.83,4.07,3.55,3.66,3.83,-0.78,-0.03,7270747.0,1914043
2025/08/07,3.49,3.83,3.44,3.83,3.49,9.17,0.32,1.3551575E7,3647294
2025/08/06,3.18,3.49,3.12,3.49,3.18,9.75,0.31,4612273.0,1365965
2025/08/05,3.19,3.22,3.11,3.18,3.19,-0.31,-0.01,1807184.0,570055
2025/08/04,3.17,3.25,3.08,3.19,3.17,0.95,0.03,2228181.5,710074
2025/08/03,3.2,3.38,3.12,3.17,3.2,-0.62,-0.02,1267525.25,399858
2025/07/31,3.18,3.35,3.12,3.2,3.18,0.63,0.02,1726726.25,533878
2025/07/30,3.28,3.6,3.01,3.18,3.28,0.0,-0.1,3343130.0,1017691
2025/07/29,3.6,3.6,3.24,3.28,3.6,-8.89,-0.32,5183714.0,1524068
2025/07/28,3.65,3.97,3.57,3.6,3.65,-1.37,-0.05,6542463.5,1722139
2025/07/27,3.32,3.65,3.22,3.65,3.32,9.94,0.33,8359249.5,2326450
2025/07/23,3.25,3.4,3.0,3.32,3.25,2.15,0.07,6209015.5,1908228
2025/07/22,3.48,3.48,3.16,3.25,3.48,-7.18,-0.25,4105221.5,1259408
2025/07/21,3.32,3.63,3.15,3.48,3.32,4.82,0.16,7616211.0,2258740
2025/07/20,3.02,3.32,2.8,3.32,3.02,9.93,0.3,6226970.0,1927387
2025/07/17,2.75,3.02,2.85,3.02,2.75,9.82,0.27,8119298.0,2716709
2025/07/16,2.5,2.75,2.5,2.75,2.5,10.0,0.25,8109289.5,3004618
2025/07/15,2.28,2.5,2.5,2.5,2.28,9.65,0.22,2509067.5,1003627
2025/07/14,2.08,2.28,2.05,2.28,2.08,9.62,0.2,5547937.0,2487913
2025/07/13,2.07,2.09,2.05,2.08,2.07,0.0,0.0,702293.13,339578
2025/07/07,2.11,2.14,2.06,2.11,2.11,0.0,0.0,592482.0,282807
2025/07/06,2.07,2.15,2.05,2.11,2.07,1.93,0.04,795894.5,377136
2025/07/02,2.09,2.11,2.03,2.07,2.09,0.0,0.0,665216.69,322658
2025/07/01,2.1,2.12,2.07,2.09,2.1,-0.48,-0.01,479358.38,228876
2025/06/30,2.1,2.14,2.08,2.1,2.1,0.95,0.02,464332.34,220990
