«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,1.28,1.35,1.28,1.28,1.28,0.0,0.0,42952.86,33162
2026/01/05,1.3,1.35,1.28,1.28,1.3,-1.54,-0.02,18658.42,14084
2025/12/31,1.27,1.31,1.26,1.3,1.27,2.36,0.03,76653.16,60288
2025/12/29,1.32,1.32,1.22,1.27,1.32,-3.79,-0.05,28165.84,21816
2025/12/24,1.34,1.35,1.28,1.32,1.34,-1.49,-0.02,30276.58,23246
2025/12/22,1.34,1.34,1.25,1.34,1.34,0.0,0.0,73364.93,56747
2025/12/17,1.29,1.34,1.3,1.34,1.29,3.88,0.05,63121.58,47969
2025/12/15,1.29,1.35,1.29,1.29,1.29,0.0,0.0,22790.69,17047
2025/12/10,1.33,1.35,1.27,1.29,1.33,-3.01,-0.04,16872.94,12828
2025/12/08,1.25,1.33,1.25,1.33,1.25,6.4,0.08,79363.76,61521
2025/12/03,1.26,1.26,1.21,1.25,1.26,-0.79,-0.01,37167.2,29776
2025/12/01,1.31,1.33,1.26,1.26,1.31,-3.82,-0.05,36041.21,28139
2025/11/26,1.35,1.33,1.3,1.31,1.35,-2.96,-0.04,15051.87,11539
2025/11/24,1.3,1.35,1.3,1.35,1.3,3.85,0.05,17111.2,12744
2025/11/19,1.32,1.4,1.27,1.3,1.32,-1.52,-0.02,60725.89,47257
2025/11/17,1.32,1.45,1.32,1.32,1.32,0.0,0.0,17874.99,13476
2025/11/12,1.34,1.45,1.31,1.32,1.34,-1.49,-0.02,29537.96,22203
2025/11/10,1.45,1.45,1.34,1.34,1.45,-7.59,-0.11,75099.05,54805
2025/11/05,1.45,1.64,1.45,1.45,1.45,0.0,0.0,34306.64,23501
2025/11/03,1.45,1.5,1.44,1.45,1.45,0.0,0.0,98910.31,67232
2025/10/29,1.65,1.77,1.45,1.45,1.65,-12.12,-0.2,42237.88,26637
2025/10/27,1.56,1.85,1.56,1.65,1.56,5.77,0.09,425568.34,251625
2025/10/22,1.45,1.6,1.45,1.56,1.45,7.59,0.11,105653.4,68851
2025/10/20,1.11,1.62,1.15,1.45,1.11,30.629999,0.34,341419.13,233354
