«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,9.05,9.2,8.83,9.03,9.05,-0.99,-0.09,383900.91,42423
2026/01/12,8.88,9.32,8.85,9.05,8.88,2.82,0.25,2182512.5,238814
2026/01/11,8.85,8.94,8.8,8.88,8.85,0.11,0.01,443937.34,50024
2026/01/08,8.86,8.93,8.8,8.85,8.86,0.45,0.04,669022.0,75512
2026/01/06,8.86,8.93,8.84,8.86,8.86,0.34,0.03,415461.66,46868
2026/01/05,8.97,9.0,8.81,8.86,8.97,-1.0,-0.09,502851.25,56594
2026/01/04,8.98,9.01,8.9,8.97,8.98,-0.89,-0.08,500549.66,55810
2025/12/31,9.0,9.13,8.93,8.98,9.0,-0.78,-0.07,534214.0,59382
2025/12/30,9.03,9.06,8.96,9.0,9.03,-0.33,-0.03,1164667.5,129268
2025/12/29,8.98,9.08,8.91,9.03,8.98,1.0,0.09,1047509.06,116399
2025/12/28,9.08,9.13,8.9,8.98,9.08,-0.88,-0.08,1528893.75,170582
2025/12/25,8.99,9.15,9.02,9.08,8.99,1.45,0.13,558217.94,61394
2025/12/24,9.01,9.17,8.93,8.99,9.01,0.89,0.08,613877.94,68291
2025/12/23,9.1,9.23,9.0,9.01,9.1,-0.99,-0.09,2496217.75,275125
2025/12/22,9.31,9.49,9.02,9.1,9.31,-1.4,-0.13,1832101.25,200405
2025/12/21,9.25,9.65,9.2,9.31,9.25,0.43,0.04,1173874.13,125266
2025/12/18,8.81,9.25,8.62,9.25,8.81,4.99,0.44,3665566.25,404292
2025/12/17,8.95,8.99,8.76,8.81,8.95,-2.12,-0.19,1475832.5,166590
2025/12/16,9.01,9.1,8.91,8.95,9.01,-1.0,-0.09,1996568.25,222059
2025/12/15,9.05,9.2,8.99,9.01,9.05,-0.44,-0.04,3102300.25,343845
2025/12/14,9.17,9.29,9.0,9.05,9.17,0.33,0.03,1498915.25,164147
