«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.209,0.21,0.202,0.202,0.209,-3.349,-0.007,3.545094E7,171939326
2026/01/12,0.212,0.214,0.209,0.209,0.212,-1.415,-0.003,3.6111852E7,170828481
2026/01/11,0.21,0.215,0.21,0.212,0.21,0.952,0.002,3.5518132E7,167203555
2026/01/08,0.21,0.216,0.209,0.21,0.21,0.0,0.0,6.2544908E7,294363719
2026/01/06,0.212,0.213,0.209,0.21,0.212,-0.943,-0.002,2.123445E7,100712028
2026/01/05,0.213,0.216,0.209,0.212,0.213,-0.469,-0.001,3.7424172E7,176608435
2026/01/04,0.211,0.217,0.21,0.213,0.211,0.948,0.002,5.0512612E7,237154702
2025/12/31,0.218,0.219,0.211,0.211,0.218,-3.211,-0.007,6.6938828E7,311909016
2025/12/30,0.221,0.224,0.217,0.218,0.221,-1.357,-0.003,6.0863424E7,276167133
2025/12/29,0.22,0.224,0.219,0.221,0.22,0.455,0.001,6.7466928E7,304641640
2025/12/28,0.218,0.226,0.219,0.22,0.218,0.917,0.002,8.1242216E7,365005261
2025/12/25,0.221,0.224,0.217,0.218,0.221,-1.357,-0.003,5.873282E7,267191893
2025/12/24,0.211,0.225,0.207,0.221,0.211,4.739,0.01,1.69786816E8,780591880
2025/12/23,0.218,0.221,0.208,0.211,0.218,-3.211,-0.007,1.21669784E8,569834024
2025/12/22,0.229,0.229,0.216,0.218,0.229,-4.803,-0.011,1.74735584E8,789393018
2025/12/21,0.249,0.251,0.225,0.229,0.249,-8.032,-0.02,2.91586784E8,1246960117
2025/12/18,0.27,0.278,0.249,0.249,0.27,-7.778,-0.021,3.99557088E8,1509248390
2025/12/17,0.274,0.284,0.27,0.27,0.274,-1.46,-0.004,3.2277392E8,1159566534
2025/12/16,0.259,0.278,0.262,0.274,0.259,5.791,0.015,4.20947488E8,1554561850
2025/12/15,0.263,0.264,0.256,0.259,0.263,-1.521,-0.004,8.5402176E7,328618124
2025/12/14,0.258,0.268,0.26,0.263,0.258,1.938,0.005,1.05110192E8,398018205
2025/12/11,0.25,0.263,0.252,0.258,0.25,3.2,0.008,1.76537584E8,682409406
2025/12/10,0.254,0.257,0.249,0.25,0.254,-1.575,-0.004,9.8823688E7,391692691
2025/12/09,0.257,0.263,0.25,0.254,0.257,-1.167,-0.003,1.6248112E8,634427422
2025/12/08,0.258,0.27,0.256,0.257,0.258,-0.388,-0.001,2.7233056E8,1031184771
2025/12/07,0.248,0.262,0.245,0.258,0.248,4.032,0.01,2.3852544E8,938101041
2025/12/04,0.231,0.256,0.238,0.248,0.231,7.359,0.017,5.06128704E8,2040023769
2025/12/03,0.237,0.238,0.229,0.231,0.237,-2.532,-0.006,1.0550536E8,451305552
2025/12/02,0.215,0.239,0.217,0.237,0.215,10.233,0.022,3.50326656E8,1528100714
2025/12/01,0.206,0.221,0.204,0.215,0.206,4.369,0.009,3.01622432E8,1395598154
2025/11/30,0.207,0.211,0.204,0.206,0.207,-0.483,-0.001,2.715855E7,131234686
2025/11/27,0.209,0.215,0.202,0.207,0.209,-0.957,-0.002,9.7514432E7,468580939
2025/11/26,0.21,0.225,0.205,0.209,0.21,-0.476,-0.001,3.0365296E8,1417992660
2025/11/25,0.177,0.212,0.177,0.21,0.177,18.644001,0.033,3.8750144E8,1896563216
2025/11/24,0.179,0.18,0.177,0.177,0.179,-1.117,-0.002,7361073.0,41253396
2025/11/23,0.176,0.18,0.175,0.179,0.176,1.705,0.003,1.0946266E7,61595657
2025/11/20,0.176,0.177,0.175,0.176,0.176,0.0,0.0,5270071.5,29957140
2025/11/19,0.177,0.179,0.175,0.176,0.177,-0.565,-0.001,7232654.0,40998392
2025/11/18,0.178,0.182,0.177,0.177,0.178,-0.562,-0.001,1.2131787E7,67698786
2025/11/17,0.176,0.18,0.176,0.178,0.176,1.136,0.002,1.6611273E7,93231541
2025/11/16,0.175,0.177,0.174,0.176,0.175,0.571,0.001,3551534.5,20215185
2025/11/13,0.176,0.177,0.174,0.175,0.176,-0.568,-0.001,4892843.0,27904729
2025/11/12,0.176,0.178,0.175,0.176,0.176,0.0,0.0,8482852.0,48092957
2025/11/11,0.175,0.178,0.173,0.176,0.175,0.571,0.001,1.1877568E7,67709998
2025/11/10,0.175,0.176,0.173,0.175,0.175,0.0,0.0,1.2311031E7,70489309
2025/11/09,0.176,0.179,0.175,0.175,0.176,-0.568,-0.001,5583654.0,31665870
2025/11/06,0.174,0.181,0.174,0.176,0.174,1.149,0.002,2.203588E7,124065296
2025/11/05,0.176,0.177,0.174,0.174,0.176,-1.136,-0.002,1.0366445E7,59261717
2025/11/04,0.177,0.178,0.175,0.176,0.177,-0.565,-0.001,1.3876256E7,78995772
2025/11/03,0.182,0.182,0.174,0.177,0.182,-2.747,-0.005,2.5996696E7,146917417
2025/11/02,0.184,0.185,0.18,0.182,0.184,-1.087,-0.002,1.1629975E7,64090351
2025/10/30,0.184,0.186,0.183,0.184,0.184,0.0,0.0,1.2024803E7,65214094
2025/10/29,0.184,0.187,0.182,0.184,0.184,0.0,0.0,1.3793031E7,74792073
2025/10/28,0.186,0.187,0.183,0.184,0.186,-1.075,-0.002,9854835.0,53474413
2025/10/27,0.187,0.188,0.185,0.186,0.187,-0.535,-0.001,1.3527473E7,72643235
2025/10/26,0.189,0.189,0.186,0.187,0.189,-1.058,-0.002,1.9439972E7,103540325
2025/10/23,0.187,0.19,0.186,0.189,0.187,1.07,0.002,1.5216691E7,80734881
2025/10/22,0.181,0.189,0.181,0.187,0.181,3.315,0.006,3.4553316E7,185333517
2025/10/21,0.182,0.184,0.181,0.181,0.182,-0.549,-0.001,6829434.0,37489737
2025/10/20,0.185,0.187,0.182,0.182,0.185,-1.622,-0.003,1.3447597E7,73050385
