«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,48.75,49.0,47.5,47.53,48.75,-2.5,-1.22,1.4095165E7,292433
2026/01/12,49.09,49.5,48.75,48.75,49.09,-0.69,-0.34,1.1142638E7,227873
2026/01/11,49.07,49.79,49.03,49.09,49.07,0.04,0.02,1.3328075E7,270580
2026/01/08,50.0,50.1,49.01,49.07,50.0,-1.86,-0.93,1.2719185E7,257769
2026/01/06,48.97,50.19,48.95,50.0,48.97,2.1,1.03,1.3409894E7,271459
2026/01/05,50.16,50.4,48.56,48.97,50.16,-2.37,-1.19,2.1738506E7,440818
2026/01/04,50.8,51.19,50.01,50.16,50.8,-1.26,-0.64,1.8703652E7,370321
2025/12/31,50.91,51.15,49.71,50.8,50.91,-0.22,-0.11,1.9918242E7,394985
2025/12/30,50.49,51.18,50.5,50.91,50.49,0.83,0.42,1.5876838E7,312312
2025/12/29,48.97,50.5,49.0,50.49,48.97,3.1,1.52,3.1835926E7,636084
2025/12/28,48.73,49.35,48.5,48.97,48.73,0.49,0.24,2.154635E7,440033
2025/12/25,49.07,49.2,48.5,48.73,49.07,-0.69,-0.34,9094829.0,186220
2025/12/24,49.08,49.46,48.9,49.07,49.08,-0.02,-0.01,1.0817868E7,220490
2025/12/23,48.8,49.51,48.6,49.08,48.8,0.57,0.28,1.3468754E7,274458
2025/12/22,50.59,49.23,47.72,48.8,50.59,-3.54,-1.79,2.4777696E7,510517
2025/12/21,47.41,48.5,47.46,47.65,47.41,0.48,0.24,2.477704E7,488243
2025/12/18,47.66,48.06,47.36,47.41,47.66,-0.49,-0.25,2.7429084E7,540386
2025/12/17,47.96,48.51,47.66,47.66,47.96,-0.59,-0.3,2.1865062E7,429023
2025/12/16,48.2,48.53,47.76,47.96,48.2,-0.47,-0.24,1.5477321E7,302864
2025/12/15,48.44,48.86,48.15,48.2,48.44,-0.47,-0.24,2.9406284E7,571720
2025/12/14,48.6,49.02,48.36,48.44,48.6,-0.31,-0.16,1.891339E7,367584
2025/12/11,49.15,50.04,48.56,48.6,49.15,-1.06,-0.55,3.6445356E7,697872
2025/12/10,48.92,49.58,48.92,49.15,48.92,0.44,0.23,2.6543258E7,508189
2025/12/09,48.22,49.04,48.24,48.92,48.22,1.37,0.7,1.5247408E7,295514
2025/12/08,47.88,49.06,48.06,48.22,47.88,0.67,0.34,1.6385199E7,318847
2025/12/07,47.86,48.93,47.57,47.88,47.86,0.04,0.02,1.5494025E7,304731
2025/12/04,48.74,49.45,47.76,47.86,48.74,-1.7,-0.88,3.7337264E7,729298
2025/12/03,48.55,51.39,48.58,48.74,48.55,0.37,0.19,8.0884848E7,1532057
2025/12/02,48.26,48.66,47.62,48.55,48.26,0.21,0.11,4.5988808E7,898196
2025/12/01,48.86,49.04,48.08,48.26,48.86,-1.16,-0.6,9074515.0,176673
2025/11/30,48.06,49.05,47.88,48.86,48.06,1.57,0.8,1.96106E7,380990
2025/11/27,45.73,48.06,45.72,48.06,45.73,4.79,2.33,6.4056184E7,1277993
2025/11/26,46.66,48.02,45.71,45.73,46.66,-1.88,-0.93,2.159205E7,438112
2025/11/25,47.34,47.82,45.82,46.66,47.34,-1.35,-0.68,1.8079436E7,363899
2025/11/24,48.39,48.87,47.34,47.34,48.39,-2.05,-1.05,1.2709936E7,249762
2025/11/23,48.07,49.21,48.09,48.39,48.07,0.63,0.32,2.0834738E7,403459
2025/11/20,47.81,49.8,48.06,48.07,47.81,0.51,0.26,6.1971168E7,1197336
2025/11/19,48.07,49.31,47.31,47.81,48.07,-0.51,-0.26,3.0952726E7,601357
2025/11/18,49.96,50.93,48.07,48.07,49.96,-3.57,-1.89,2.4915334E7,478212
2025/11/17,49.56,51.46,49.19,49.96,49.56,0.76,0.4,5.1395872E7,966064
2025/11/16,50.06,51.06,49.08,49.56,50.06,-0.94,-0.5,4.4105144E7,832781
2025/11/13,52.08,57.46,49.65,50.06,52.08,-3.67,-2.02,2.38348176E8,4269435
2025/11/12,45.56,55.26,45.56,52.08,45.56,13.44,6.52,1.90959168E8,3596313
