«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.35,1.36,1.3,1.3,1.35,-3.704,-0.05,1.4855536E7,11203336
2026/01/12,1.35,1.4,1.33,1.35,1.35,0.0,0.0,2.3906444E7,17470903
2026/01/11,1.35,1.37,1.33,1.35,1.35,0.0,0.0,1.3176438E7,9778301
2026/01/08,1.36,1.41,1.34,1.35,1.36,-0.735,-0.01,2.0650688E7,15088926
2026/01/06,1.34,1.38,1.34,1.36,1.34,1.493,0.02,1.2321762E7,9058963
2026/01/05,1.39,1.41,1.34,1.34,1.39,-3.597,-0.05,1.2512211E7,9173244
2026/01/04,1.39,1.45,1.38,1.39,1.39,0.0,0.0,2.5692962E7,18165873
2025/12/31,1.43,1.47,1.39,1.39,1.43,-2.797,-0.04,3.0183544E7,21154809
2025/12/30,1.41,1.47,1.41,1.43,1.41,1.418,0.02,4.5176892E7,31306672
2025/12/29,1.42,1.45,1.4,1.41,1.42,-0.704,-0.01,4.275204E7,30031729
2025/12/28,1.32,1.42,1.31,1.42,1.32,7.576,0.1,6.39512E7,46371822
2025/12/25,1.32,1.34,1.31,1.32,1.32,0.0,0.0,1.0276616E7,7771835
2025/12/24,1.32,1.36,1.32,1.32,1.32,0.0,0.0,2.0065666E7,15022102
2025/12/23,1.33,1.36,1.3,1.32,1.33,-0.752,-0.01,1.8718382E7,14028138
2025/12/22,1.28,1.38,1.29,1.33,1.28,3.906,0.05,5.1613284E7,38292230
2025/12/21,1.3,1.32,1.27,1.28,1.3,-1.538,-0.02,1.6146273E7,12470581
2025/12/18,1.3,1.32,1.29,1.3,1.3,0.0,0.0,1.4010805E7,10779074
2025/12/17,1.31,1.33,1.29,1.3,1.31,-0.763,-0.01,1.7213052E7,13165575
2025/12/16,1.34,1.36,1.3,1.31,1.34,-2.239,-0.03,1.9418244E7,14612341
2025/12/15,1.32,1.37,1.32,1.34,1.32,1.515,0.02,2.8565764E7,21159114
2025/12/14,1.32,1.35,1.31,1.32,1.32,0.0,0.0,1.7853682E7,13482681
2025/12/11,1.34,1.36,1.3,1.32,1.34,-1.493,-0.02,2.136052E7,16069343
2025/12/10,1.34,1.37,1.32,1.34,1.34,0.0,0.0,1.5569174E7,11577710
2025/12/09,1.35,1.37,1.32,1.34,1.35,-0.741,-0.01,2.238583E7,16637060
2025/12/08,1.34,1.42,1.34,1.35,1.34,0.746,0.01,6.9870688E7,50912973
2025/12/07,1.32,1.38,1.31,1.34,1.32,1.515,0.02,2.7933882E7,20874628
2025/12/04,1.35,1.39,1.31,1.32,1.35,-2.222,-0.03,3.0294884E7,22543416
2025/12/03,1.39,1.41,1.35,1.35,1.39,-2.878,-0.04,4.377142E7,31758931
2025/12/02,1.25,1.44,1.27,1.39,1.25,11.2,0.14,1.49900736E8,108682274
2025/12/01,1.25,1.29,1.23,1.25,1.25,0.0,0.0,3.2747816E7,26046604
2025/11/30,1.27,1.32,1.25,1.25,1.27,-1.575,-0.02,3.90089E7,30502164
2025/11/27,1.28,1.32,1.27,1.27,1.28,-0.781,-0.01,3.1780742E7,24640535
2025/11/26,1.3,1.35,1.26,1.28,1.3,-1.538,-0.02,3.8773748E7,29898555
2025/11/25,1.4,1.44,1.28,1.3,1.4,-7.143,-0.1,8.9234032E7,66535448
2025/11/24,1.41,1.52,1.37,1.4,1.41,-0.709,-0.01,6.8488912E7,47273135
2025/11/23,1.57,1.52,1.35,1.41,1.57,-10.191,-0.16,1.07711016E8,75162189
2025/11/20,1.65,1.7,1.56,1.57,1.65,-4.848,-0.08,1.20441536E8,74062279
2025/11/19,1.52,1.66,1.54,1.65,1.52,8.552999,0.13,2.2562288E8,141359671
2025/11/18,1.4,1.57,1.38,1.52,1.4,8.571,0.12,2.0782816E8,137955943
2025/11/17,1.48,1.47,1.39,1.4,1.48,-5.405,-0.08,8.2204464E7,57692729
2025/11/16,1.45,1.63,1.46,1.48,1.45,2.069,0.03,2.50865392E8,162523438
2025/11/13,1.24,1.48,1.29,1.45,1.24,16.935001,0.21,3.10757344E8,223396718
2025/11/12,1.17,1.25,1.16,1.24,1.17,5.983,0.07,5.9198676E7,48648840
2025/11/11,1.17,1.19,1.16,1.17,1.17,0.0,0.0,7740263.0,6601361
2025/11/10,1.19,1.2,1.16,1.17,1.19,-1.681,-0.02,1.2349516E7,10518818
2025/11/09,1.2,1.23,1.18,1.19,1.2,-0.833,-0.01,2.2167386E7,18427812
2025/11/06,1.2,1.26,1.2,1.2,1.2,0.0,0.0,4.798186E7,39105209
2025/11/05,1.2,1.23,1.19,1.2,1.2,0.0,0.0,3.630152E7,30120246
2025/11/04,1.17,1.23,1.16,1.2,1.17,2.564,0.03,2.8195418E7,23518901
2025/11/03,1.18,1.19,1.16,1.17,1.18,-0.847,-0.01,1.0245236E7,8741967
2025/11/02,1.15,1.23,1.17,1.18,1.15,2.609,0.03,3.1140484E7,26058229
2025/10/30,1.17,1.18,1.14,1.15,1.17,-1.709,-0.02,1.3237609E7,11422486
2025/10/29,1.17,1.19,1.16,1.17,1.17,0.0,0.0,1.0377869E7,8856392
2025/10/28,1.2,1.21,1.15,1.17,1.2,-2.5,-0.03,2.4116886E7,20551441
2025/10/27,1.15,1.24,1.16,1.2,1.15,4.348,0.05,5.102498E7,42315672
2025/10/26,1.15,1.18,1.14,1.15,1.15,0.0,0.0,1.8609618E7,16088184
2025/10/23,1.18,1.21,1.15,1.15,1.18,-2.542,-0.03,4.7897604E7,40841235
2025/10/22,1.09,1.21,1.09,1.18,1.09,8.257,0.09,4.1752504E7,36359980
2025/10/21,1.09,1.1,1.06,1.09,1.09,0.0,0.0,9454472.0,8713803
2025/10/20,1.11,1.12,1.08,1.09,1.11,-1.802,-0.02,7929459.0,7218464
2025/10/19,1.08,1.13,1.08,1.11,1.08,2.778,0.03,1.0960875E7,9914160
2025/10/16,1.06,1.09,1.06,1.08,1.06,1.887,0.02,6169315.5,5745805
2025/10/15,1.07,1.08,1.06,1.06,1.07,-0.935,-0.01,5408838.5,5080053
2025/10/14,1.08,1.1,1.07,1.07,1.08,-0.926,-0.01,5428033.5,5036229
2025/10/13,1.07,1.09,1.06,1.08,1.07,0.935,0.01,4404182.5,4091281
2025/10/12,1.08,1.09,1.05,1.07,1.08,-0.926,-0.01,6127878.0,5726127
2025/10/08,1.09,1.1,1.07,1.08,1.09,-0.917,-0.01,1.0564409E7,9767985
2025/10/07,1.09,1.11,1.05,1.09,1.09,0.0,0.0,1.9979072E7,18465540
2025/10/06,1.06,1.09,1.06,1.09,1.06,2.83,0.03,4047607.0,3764510
2025/10/05,1.09,1.1,1.06,1.06,1.09,-2.752,-0.03,4460475.5,4159708
2025/10/02,1.09,1.12,1.06,1.09,1.09,0.0,0.0,6246645.0,5773266
2025/10/01,1.06,1.13,1.07,1.09,1.06,2.83,0.03,2.0204818E7,18335751
2025/09/30,1.08,1.08,1.05,1.06,1.08,-1.852,-0.02,5906471.0,5546009
2025/09/29,1.08,1.09,1.05,1.08,1.08,0.0,0.0,6236638.5,5857335
2025/09/28,1.02,1.09,1.02,1.08,1.02,5.882,0.06,1.240058E7,11725786
2025/09/25,1.02,1.03,1.01,1.02,1.02,0.0,0.0,4827329.0,4736635
2025/09/24,1.02,1.04,1.01,1.02,1.02,0.0,0.0,2553587.5,2505395
2025/09/23,1.05,1.07,1.01,1.02,1.05,-2.857,-0.03,1.1954634E7,11507171
