«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2024/12/25,0.11,0.11,0.06,0.08,0.11,-27.273001,-0.03,608204.125,7601545
2024/12/23,0.13,0.15,0.11,0.11,0.13,-15.385,-0.02,454047.625,3494024
2024/12/18,0.15,0.17,0.1,0.13,0.15,-13.333,-0.02,425381.625,3401381
2024/12/16,0.2,20.0,0.12,0.15,0.2,-25.0,-0.05,314383.938,2575245
2024/08/13,0.738,0.735,0.702,0.729,0.738,-0.406,-0.003,947069.688,1332245
2024/08/12,0.747,0.761,0.71,0.738,0.747,-1.205,-0.009,1511659.5,2034980
2024/08/11,0.778,0.769,0.74,0.747,0.778,-1.157,-0.009,425183.344,571797
2024/08/08,0.778,0.778,0.74,0.778,0.778,0.0,0.0,124274.766,167564
2024/08/07,0.743,0.78,0.706,0.778,0.743,4.711,0.035,886280.375,1203455
2024/08/06,0.782,0.747,0.743,0.743,0.782,-4.987,-0.039,192561.703,259114
2024/08/05,0.782,0.782,0.743,0.782,0.782,0.0,0.0,67824.477,91282
2024/08/04,0.782,0.782,0.743,0.782,0.782,0.0,0.0,11079.058,14906
2024/08/01,0.782,0.743,0.743,0.782,0.782,-4.987,-0.039,5040.512,6784
2024/07/31,0.782,0.743,0.743,0.782,0.782,-4.987,-0.039,1448.85,1950
2024/07/30,0.782,0.743,0.743,0.782,0.782,-4.987,-0.039,3041.842,4094
2024/07/29,0.782,0.782,0.743,0.782,0.782,0.0,0.0,1464.635,1945
2024/07/28,0.782,0.782,0.743,0.782,0.782,0.0,0.0,3507.609,4713
2024/07/24,0.782,0.743,0.743,0.782,0.782,-4.987,-0.039,9506.685,12795
2024/07/23,0.782,0.782,0.743,0.782,0.782,0.0,0.0,11801.533,15881
2024/07/22,0.782,0.743,0.743,0.782,0.782,-4.987,-0.039,2151.728,2896
2024/07/21,0.782,0.743,0.743,0.782,0.782,-4.987,-0.039,6028.702,8114
2024/07/18,0.782,0.743,0.743,0.782,0.782,-4.987,-0.039,7801.5,10500
