«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,8.05,8.1,8.0,8.04,8.05,-0.12,-0.01,1338781.88,166676
2026/01/12,8.05,8.12,8.01,8.05,8.05,0.5,0.04,636306.81,78836
2026/01/11,8.09,8.15,8.04,8.05,8.09,-0.37,-0.03,1295424.38,160595
2026/01/08,8.11,8.18,8.0,8.09,8.11,-0.25,-0.02,1204681.25,148849
2026/01/06,8.11,8.15,8.0,8.11,8.11,0.0,0.0,655248.44,80872
2026/01/05,8.16,8.2,8.01,8.11,8.16,-0.98,-0.08,501410.5,61862
2026/01/04,8.16,8.23,8.1,8.16,8.16,0.25,0.02,1332156.88,163620
2025/12/31,8.19,8.26,8.12,8.16,8.19,-0.37,-0.03,1983096.25,242558
2025/12/30,8.28,8.32,8.11,8.19,8.28,-0.48,-0.04,1296842.5,157723
2025/12/29,8.3,8.4,8.2,8.28,8.3,-0.6,-0.05,792417.88,95716
2025/12/28,8.29,8.39,8.22,8.3,8.29,0.24,0.02,389022.88,46776
2025/12/25,8.35,8.4,8.26,8.29,8.35,-0.72,-0.06,985281.88,118369
2025/12/24,8.25,8.47,8.17,8.35,8.25,1.82,0.15,1213004.5,146080
2025/12/23,8.44,8.47,8.15,8.25,8.44,-2.25,-0.19,3909054.75,473340
2025/12/22,8.54,8.7,8.3,8.44,8.54,-1.17,-0.1,2244020.5,266702
2025/12/21,8.6,8.7,8.46,8.54,8.6,-1.51,-0.13,4823334.5,562976
2025/12/18,8.16,8.64,8.08,8.6,8.16,5.39,0.44,6821960.0,804604
2025/12/17,8.38,8.47,8.11,8.16,8.38,-1.91,-0.16,2424176.75,294929
2025/12/16,8.52,8.65,8.22,8.38,8.52,-1.64,-0.14,6809520.5,814814
2025/12/15,8.69,8.74,8.48,8.52,8.69,-1.5,-0.13,3555854.75,414071
2025/12/14,8.69,8.79,8.64,8.69,8.69,0.12,0.01,2232135.0,256993
2025/12/11,8.75,8.84,8.6,8.69,8.75,0.23,0.02,2631490.25,302307
2025/12/10,8.85,8.9,8.7,8.75,8.85,-0.79,-0.07,3075514.0,350542
