«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,43.14,43.52,42.4,42.54,43.14,-1.69,-0.73,4621202.5,108288
2026/01/12,44.09,44.43,43.01,43.14,44.09,-2.15,-0.95,6351265.0,145174
2026/01/11,44.65,44.84,43.95,44.09,44.65,-1.25,-0.56,3511690.0,79272
2026/01/08,44.14,44.79,43.6,44.65,44.14,1.16,0.51,8080998.5,182695
2026/01/06,42.99,44.54,43.21,44.14,42.99,2.68,1.15,1.680635E7,382248
2026/01/05,45.15,45.6,42.0,42.99,45.15,-4.78,-2.16,1.9127064E7,439358
2026/01/04,43.39,47.5,45.06,45.15,43.39,4.06,1.76,4.117026E7,893846
2025/12/31,42.36,43.39,42.4,43.39,42.36,2.43,1.03,7558282.5,176312
2025/12/30,42.45,42.79,42.31,42.36,42.45,-0.21,-0.09,3547444.5,83519
2025/12/29,43.11,43.4,42.4,42.45,43.11,-1.53,-0.66,1.0605368E7,247315
2025/12/28,43.17,43.5,43.11,43.11,43.17,-0.14,-0.06,3208856.0,74218
2025/12/25,43.72,43.99,43.09,43.17,43.72,-1.26,-0.55,5374344.5,123135
2025/12/24,43.34,44.0,43.15,43.72,43.34,0.88,0.38,1.3336826E7,305528
2025/12/23,42.31,43.96,42.45,43.34,42.31,2.43,1.03,1.582203E7,365683
2025/12/22,41.95,42.76,42.17,42.31,41.95,0.86,0.36,1.1571494E7,272199
2025/12/21,42.12,42.15,41.8,41.95,42.12,-0.4,-0.17,5350121.5,127559
2025/12/18,42.19,42.7,42.08,42.12,42.19,-0.17,-0.07,4654358.5,110119
2025/12/17,42.5,42.6,42.16,42.19,42.5,-0.75,-0.32,4675983.0,110612
2025/12/16,43.2,43.34,42.45,42.5,43.2,-1.62,-0.7,1.3226091E7,309957
2025/12/15,43.24,43.5,42.9,43.2,43.24,-0.09,-0.04,1.2192479E7,282099
2025/12/14,43.6,43.92,43.12,43.24,43.6,-0.83,-0.36,9899331.0,228202
2025/12/11,44.9,45.45,43.4,43.6,44.9,-2.9,-1.3,2.865799E7,652970
2025/12/10,45.24,45.68,44.52,44.9,45.24,-0.75,-0.34,9993126.0,221846
2025/12/09,45.2,45.75,45.17,45.24,45.2,0.09,0.04,8272204.0,182278
2025/12/08,46.05,46.0,45.2,45.2,46.05,-1.85,-0.85,5124221.0,112766
2025/12/07,45.52,46.18,45.48,46.05,45.52,1.36,0.62,5472367.5,119716
2025/12/04,46.5,46.85,45.52,45.52,46.5,-2.11,-0.98,9752424.0,212939
2025/12/03,45.34,46.96,45.39,46.5,45.34,2.56,1.16,1.7883752E7,387132
2025/12/02,45.75,46.28,45.3,45.34,45.75,-0.9,-0.41,1.0884128E7,238730
2025/12/01,45.5,46.69,45.05,45.75,45.5,0.55,0.25,1.4828739E7,324119
2025/11/30,46.12,47.79,45.5,45.5,46.12,-1.34,-0.62,1.5531355E7,337922
2025/11/27,46.83,47.3,46.12,46.12,46.83,-1.52,-0.71,6043320.0,130079
2025/11/26,48.79,48.67,46.7,46.83,48.79,-4.02,-1.96,1.3808808E7,291837
2025/11/25,48.47,49.3,47.4,48.79,48.47,0.66,0.32,4.8059532E7,985994
2025/11/24,48.14,48.61,47.8,48.47,48.14,0.69,0.33,3.4044548E7,704768
2025/11/23,48.0,48.53,47.71,48.14,48.0,0.29,0.14,1.5143446E7,314610
2025/11/20,47.17,48.35,47.02,48.0,47.17,1.76,0.83,2.9322576E7,612822
2025/11/19,45.77,47.24,45.52,47.17,45.77,3.06,1.4,1.0527772E7,226939
2025/11/18,47.55,47.8,45.61,45.77,47.55,-3.74,-1.78,1.2262041E7,261618
2025/11/17,46.7,47.69,46.81,47.55,46.7,1.82,0.85,1.88368E7,398064
2025/11/16,45.72,47.3,45.1,46.7,45.72,2.14,0.98,1.6773445E7,358121
2025/11/13,45.84,46.19,45.3,45.72,45.84,-0.26,-0.12,3638114.5,79300
2025/11/12,45.42,46.0,45.06,45.84,45.42,0.92,0.42,9883361.0,217179
2025/11/11,46.1,46.35,45.15,45.42,46.1,-2.06,-0.95,1.2179339E7,266923
2025/11/10,46.71,46.98,45.75,46.1,46.71,-1.31,-0.61,6181796.0,134203
2025/11/09,46.89,47.55,46.28,46.71,46.89,-0.38,-0.18,3.1570504E7,671796
2025/11/06,45.8,47.19,45.5,46.89,45.8,2.38,1.09,1.8990976E7,411125
2025/11/05,47.36,47.85,45.55,45.8,47.36,-3.29,-1.56,1.5557319E7,332587
2025/11/04,48.24,49.3,47.36,47.36,48.24,-1.82,-0.88,3.1344042E7,649084
2025/11/03,47.9,48.7,47.85,48.24,47.9,0.71,0.34,7462567.0,154711
2025/11/02,48.2,48.8,47.53,47.9,48.2,-0.62,-0.3,1.463395E7,304304
2025/10/30,48.17,48.98,48.01,48.2,48.17,0.06,0.03,2.5502356E7,527208
2025/10/29,50.25,50.94,48.17,48.17,50.25,-4.14,-2.08,3.4393272E7,706521
2025/10/28,51.8,51.5,49.22,50.25,51.8,-2.99,-1.55,1.982345E7,397555
2025/10/27,52.64,52.98,49.56,51.8,52.64,-1.6,-0.84,3.514144E7,690301
2025/10/26,50.46,53.85,50.5,52.64,50.46,4.32,2.18,2.298002E7,441110
2025/10/23,49.5,50.51,49.04,50.46,49.5,1.94,0.96,4.112752E7,821657
2025/10/22,49.0,49.86,48.7,49.5,49.0,1.02,0.5,2.116686E7,429939
2025/10/21,47.76,49.23,47.7,49.0,47.76,2.6,1.24,4.3867228E7,899799
2025/10/20,47.38,48.2,47.06,47.76,47.38,0.8,0.38,2.3564028E7,492630
2025/10/19,46.05,48.36,46.05,47.38,46.05,2.89,1.33,4.2195144E7,890008
2025/10/16,46.84,46.98,46.04,46.05,46.84,-1.69,-0.79,1.5010585E7,324187
2025/10/15,46.63,47.35,46.03,46.84,46.63,0.45,0.21,2.0815246E7,446130
2025/10/14,46.48,46.73,45.21,46.63,46.48,0.32,0.15,2.2685668E7,494389
2025/10/13,44.17,47.4,44.01,46.48,44.17,5.23,2.31,7.0207976E7,1522933
2025/10/12,44.12,44.65,43.5,44.17,44.12,0.11,0.05,7897778.0,179285
2025/10/08,44.0,44.15,43.66,44.12,44.0,0.27,0.12,9965125.0,226605
2025/10/07,44.15,44.45,43.54,44.0,44.15,-0.34,-0.15,1.0860449E7,247175
2025/10/06,44.3,45.45,43.95,44.15,44.3,-0.34,-0.15,5.42701E7,1217653
2025/10/05,42.95,44.5,42.86,44.3,42.95,3.14,1.35,2.4535258E7,561599
2025/10/02,42.5,44.0,42.5,42.95,42.5,1.06,0.45,3.9214868E7,905083
2025/10/01,41.71,44.39,41.77,42.5,41.71,1.89,0.79,7.1756504E7,1650632
2025/09/30,42.03,42.4,41.51,41.71,42.03,-0.76,-0.32,1.1700082E7,278812
2025/09/29,42.02,42.73,41.92,42.03,42.02,0.02,0.01,1.3230154E7,313249
2025/09/28,40.22,42.69,40.92,42.02,40.22,4.48,1.8,4.193728E7,998800
2025/09/25,39.49,41.95,40.15,40.22,39.49,1.85,0.73,1.9168674E7,467486
2025/09/24,38.55,39.89,38.55,39.49,38.55,2.44,0.94,4510326.5,115876
2025/09/23,38.86,39.49,38.23,38.55,38.86,-0.8,-0.31,3712190.5,95165
2025/09/22,40.03,40.33,38.62,38.86,40.03,-2.92,-1.17,7290481.5,185730
2025/09/21,39.94,41.3,39.8,40.03,39.94,0.23,0.09,2.1159336E7,520626
