«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.306,0.309,0.302,0.303,0.306,-0.98,-0.003,4747988.0,15605651
2026/01/12,0.313,0.315,0.306,0.306,0.313,-2.236,-0.007,5797420.0,18682518
2026/01/11,0.308,0.314,0.306,0.313,0.308,1.623,0.005,1.0047851E7,32508532
2026/01/08,0.309,0.311,0.307,0.308,0.309,-0.324,-0.001,4746502.5,15362531
2026/01/06,0.309,0.311,0.307,0.309,0.309,0.0,0.0,4682527.0,15130562
2026/01/05,0.312,0.313,0.307,0.309,0.312,-0.962,-0.003,7426494.5,23943081
2026/01/04,0.319,0.321,0.312,0.312,0.319,-2.194,-0.007,8210749.5,26058054
2025/12/31,0.315,0.322,0.317,0.319,0.315,1.27,0.004,2.5281904E7,79260450
2025/12/30,0.309,0.318,0.309,0.315,0.309,1.942,0.006,1.5963212E7,50671229
2025/12/29,0.31,0.312,0.309,0.309,0.31,-0.323,-0.001,4181741.75,13483092
2025/12/28,0.309,0.314,0.309,0.31,0.309,0.324,0.001,1.1707215E7,37661310
2025/12/25,0.309,0.313,0.307,0.309,0.309,0.0,0.0,8064751.0,25938230
2025/12/24,0.313,0.315,0.308,0.309,0.313,-1.278,-0.004,8414619.0,27100624
2025/12/23,0.308,0.314,0.304,0.313,0.308,1.623,0.005,1.7348448E7,56437340
2025/12/22,0.314,0.316,0.307,0.308,0.314,-1.911,-0.006,1.5475552E7,49744721
2025/12/21,0.321,0.324,0.313,0.314,0.321,-2.181,-0.007,1.341484E7,42320510
2025/12/18,0.324,0.326,0.32,0.321,0.324,-0.926,-0.003,9668493.0,30079490
2025/12/17,0.327,0.33,0.324,0.324,0.327,-0.917,-0.003,1.0607425E7,32476969
2025/12/16,0.321,0.332,0.322,0.327,0.321,1.869,0.006,2.8580396E7,87622063
2025/12/15,0.322,0.325,0.321,0.321,0.322,-0.311,-0.001,8853102.0,27462481
2025/12/14,0.33,0.332,0.321,0.322,0.33,-2.424,-0.008,1.8885456E7,58321005
2025/12/11,0.334,0.338,0.33,0.33,0.334,-1.198,-0.004,2.3545524E7,70637556
2025/12/10,0.337,0.341,0.333,0.334,0.337,-0.89,-0.003,2.3326144E7,69331789
2025/12/09,0.334,0.345,0.334,0.337,0.334,0.898,0.003,5.0650088E7,149231604
2025/12/08,0.334,0.352,0.334,0.334,0.334,0.0,0.0,6.8056384E7,198669819
2025/12/07,0.336,0.344,0.331,0.334,0.336,-0.595,-0.002,2.1849622E7,65030640
2025/12/04,0.335,0.34,0.33,0.336,0.335,0.299,0.001,2.784679E7,83130216
2025/12/03,0.342,0.351,0.331,0.335,0.342,-2.047,-0.007,7.5027808E7,220577214
2025/12/02,0.312,0.344,0.312,0.342,0.312,9.615,0.03,1.28993848E8,387865326
2025/12/01,0.313,0.319,0.311,0.312,0.313,-0.319,-0.001,1.2794232E7,40732488
2025/11/30,0.315,0.32,0.312,0.313,0.315,-0.635,-0.002,1.3594009E7,43237710
2025/11/27,0.3,0.316,0.3,0.315,0.3,5.0,0.015,1.5385862E7,49794086
2025/11/26,0.302,0.306,0.298,0.3,0.302,-0.662,-0.002,1.411082E7,46742652
2025/11/25,0.31,0.313,0.302,0.302,0.31,-2.581,-0.008,1.5599007E7,50664898
2025/11/24,0.318,0.321,0.308,0.31,0.318,-2.516,-0.008,2.0958502E7,66577555
2025/11/23,0.317,0.326,0.317,0.318,0.317,0.315,0.001,4.0455384E7,125949659
2025/11/20,0.303,0.317,0.304,0.317,0.303,4.62,0.014,5.2826388E7,168851795
2025/11/19,0.304,0.31,0.301,0.303,0.304,-0.329,-0.001,1.6025349E7,52442007
2025/11/18,0.309,0.316,0.303,0.304,0.309,-1.618,-0.005,4.1037192E7,132199633
2025/11/17,0.295,0.309,0.297,0.309,0.295,4.746,0.014,2.1316028E7,70275254
2025/11/16,0.292,0.298,0.292,0.295,0.292,1.027,0.003,4804201.5,16308485
2025/11/13,0.296,0.3,0.292,0.292,0.296,-1.351,-0.004,5470331.5,18533563
2025/11/12,0.286,0.305,0.286,0.296,0.286,3.497,0.01,2.0462314E7,68698846
2025/11/11,0.285,0.288,0.285,0.286,0.285,0.351,0.001,3662030.75,12804402
2025/11/10,0.289,0.291,0.284,0.285,0.289,-1.384,-0.004,4418816.5,15425266
2025/11/09,0.287,0.292,0.287,0.289,0.287,0.697,0.002,3373061.5,11657040
2025/11/06,0.288,0.29,0.287,0.287,0.288,-0.347,-0.001,5142482.0,17828745
2025/11/05,0.291,0.294,0.287,0.288,0.291,-1.031,-0.003,3760800.25,12983030
2025/11/04,0.29,0.293,0.289,0.291,0.29,0.345,0.001,3469820.0,11944663
2025/11/03,0.293,0.296,0.289,0.29,0.293,-1.024,-0.003,6974287.5,23948195
2025/11/02,0.298,0.3,0.29,0.293,0.298,-1.678,-0.005,3657430.0,12404761
2025/10/30,0.3,0.301,0.297,0.298,0.3,-0.667,-0.002,3324887.25,11127619
2025/10/29,0.3,0.304,0.299,0.3,0.3,0.0,0.0,6163423.5,20500126
2025/10/28,0.306,0.309,0.298,0.3,0.306,-1.961,-0.006,1.1005198E7,36522370
2025/10/27,0.307,0.31,0.305,0.306,0.307,-0.326,-0.001,7154607.5,23299158
2025/10/26,0.305,0.31,0.303,0.307,0.305,0.656,0.002,1.0657411E7,34665913
2025/10/23,0.304,0.31,0.303,0.305,0.304,0.329,0.001,1.3012658E7,42462233
2025/10/22,0.294,0.315,0.295,0.304,0.294,3.401,0.01,5.1699224E7,167870160
2025/10/21,0.295,0.299,0.294,0.294,0.295,-0.339,-0.001,8438465.0,28526437
2025/10/20,0.294,0.298,0.294,0.295,0.294,0.34,0.001,5354494.0,18142876
2025/10/19,0.291,0.299,0.292,0.294,0.291,1.031,0.003,1.5860076E7,53553078
2025/10/16,0.292,0.296,0.29,0.291,0.292,-0.342,-0.001,7553739.5,25848083
2025/10/15,0.289,0.294,0.285,0.292,0.289,1.038,0.003,4142179.25,14308199
2025/10/14,0.292,0.3,0.289,0.289,0.292,-1.027,-0.003,1.0565953E7,35949032
2025/10/13,0.286,0.296,0.283,0.292,0.286,2.098,0.006,1.7670422E7,61404078
2025/10/12,0.292,0.295,0.285,0.286,0.292,-2.055,-0.006,8748265.0,30248835
2025/10/08,0.295,0.297,0.291,0.292,0.295,-1.017,-0.003,5547243.5,18946893
2025/10/07,0.297,0.299,0.292,0.295,0.297,-0.673,-0.002,1.1332197E7,38288380
2025/10/06,0.299,0.301,0.297,0.297,0.299,-0.669,-0.002,3918069.75,13150175
2025/10/05,0.299,0.303,0.297,0.299,0.299,0.0,0.0,5092693.5,16988326
2025/10/02,0.3,0.302,0.296,0.299,0.3,-0.333,-0.001,3897639.75,13064653
2025/10/01,0.302,0.304,0.3,0.3,0.302,-0.662,-0.002,7937648.0,26350572
2025/09/30,0.301,0.306,0.299,0.302,0.301,0.332,0.001,9597123.0,31765516
