«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.07,4.11,4.03,4.05,4.07,-0.49,-0.02,5750269.5,1418213
2026/01/12,4.14,4.16,4.06,4.07,4.14,-1.69,-0.07,4082541.75,993512
2026/01/11,4.1,4.16,4.11,4.14,4.1,0.98,0.04,4341832.0,1050939
2026/01/08,4.06,4.16,4.06,4.1,4.06,0.99,0.04,9713063.0,2357329
2026/01/06,4.05,4.07,4.01,4.06,4.05,0.25,0.01,4251940.5,1050928
2026/01/05,4.1,4.12,4.0,4.05,4.1,-1.22,-0.05,7891597.0,1950866
2026/01/04,4.12,4.16,4.08,4.1,4.12,-0.49,-0.02,5618569.0,1366666
2025/12/31,4.15,4.17,4.1,4.12,4.15,-0.48,-0.02,7924632.0,1917663
2025/12/30,4.21,4.24,4.13,4.15,4.21,-1.43,-0.06,1.2645596E7,3033620
2025/12/29,4.27,4.29,4.2,4.21,4.27,-1.41,-0.06,9481703.0,2241744
2025/12/28,4.35,4.36,4.27,4.27,4.35,-1.84,-0.08,1.0013043E7,2326073
2025/12/25,4.34,4.38,4.32,4.35,4.34,0.23,0.01,9765184.0,2246989
2025/12/24,4.25,4.39,4.26,4.34,4.25,2.12,0.09,1.6097673E7,3719818
2025/12/23,4.25,4.35,4.2,4.25,4.25,0.0,0.0,2.9795372E7,6949070
2025/12/22,4.17,4.25,4.15,4.25,4.17,1.92,0.08,1.0268119E7,2444830
2025/12/21,4.21,4.26,4.17,4.17,4.21,-0.95,-0.04,1.2839429E7,3056455
2025/12/18,4.2,4.28,4.16,4.21,4.2,0.24,0.01,1.2230555E7,2897850
2025/12/17,4.19,4.24,4.17,4.2,4.19,0.24,0.01,1.0029713E7,2388782
2025/12/16,4.32,4.35,4.19,4.19,4.32,-3.01,-0.13,2.750092E7,6464991
2025/12/15,4.23,4.53,4.29,4.32,4.23,2.13,0.09,1.02704824E8,23287920
2025/12/14,4.09,4.26,4.07,4.23,4.09,3.42,0.14,3.6980244E7,8799943
2025/12/11,4.1,4.14,4.05,4.09,4.1,-0.24,-0.01,7967295.5,1950690
2025/12/10,4.06,4.12,4.06,4.1,4.06,1.23,0.05,6710440.5,1637144
2025/12/09,4.12,4.16,4.06,4.06,4.12,-1.46,-0.06,9800645.0,2390816
2025/12/08,4.06,4.16,4.09,4.12,4.06,1.48,0.06,2.7248416E7,6609813
2025/12/07,3.98,4.08,3.98,4.06,3.98,2.01,0.08,1.4753167E7,3656692
2025/12/04,3.99,4.01,3.97,3.98,3.99,-0.25,-0.01,4009869.25,1005470
2025/12/03,3.98,4.06,3.98,3.99,3.98,0.25,0.01,1.0882424E7,2713727
2025/12/02,3.99,4.03,3.95,3.98,3.99,-0.25,-0.01,4646381.5,1165505
2025/12/01,4.0,4.03,3.97,3.99,4.0,-0.25,-0.01,2849405.5,714725
2025/11/30,3.97,4.04,3.97,4.0,3.97,0.76,0.03,2507894.0,626893
2025/11/27,3.97,3.99,3.95,3.97,3.97,0.0,0.0,3242895.0,818865
2025/11/26,3.99,4.02,3.95,3.97,3.99,-0.5,-0.02,4918371.0,1239173
2025/11/25,4.04,4.08,3.94,3.99,4.04,-1.24,-0.05,7362441.0,1834606
2025/11/24,3.99,4.1,3.99,4.04,3.99,1.25,0.05,1.7691334E7,4349762
2025/11/23,3.95,4.02,3.95,3.99,3.95,1.01,0.04,3381646.0,847708
2025/11/20,3.96,3.99,3.94,3.95,3.96,-0.25,-0.01,3819826.75,964842
2025/11/19,3.98,4.01,3.94,3.96,3.98,-0.5,-0.02,5566657.5,1402790
2025/11/18,4.02,4.05,3.98,3.98,4.02,-1.0,-0.04,6777010.5,1687164
2025/11/17,4.0,4.04,4.0,4.02,4.0,0.5,0.02,5135341.5,1277010
2025/11/16,4.07,4.09,4.0,4.0,4.07,-1.72,-0.07,7643872.0,1901623
2025/11/13,4.09,4.11,4.03,4.07,4.09,-0.49,-0.02,6271004.5,1542777
2025/11/12,4.1,4.12,4.05,4.09,4.1,-0.24,-0.01,7703388.0,1885683
2025/11/11,3.98,4.15,3.98,4.1,3.98,3.02,0.12,1.6134127E7,3947633
2025/11/10,3.96,3.99,3.92,3.98,3.96,0.51,0.02,5318673.0,1345697
2025/11/09,4.0,4.03,3.95,3.96,4.0,-1.0,-0.04,6964399.5,1749336
2025/11/06,4.05,4.07,4.0,4.0,4.05,-1.23,-0.05,1.3295511E7,3299066
2025/11/05,4.09,4.12,4.02,4.05,4.09,-0.98,-0.04,9935980.0,2443627
2025/11/04,4.09,4.13,4.08,4.09,4.09,0.0,0.0,1.1229796E7,2738793
2025/11/03,4.1,4.13,4.07,4.09,4.1,-0.24,-0.01,8983902.0,2193866
2025/11/02,4.12,4.22,4.09,4.1,4.12,-0.49,-0.02,2.6211772E7,6314211
