«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,9.92,9.97,9.7,9.7,9.92,-2.22,-0.22,2.4380588E7,2488919
2026/01/12,10.08,10.16,9.88,9.92,10.08,-1.59,-0.16,1.9231428E7,1919665
2026/01/11,10.03,10.24,10.04,10.08,10.03,0.5,0.05,3.6546872E7,3610044
2026/01/08,10.17,10.4,10.0,10.03,10.17,-1.38,-0.14,1.05795944E8,10352149
2026/01/06,9.81,10.21,9.77,10.17,9.81,3.67,0.36,5.4615336E7,5431474
2026/01/05,9.83,9.89,9.6,9.81,9.83,-0.2,-0.02,3.389064E7,3485069
2026/01/04,10.07,10.13,9.8,9.83,10.07,-2.38,-0.24,3.57436E7,3602318
2025/12/31,10.09,10.25,10.06,10.07,10.09,-0.2,-0.02,3.2112844E7,3162099
2025/12/30,10.06,10.23,10.06,10.09,10.06,0.3,0.03,2.8604096E7,2822748
2025/12/29,10.16,10.2,10.0,10.06,10.16,-0.98,-0.1,3.0299644E7,2997820
2025/12/28,10.25,10.35,10.02,10.16,10.25,-0.88,-0.09,6.8606576E7,6717780
2025/12/25,10.2,10.38,10.06,10.25,10.2,0.49,0.05,1.108648E8,10828661
2025/12/24,9.58,10.2,9.61,10.2,9.58,6.47,0.62,1.8047824E8,18096684
2025/12/23,9.65,9.71,9.53,9.58,9.65,-0.73,-0.07,1.9527606E7,2033685
2025/12/22,9.54,9.78,9.54,9.65,9.54,1.15,0.11,5.3619204E7,5545719
2025/12/21,9.51,9.64,9.44,9.54,9.51,0.32,0.03,4.97139E7,5206978
2025/12/18,9.72,9.75,9.49,9.51,9.72,-2.16,-0.21,5.5858536E7,5836460
2025/12/17,9.9,9.92,9.66,9.72,9.9,-1.82,-0.18,4.7016852E7,4817712
2025/12/16,9.5,10.0,9.54,9.9,9.5,4.21,0.4,1.67225312E8,17026045
2025/12/15,9.22,9.5,9.19,9.5,9.22,3.04,0.28,5.0616736E7,5433444
2025/12/14,9.32,9.4,9.18,9.22,9.32,-1.07,-0.1,3.5821056E7,3865987
2025/12/11,9.4,9.47,9.25,9.32,9.4,-0.85,-0.08,2.7945694E7,2989358
2025/12/10,9.44,9.55,9.39,9.4,9.44,-0.42,-0.04,1.8114226E7,1917941
2025/12/09,9.52,9.58,9.42,9.44,9.52,-0.84,-0.08,1.699754E7,1793399
2025/12/08,9.55,9.67,9.5,9.52,9.55,-0.31,-0.03,1.6874202E7,1760403
2025/12/07,9.32,9.64,9.36,9.55,9.32,2.47,0.23,3.727002E7,3916175
2025/12/04,9.25,9.34,9.24,9.32,9.25,0.76,0.07,1.69501E7,1823604
2025/12/03,9.23,9.35,9.2,9.25,9.23,0.22,0.02,1.1150385E7,1203593
2025/12/02,9.34,9.44,9.23,9.23,9.34,-1.18,-0.11,1.2762715E7,1372098
2025/12/01,9.22,9.58,9.25,9.34,9.22,1.3,0.12,3.287149E7,3489160
2025/11/30,9.21,9.36,9.2,9.22,9.21,0.11,0.01,1.3645451E7,1471302
2025/11/27,9.24,9.38,9.19,9.21,9.24,-0.32,-0.03,2.0997944E7,2268249
2025/11/26,9.4,9.59,9.24,9.24,9.4,-1.7,-0.16,3.1683818E7,3362970
2025/11/25,9.64,9.76,9.4,9.4,9.64,-2.49,-0.24,2.3985158E7,2508206
2025/11/24,9.74,9.89,9.6,9.64,9.74,-1.03,-0.1,2.4479724E7,2513341
2025/11/23,9.95,10.0,9.72,9.74,9.95,-2.11,-0.21,2.293223E7,2324012
2025/11/20,9.96,10.07,9.9,9.95,9.96,-0.1,-0.01,2.4584038E7,2469060
2025/11/19,10.15,10.2,9.9,9.96,10.15,-1.87,-0.19,4.7177488E7,4691573
2025/11/18,10.26,10.3,10.15,10.15,10.26,-1.07,-0.11,2.1734246E7,2126890
2025/11/17,10.31,10.44,10.22,10.26,10.31,-0.48,-0.05,3.173669E7,3071998
