«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2023/05/30,5.63,5.78,5.61,5.7,5.63,1.24,0.07,3.588271851E7,6302068
2023/05/29,5.61,5.68,5.59,5.63,5.61,0.36,0.02,2.40651E7,4275203
2023/05/28,5.45,5.7,5.46,5.61,5.45,2.94,0.16,7.0682464E7,12645384
2023/05/25,5.5,5.57,5.43,5.45,5.5,-0.91,-0.05,1.1964202E7,2176903
2023/05/24,5.42,5.57,5.45,5.5,5.42,1.48,0.08,1.7264988E7,3131014
2023/05/23,5.36,5.44,5.34,5.42,5.36,1.12,0.06,1.3038233E7,2416011
2023/05/22,5.35,5.53,5.35,5.36,5.35,0.19,0.01,2.8780306E7,5282386
2023/05/21,5.38,5.44,5.34,5.35,5.38,-0.56,-0.03,1.3080168E7,2428380
2023/05/18,5.32,5.41,5.25,5.38,5.32,1.13,0.06,1.7561688E7,3288269
2023/05/17,5.56,5.63,5.31,5.32,5.56,-4.32,-0.24,5.4708276E7,10004913
2023/05/16,5.72,5.74,5.48,5.56,5.72,-2.8,-0.16,6.7393504E7,12073358
2023/05/15,5.89,5.95,5.72,5.72,5.89,-2.89,-0.17,2.1243886E7,3629102
2023/05/14,5.86,5.92,5.82,5.89,5.86,0.51,0.03,1.585E7,2695688
2023/05/11,5.99,6.08,5.8,5.86,5.99,-2.17,-0.13,4.2543636E7,7202646
2023/05/10,5.85,6.0,5.7,5.99,5.85,2.39,0.14,4.7404624E7,8006955
2023/05/09,5.95,6.14,5.85,5.85,5.95,-1.68,-0.1,5.7569152E7,9512315
2023/05/08,5.77,5.95,5.8,5.95,5.77,3.12,0.18,2.7795348E7,4719452
2023/05/07,5.81,5.86,5.68,5.77,5.81,-0.69,-0.04,2.2318914E7,3868050
2023/05/03,5.84,5.96,5.75,5.81,5.84,-0.51,-0.03,2.8738596E7,4907041
2023/05/02,5.92,5.97,5.8,5.84,5.92,-1.35,-0.08,3.5859632E7,6108518
2023/05/01,6.13,6.2,5.84,5.92,6.13,-3.43,-0.21,7.065506868E7,11710195
2023/04/30,5.98,6.27,5.99,6.13,5.98,2.51,0.15,1.1645537319E8,19032667
2023/04/27,5.79,6.0,5.88,5.98,5.79,3.28,0.19,8.656432E7,14586199
2023/04/26,5.61,5.79,5.5,5.79,5.61,3.21,0.18,9.4761728E7,16620052
2023/04/19,5.35,5.68,5.41,5.61,5.35,4.86,0.26,9.1629984E7,16426361
2023/04/18,5.35,5.42,5.33,5.35,5.35,0.0,0.0,1.6201351E7,3019684
2023/04/13,5.33,5.41,5.31,5.35,5.33,0.38,0.02,1.8252154E7,3405208
2023/04/12,5.36,5.45,5.33,5.33,5.36,-0.56,-0.03,1.9820544E7,3670601
2023/04/11,5.29,5.41,5.31,5.36,5.29,1.32,0.07,2.0618658E7,3841868
2023/04/10,5.2,5.37,5.21,5.29,5.2,1.73,0.09,3.0650842E7,5792549
2023/04/09,5.36,5.4,5.16,5.2,5.36,-2.99,-0.16,2.5502838E7,4855041
2023/04/06,5.45,5.54,5.33,5.36,5.45,-1.65,-0.09,3.5423436E7,6524255
2023/04/05,5.29,5.48,5.32,5.45,5.29,3.02,0.16,6.8296024E7,12630382
2023/04/04,5.25,5.37,5.15,5.29,5.25,0.76,0.04,3.2455442E7,6149240
2023/04/03,4.8,5.34,4.84,5.25,4.8,9.37,0.45,9.483912E7,18499314
2023/04/02,4.72,4.86,4.71,4.8,4.72,1.69,0.08,1.0182413E7,2127715
2023/03/30,4.8,4.89,4.7,4.72,4.8,-1.67,-0.08,1.8965662E7,3979189
2023/03/29,4.69,4.88,4.69,4.8,4.69,2.35,0.11,4.2634496E7,8842203
2023/03/28,4.72,4.77,4.61,4.69,4.72,-0.64,-0.03,1.3318451E7,2834828
2023/03/27,4.94,4.93,4.7,4.72,4.94,-4.45,-0.22,3.6430608E7,7593337
2023/03/26,4.79,4.96,4.8,4.94,4.79,3.13,0.15,1.5893329E7,3244256
2023/03/23,4.7,4.81,4.59,4.79,4.7,1.91,0.09,2.34366E7,5010775
2023/03/22,4.69,4.75,4.5,4.7,4.69,0.21,0.01,3.460315355E7,7515005
2023/03/21,4.47,4.69,4.46,4.69,4.47,4.92,0.22,2.0982064E7,4564904
2023/03/20,4.34,4.58,4.3,4.47,4.34,3.0,0.13,3.1300886E7,7015515
2023/03/19,4.32,4.37,4.15,4.34,4.32,0.46,0.02,1.6491979E7,3849202
2023/03/16,4.13,4.4,4.0,4.32,4.13,4.6,0.19,2.2171924E7,5230010
2023/03/15,4.6,4.8,3.97,4.13,4.6,-10.22,-0.47,3.9526908E7,8794161
2023/03/14,4.53,4.74,4.49,4.6,4.53,1.55,0.07,2.5451154E7,5538545
