«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,800.0,805.0,796.0,797.12,800.0,-0.36,-2.88,1283473.5,1609
2026/01/12,804.93,807.97,797.99,800.0,804.93,-0.61,-4.93,3041937.25,3804
2026/01/11,804.62,814.99,799.0,804.93,804.62,-0.3,-2.41,1193589.75,1481
2026/01/08,796.27,808.0,798.0,804.62,796.27,0.34,2.74,718703.5,895
2026/01/06,796.27,803.99,797.01,796.27,796.27,0.97,7.71,254528.72,318
2026/01/05,800.2,809.97,791.02,796.27,800.2,-0.77,-6.2,625336.06,783
2026/01/04,800.37,814.0,800.0,800.2,800.37,1.01,8.07,739924.75,923
2025/12/31,818.28,821.0,800.0,800.37,818.28,-1.02,-8.31,1469576.75,1827
2025/12/30,808.77,821.99,805.0,818.28,808.77,1.18,9.51,1560819.0,1922
2025/12/29,808.3,835.0,802.0,808.77,808.3,0.06,0.47,687159.31,847
2025/12/28,810.01,844.4,800.0,808.3,810.01,-0.21,-1.71,2408151.0,2936
2025/12/25,796.79,855.0,800.0,810.01,796.79,2.54,20.209999,4624720.0,5616
2025/12/24,796.0,804.5,790.5,796.79,796.0,0.75,6.0,526935.88,662
2025/12/23,800.03,804.99,794.0,796.0,800.03,0.24,1.92,1048372.31,1317
2025/12/22,802.78,806.89,795.06,800.03,802.78,0.15,1.22,666617.13,834
2025/12/21,795.57,809.0,794.01,802.78,795.57,0.31,2.46,639032.31,795
2025/12/18,799.03,805.0,794.0,795.57,799.03,0.12,0.96,1227927.63,1542
2025/12/17,804.49,812.95,790.01,799.03,804.49,0.06,0.51,911864.94,1140
2025/12/16,800.01,813.95,800.01,804.49,800.01,0.37,2.99,1674237.38,2085
2025/12/15,802.33,809.99,800.0,800.01,802.33,-0.29,-2.32,4840213.0,6049
2025/12/14,814.05,812.8,802.1,802.33,814.05,-0.25,-2.06,1239675.25,1542
2025/12/11,814.05,814.0,805.76,814.05,814.05,-1.02,-8.29,247380.45,305
2025/12/10,811.13,817.89,805.2,814.05,811.13,0.45,3.67,1307707.5,1609
2025/12/09,817.86,819.97,809.0,811.13,817.86,-0.29,-2.36,389274.69,479
2025/12/08,815.33,820.0,811.08,817.86,815.33,0.31,2.53,8476676.0,10360
2025/12/07,812.96,820.0,803.0,815.33,812.96,0.37,3.04,3718168.0,4561
2025/12/04,806.31,825.9,806.52,812.96,806.31,1.08,8.68,863437.88,1058
2025/12/03,811.51,829.0,803.01,806.31,811.51,-1.05,-8.5,690416.5,851
2025/12/02,811.09,846.99,807.01,811.51,811.09,0.05,0.42,2319175.75,2825
2025/12/01,815.79,826.98,806.0,811.09,815.79,-0.58,-4.7,514320.06,632
2025/11/30,792.73,830.0,794.22,815.79,792.73,2.93,23.25,2049419.13,2503
2025/11/27,797.5,806.9,782.01,792.73,797.5,0.55,4.4,342768.66,432
2025/11/26,805.37,811.84,782.0,797.5,805.37,-0.93,-7.47,742641.13,934
2025/11/25,805.88,814.89,799.0,805.37,805.88,-0.85,-6.88,999979.31,1240
2025/11/24,807.51,818.75,796.01,805.88,807.51,-0.08,-0.63,991333.38,1226
2025/11/23,803.67,814.99,794.01,807.51,803.67,0.48,3.83,1446539.75,1799
2025/11/20,791.77,809.99,790.05,803.67,791.77,1.04,8.24,1318520.13,1654
2025/11/19,798.02,803.69,790.06,791.77,798.02,-0.75,-6.02,1325550.38,1671
