«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.24,1.21,1.18,1.24,1.24,-4.839,-0.06,80071.023,67314
2026/01/12,1.24,1.27,1.21,1.24,1.24,-2.419,-0.03,152345.906,123163
2026/01/11,1.24,1.28,1.2,1.24,1.24,-0.806,-0.01,107354.75,85492
2026/01/08,1.19,1.24,1.21,1.24,1.19,4.202,0.05,207796.156,167896
2026/01/06,1.14,1.19,1.14,1.19,1.14,4.386,0.05,522154.969,440065
2026/01/05,1.14,1.15,1.12,1.14,1.14,-0.877,-0.01,58968.852,52160
2026/01/04,1.14,1.15,1.12,1.14,1.14,0.877,0.01,126006.742,111004
2025/12/31,1.14,1.15,1.12,1.14,1.14,0.877,0.01,51069.191,44736
2025/12/30,1.14,1.15,1.13,1.14,1.14,0.877,0.01,8949.99,7830
2025/12/29,1.14,1.15,1.12,1.14,1.14,0.877,0.01,139008.359,121848
2025/12/28,1.14,1.14,1.12,1.14,1.14,-1.754,-0.02,31459.789,27828
2025/12/25,1.14,1.14,1.12,1.14,1.14,0.0,0.0,94331.977,83554
2025/12/24,1.14,1.14,1.13,1.14,1.14,0.0,0.0,44273.26,39077
2025/12/23,1.14,1.14,1.11,1.14,1.14,0.0,0.0,66405.53,58733
2025/12/22,1.14,1.14,1.12,1.14,1.14,0.0,0.0,57206.88,50290
2025/12/21,1.14,1.14,1.12,1.14,1.14,-1.75,-0.02,76222.3,67877
2025/12/18,1.14,1.14,1.12,1.14,1.14,0.0,0.0,35295.15,31208
2025/12/17,1.14,1.14,1.11,1.14,1.14,0.0,0.0,83845.77,74694
2025/12/16,1.14,1.14,1.12,1.14,1.14,0.0,0.0,108229.94,95466
2025/12/15,1.14,1.14,1.12,1.14,1.14,-1.75,-0.02,59409.26,52348
