«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.197,0.194,0.178,0.185,0.197,-6.091,-0.012,3562880.75,19317804
2026/01/12,0.194,0.207,0.189,0.197,0.194,1.546,0.003,2305018.5,11558007
2026/01/11,0.177,0.194,0.175,0.194,0.177,9.605,0.017,7018777.0,36891503
2026/01/08,0.172,0.178,0.17,0.177,0.172,2.907,0.005,791984.5,4551832
2026/01/06,0.173,0.175,0.17,0.172,0.173,-0.578,-0.001,848782.063,4962126
2026/01/05,0.176,0.179,0.172,0.173,0.176,-1.705,-0.003,866202.125,4997189
2026/01/04,0.177,0.182,0.174,0.176,0.177,-1.13,-0.002,327190.531,1855322
2025/12/31,0.183,0.187,0.172,0.177,0.183,-3.279,-0.006,899138.813,4958857
2025/12/30,0.178,0.185,0.178,0.183,0.178,3.371,0.006,1409009.875,7761284
2025/12/29,0.172,0.18,0.173,0.178,0.172,4.07,0.007,886615.75,5004008
2025/12/28,0.172,0.175,0.171,0.172,0.172,1.163,0.002,265611.906,1538709
2025/12/25,0.171,0.174,0.171,0.172,0.171,0.585,0.001,205186.109,1190922
2025/12/24,0.172,0.174,0.17,0.171,0.172,-0.581,-0.001,281478.906,1641011
2025/12/23,0.174,0.175,0.17,0.172,0.174,-0.575,-0.001,988709.688,5724813
2025/12/22,0.173,0.176,0.173,0.174,0.173,0.578,0.001,256897.969,1476722
2025/12/21,0.175,0.176,0.173,0.173,0.175,-1.143,-0.002,538715.813,3099159
2025/12/18,0.175,0.176,0.173,0.175,0.175,0.0,0.0,440552.0,2524507
2025/12/17,0.174,0.176,0.173,0.175,0.174,0.575,0.001,266884.844,1529241
2025/12/16,0.174,0.175,0.173,0.174,0.174,0.0,0.0,320483.688,1839840
2025/12/15,0.175,0.177,0.173,0.174,0.175,-0.571,-0.001,395735.531,2270875
2025/12/14,0.175,0.178,0.173,0.175,0.175,0.0,0.0,505333.031,2897648
2025/12/11,0.178,0.179,0.174,0.175,0.178,-0.562,-0.001,722691.188,4123658
2025/12/10,0.178,0.18,0.175,0.178,0.178,0.562,0.001,592732.25,3320219
2025/12/09,0.178,0.179,0.172,0.178,0.178,-0.562,-0.001,588186.938,3346613
2025/12/08,0.172,0.18,0.173,0.178,0.172,1.744,0.003,568594.813,3199294
2025/12/07,0.172,0.179,0.17,0.172,0.172,2.326,0.004,1031223.0,5960570
2025/12/04,0.177,0.181,0.17,0.172,0.177,-2.825,-0.005,2109398.5,12193447
2025/12/03,0.176,0.188,0.173,0.177,0.176,2.841,0.005,1010602.938,5636650
2025/12/02,0.179,0.182,0.171,0.176,0.179,-1.676,-0.003,815753.875,4659596
2025/12/01,0.183,0.185,0.177,0.179,0.183,-1.093,-0.002,728843.375,4042851
2025/11/30,0.171,0.185,0.175,0.183,0.171,7.018,0.012,1571520.0,8564529
2025/11/27,0.173,0.19,0.17,0.171,0.173,3.468,0.006,3059681.0,17302745
2025/11/26,0.181,0.18,0.172,0.173,0.181,-4.972,-0.009,829942.75,4769743
2025/11/25,0.165,0.181,0.163,0.181,0.165,9.697001,0.016,2983921.75,17025332
2025/11/24,0.165,0.166,0.163,0.165,0.165,-1.212,-0.002,26149.021,159082
2025/11/23,0.165,0.166,0.163,0.165,0.165,0.0,0.0,194930.719,1181938
2025/11/20,0.163,0.165,0.162,0.165,0.163,1.227,0.002,408811.125,2489499
2025/11/19,0.163,0.164,0.162,0.163,0.163,0.0,0.0,72018.047,440363
2025/11/18,0.164,0.165,0.162,0.163,0.164,-0.61,-0.001,169370.0,1039925
