«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,36.99,37.4,36.31,36.65,36.99,-1.84,-0.68,3447025.25,93420
2026/01/12,37.0,37.4,36.6,36.99,37.0,-0.14,-0.05,7005146.0,189954
2026/01/11,36.52,37.2,36.35,37.0,36.52,1.31,0.48,6239697.5,168942
2026/01/08,36.42,36.65,36.11,36.52,36.42,0.27,0.1,779599.56,21391
2026/01/06,36.28,36.69,36.0,36.42,36.28,0.39,0.14,531004.13,14624
2026/01/05,36.48,36.5,35.7,36.28,36.48,-0.55,-0.2,2802307.75,77541
2026/01/04,37.0,37.37,35.83,36.48,37.0,-1.35,-0.5,2649123.25,73100
2025/12/31,36.6,38.0,35.99,37.0,36.6,1.09,0.4,2.462938E7,667952
2025/12/30,36.91,36.91,36.54,36.6,36.91,-0.84,-0.31,3969359.5,108320
2025/12/29,36.65,36.97,36.5,36.91,36.65,0.71,0.26,3095106.75,84321
2025/12/28,36.57,37.0,36.41,36.65,36.57,0.22,0.08,2339947.5,63740
2025/12/25,36.98,37.0,36.31,36.57,36.98,-1.11,-0.41,1415937.13,38687
2025/12/24,36.99,36.98,36.0,36.98,36.99,-0.03,-0.01,2025639.63,55162
2025/12/23,36.77,37.0,35.0,36.99,36.77,0.57,0.21,8351908.5,228696
2025/12/22,37.09,37.49,36.6,36.77,37.09,-0.38,-0.14,2074679.63,56084
2025/12/21,36.96,37.37,36.56,37.09,36.96,0.89,0.33,2973503.5,80530
2025/12/18,37.6,37.59,36.81,36.96,37.6,-1.7,-0.64,1633056.75,44154
2025/12/17,37.43,37.9,36.65,37.6,37.43,0.45,0.17,3628240.5,97222
2025/12/16,38.0,38.0,37.12,37.43,38.0,-1.5,-0.57,9729991.0,258752
2025/12/15,37.5,38.5,37.03,38.0,37.5,0.45,0.17,1.2654521E7,332222
2025/12/14,37.89,38.0,36.45,37.5,37.89,-1.03,-0.39,5453408.5,146708
2025/12/11,37.45,37.9,37.35,37.89,37.45,1.2,0.45,1641436.88,43519
2025/12/10,37.5,38.35,37.35,37.45,37.5,-0.13,-0.05,1242901.63,33169
2025/12/09,38.08,38.02,37.5,37.5,38.08,-1.52,-0.58,2734483.5,72547
2025/12/08,38.79,40.0,37.65,38.08,38.79,-1.78,-0.69,4498242.5,116456
2025/12/07,37.2,38.95,36.51,38.79,37.2,1.75,0.65,4825581.0,127874
2025/12/04,36.87,37.4,36.07,37.2,36.87,0.9,0.33,8009256.0,217978
