«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,61.75,62.5,61.5,61.54,61.75,-0.34,-0.21,1616163.13,26099
2026/01/12,62.93,63.2,61.04,61.75,62.93,-1.88,-1.18,2821033.0,45439
2026/01/11,62.37,63.64,62.22,62.93,62.37,0.51,0.32,2088148.25,33049
2026/01/08,62.23,63.7,62.0,62.37,62.23,-0.19,-0.12,1706593.0,27135
2026/01/06,61.54,62.5,61.52,62.23,61.54,1.54,0.95,1652878.88,26627
2026/01/05,62.09,63.19,61.0,61.54,62.09,-0.89,-0.55,1677410.75,26880
2026/01/04,63.65,64.5,61.8,62.09,63.65,-2.25,-1.43,3370033.75,53660
2025/12/31,64.77,65.4,63.56,63.65,64.77,-1.73,-1.12,3246045.75,50630
2025/12/30,64.02,66.85,64.55,64.77,64.02,1.17,0.75,1.2153242E7,185032
2025/12/29,63.0,64.79,62.81,64.02,63.0,1.62,1.02,6557880.0,102712
2025/12/28,63.3,64.5,62.97,63.0,63.3,-0.47,-0.3,3211780.25,50540
2025/12/25,61.83,65.98,61.5,63.3,61.83,2.38,1.47,1.1452866E7,179021
2025/12/24,61.25,62.5,61.16,61.83,61.25,0.95,0.58,1181098.13,19099
2025/12/23,62.35,63.3,56.57,61.25,62.35,-1.76,-1.1,4201411.5,68792
2025/12/22,61.07,62.5,61.27,62.35,61.07,2.1,1.28,2995536.25,48214
2025/12/21,62.53,63.0,61.0,61.07,62.53,-2.33,-1.46,3120285.25,50525
2025/12/18,63.17,63.15,62.31,62.53,63.17,-1.01,-0.64,1346178.0,21514
2025/12/17,63.3,63.7,62.7,63.17,63.3,0.0,0.0,1140487.88,18054
2025/12/16,64.01,64.3,63.0,63.3,64.01,-1.58,-1.01,1280124.63,20090
2025/12/15,64.45,65.44,63.51,64.01,64.45,-0.68,-0.44,5679078.0,87949
2025/12/14,64.77,65.5,64.11,64.45,64.77,-0.49,-0.32,1956497.13,30105
2025/12/11,64.29,65.5,64.5,64.77,64.29,0.75,0.48,5403982.5,83138
2025/12/10,62.89,64.43,62.33,64.29,62.89,2.39,1.5,4554866.0,71448
