«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,3.77,3.78,3.71,3.71,3.77,-1.59,-0.06,1.0760982E7,2876617
2026/01/12,3.78,3.8,3.77,3.77,3.78,-0.26,-0.01,7206189.0,1905093
2026/01/11,3.8,3.84,3.77,3.78,3.8,-0.26,-0.01,8918333.0,2351933
2026/01/08,3.8,3.84,3.8,3.8,3.8,0.0,0.0,4382331.0,1149183
2026/01/06,3.79,3.83,3.76,3.8,3.79,0.26,0.01,4231365.0,1116238
2026/01/05,3.81,3.85,3.78,3.79,3.81,-0.52,-0.02,8633298.0,2272041
2026/01/04,3.84,3.9,3.81,3.81,3.84,-0.78,-0.03,1.1934558E7,3104263
2025/12/31,3.82,3.86,3.82,3.84,3.82,0.52,0.02,7379367.0,1919299
2025/12/30,3.83,3.86,3.82,3.82,3.83,0.26,0.01,5659626.0,1474252
2025/12/29,3.82,3.85,3.81,3.83,3.82,0.26,0.01,5852918.0,1530569
2025/12/28,3.84,3.88,3.82,3.82,3.84,-0.52,-0.02,8808517.0,2294334
2025/12/25,3.85,3.9,3.83,3.84,3.85,-0.26,-0.01,9366164.0,2433225
2025/12/24,3.87,3.89,3.85,3.85,3.87,0.0,0.0,6179531.5,1598845
2025/12/23,3.86,3.91,3.85,3.87,3.86,0.26,0.01,5590493.5,1445117
2025/12/22,3.88,3.91,3.86,3.86,3.88,-0.26,-0.01,8433545.0,2171647
2025/12/21,3.88,3.92,3.86,3.88,3.88,0.0,0.0,4674372.0,1202028
2025/12/18,3.88,3.91,3.88,3.88,3.88,0.0,0.0,3946564.25,1014759
2025/12/17,3.94,3.95,3.88,3.88,3.94,-1.52,-0.06,4092429.75,1048443
2025/12/16,3.9,3.94,3.88,3.94,3.9,1.03,0.04,4985711.5,1277063
2025/12/15,3.9,3.94,3.87,3.9,3.9,0.0,0.0,1.1752411E7,3015085
2025/12/14,3.94,3.97,3.9,3.9,3.94,-1.02,-0.04,9442937.0,2407173
2025/12/11,4.0,4.04,3.94,3.94,4.0,-1.5,-0.06,1.6859118E7,4244603
2025/12/10,3.84,4.04,3.82,4.0,3.84,4.17,0.16,4.7414652E7,12029530
2025/12/09,3.79,3.84,3.79,3.84,3.79,1.32,0.05,1.1894069E7,3115340
2025/12/08,3.8,3.84,3.78,3.79,3.8,-0.26,-0.01,1.4475736E7,3811418
2025/12/07,3.82,3.87,3.79,3.8,3.82,-0.52,-0.02,2.1154532E7,5525375
2025/12/04,3.78,3.83,3.78,3.82,3.78,1.06,0.04,3.1057184E7,8169797
2025/12/03,3.81,3.86,3.78,3.78,3.81,-0.79,-0.03,2.1679196E7,5705658
2025/12/02,3.84,3.87,3.81,3.81,3.84,-0.78,-0.03,7232529.0,1887707
2025/12/01,3.81,3.86,3.81,3.84,3.81,0.26,0.01,3304150.25,863222
2025/11/30,3.85,3.88,3.8,3.81,3.85,-0.78,-0.03,5612915.5,1461747
2025/11/27,3.8,3.85,3.79,3.85,3.8,1.32,0.05,9003162.0,2355758
2025/11/26,3.82,3.84,3.8,3.8,3.82,-0.52,-0.02,2884989.25,756642
2025/11/25,3.82,3.86,3.81,3.82,3.82,-0.26,-0.01,4451608.0,1160465
2025/11/24,3.83,3.87,3.79,3.82,3.83,-0.26,-0.01,8943577.0,2343849
2025/11/23,3.84,3.86,3.82,3.83,3.84,-0.26,-0.01,5232098.0,1363910
2025/11/20,3.81,3.85,3.81,3.84,3.81,0.52,0.02,2899532.0,757090
2025/11/19,3.84,3.85,3.81,3.81,3.84,-0.26,-0.01,3850280.0,1007885
2025/11/18,3.84,3.85,3.82,3.84,3.84,0.0,0.0,3608089.5,940817
2025/11/17,3.85,3.86,3.82,3.84,3.85,-0.26,-0.01,4095310.5,1066086
2025/11/16,3.82,3.86,3.8,3.85,3.82,0.79,0.03,4960633.5,1295452
2025/11/13,3.84,3.87,3.82,3.82,3.84,-0.52,-0.02,6899955.0,1794556
2025/11/12,3.8,3.85,3.8,3.84,3.8,1.05,0.04,2332186.25,608620
2025/11/11,3.85,3.88,3.8,3.8,3.85,-1.3,-0.05,9372327.0,2440207
2025/11/10,3.8,3.86,3.71,3.85,3.8,1.32,0.05,2.7991784E7,7404668
2025/11/09,3.9,3.93,3.79,3.8,3.9,-2.56,-0.1,2.8774312E7,7500639
2025/11/06,3.96,3.97,3.89,3.9,3.96,-1.52,-0.06,1.494955E7,3818088
2025/11/05,3.94,3.99,3.94,3.96,3.94,0.25,0.01,5606427.0,1416492
2025/11/04,4.02,4.09,3.94,3.94,4.02,-1.99,-0.08,1.6231563E7,4051132
2025/11/03,3.99,4.11,3.97,4.02,3.99,0.75,0.03,4.6290308E7,11508242
2025/11/02,3.94,3.99,3.93,3.99,3.94,1.27,0.05,8826430.0,2224585
2025/10/30,3.92,3.96,3.91,3.94,3.92,0.51,0.02,4278326.0,1085620
2025/10/29,3.91,3.95,3.91,3.92,3.91,0.26,0.01,2817936.25,719309
2025/10/28,3.92,3.96,3.9,3.91,3.92,-0.26,-0.01,3014015.25,768302
2025/10/27,3.93,3.97,3.91,3.92,3.93,0.0,0.0,4366536.0,1110891
2025/10/26,3.95,4.0,3.93,3.93,3.95,-0.51,-0.02,3841634.5,973532
2025/10/23,3.99,4.03,3.93,3.95,3.99,-1.0,-0.04,5456596.0,1379999
2025/10/22,3.97,4.06,3.95,3.99,3.97,0.5,0.02,3641080.0,908257
2025/10/21,4.02,4.08,3.97,3.97,4.02,-1.24,-0.05,4687019.5,1168750
2025/10/20,3.9,4.26,3.9,4.02,3.9,3.08,0.12,1.5482823E7,3902178
2025/10/19,3.87,3.94,3.86,3.9,3.87,0.78,0.03,6357342.0,1625679
2025/10/16,3.83,3.9,3.83,3.87,3.83,1.04,0.04,3948226.75,1017535
2025/10/15,3.86,3.87,3.8,3.83,3.86,-0.78,-0.03,7398862.0,1932340
2025/10/14,3.85,3.89,3.84,3.86,3.85,0.26,0.01,6526181.5,1688386
2025/10/13,3.87,3.93,3.84,3.85,3.87,-0.52,-0.02,7600999.5,1965508
2025/10/12,3.94,3.96,3.86,3.87,3.94,-1.78,-0.07,1.0404587E7,2676694
2025/10/08,3.97,3.99,3.93,3.94,3.97,-0.76,-0.03,6866476.0,1733808
2025/10/07,3.95,3.99,3.9,3.97,3.95,0.51,0.02,8075366.5,2047232
2025/10/06,3.89,4.01,3.88,3.95,3.89,1.54,0.06,2.2621686E7,5732388
2025/10/05,3.89,4.0,3.87,3.89,3.89,0.0,0.0,1.0105981E7,2589973
2025/10/02,3.76,4.01,3.75,3.89,3.76,3.46,0.13,3.9817992E7,10228257
2025/10/01,3.78,3.87,3.73,3.76,3.78,-0.53,-0.02,8117139.5,2147511
2025/09/30,3.83,3.9,3.76,3.78,3.83,-1.31,-0.05,6520504.5,1711865
2025/09/29,3.72,3.99,3.7,3.83,3.72,2.96,0.11,3.800998E7,9903951
2025/09/28,3.79,3.82,3.72,3.72,3.79,-1.85,-0.07,1.1779011E7,3139998
2025/09/25,3.71,3.87,3.7,3.79,3.71,2.16,0.08,1.2021121E7,3180362
2025/09/24,3.69,3.73,3.69,3.71,3.69,0.54,0.02,1.0900885E7,2939064
2025/09/23,3.68,3.72,3.67,3.69,3.68,0.27,0.01,6168352.5,1671644
2025/09/22,3.71,3.74,3.67,3.68,3.71,-0.81,-0.03,2948470.25,799023
2025/09/21,3.67,3.8,3.66,3.71,3.67,1.09,0.04,9075010.0,2435070
2025/09/18,3.67,3.73,3.66,3.67,3.67,0.0,0.0,5807270.5,1573565
2025/09/17,3.66,3.71,3.63,3.67,3.66,0.27,0.01,5035346.0,1372135
2025/09/16,3.78,3.8,3.64,3.66,3.78,-3.17,-0.12,8789708.0,2366384
2025/09/15,3.8,3.83,3.77,3.78,3.8,-0.53,-0.02,8987510.0,2362999
2025/09/14,3.85,3.88,3.8,3.8,3.85,-1.3,-0.05,1.2112361E7,3155678
2025/09/11,3.85,3.98,3.83,3.85,3.85,0.0,0.0,2.8874972E7,7478511
2025/09/10,3.86,3.93,3.82,3.85,3.86,-0.26,-0.01,7252410.5,1874264
2025/09/09,3.96,4.0,3.76,3.86,3.96,-2.53,-0.1,5.9171748E7,15396024
2025/09/08,4.2,4.22,3.92,3.96,4.2,-5.71,-0.24,6.1531416E7,15222234
2025/09/07,4.23,4.37,4.17,4.2,4.23,-0.71,-0.03,1.3242541E7,3138918
2025/09/03,4.3,4.35,4.23,4.23,4.3,-1.63,-0.07,1.43184E7,3345802
2025/09/02,4.34,4.38,4.3,4.3,4.34,-0.92,-0.04,1.1711019E7,2701668
2025/09/01,4.39,4.42,4.32,4.34,4.39,-1.14,-0.05,1.3062221E7,2994556
2025/08/31,4.53,4.54,4.39,4.39,4.53,-3.09,-0.14,3.4010292E7,7680800
2025/08/28,4.41,4.53,4.4,4.53,4.41,2.72,0.12,6742920.5,1505148
2025/08/27,4.39,4.42,4.37,4.41,4.39,0.46,0.02,8892697.0,2026834
2025/08/26,4.41,4.44,4.38,4.39,4.41,-0.68,-0.03,2796190.25,634859
2025/08/25,4.46,4.5,4.41,4.41,4.46,-1.12,-0.05,3106721.25,700399
2025/08/24,4.5,4.54,4.44,4.46,4.5,-0.89,-0.04,3784945.5,847534
2025/08/21,4.38,4.55,4.36,4.5,4.38,2.74,0.12,1.1520333E7,2586860
2025/08/20,4.37,4.44,4.36,4.38,4.37,0.23,0.01,5071061.5,1152943
2025/08/19,4.36,4.42,4.35,4.37,4.36,0.23,0.01,7336230.5,1674317
2025/08/18,4.4,4.42,4.36,4.36,4.4,-0.91,-0.04,5921049.5,1348878
2025/08/17,4.33,4.41,4.34,4.4,4.33,1.62,0.07,1.0235009E7,2335906
2025/08/14,4.32,4.4,4.33,4.33,4.32,0.23,0.01,4059753.75,933356
2025/08/13,4.39,4.42,4.32,4.32,4.39,-1.59,-0.07,1.3070757E7,2992016
2025/08/12,4.4,4.47,4.39,4.39,4.4,-0.23,-0.01,1.007776E7,2283615
2025/08/11,4.48,4.53,4.39,4.4,4.48,-1.79,-0.08,1.9201188E7,4328330
2025/08/10,4.49,4.53,4.48,4.48,4.49,-0.22,-0.01,4297769.0,955792
2025/08/07,4.55,4.6,4.42,4.49,4.55,-1.32,-0.06,1.0347872E7,2296429
2025/08/06,4.6,4.64,4.53,4.55,4.6,-1.09,-0.05,3835865.25,839125
2025/08/05,4.48,4.63,4.48,4.6,4.48,2.68,0.12,1.7881754E7,3907850
2025/08/04,4.47,4.5,4.4,4.48,4.47,0.22,0.01,1.8877456E7,4239371
2025/08/03,4.4,4.53,4.4,4.47,4.4,1.59,0.07,1.4739196E7,3310219
2025/07/31,4.34,4.47,4.25,4.4,4.34,1.38,0.06,2.202766E7,5016734
2025/07/30,4.67,4.72,4.31,4.34,4.67,0.0,-0.33,3.9599392E7,8735134
2025/07/29,4.72,4.78,4.67,4.67,4.72,-1.06,-0.05,2.010054E7,4257476
2025/07/28,4.9,4.91,4.7,4.72,4.9,-3.67,-0.18,2.647067E7,5527545
2025/07/27,5.0,5.0,4.89,4.9,5.0,-2.0,-0.1,2.0869432E7,4250349
2025/07/23,4.97,5.01,4.74,5.0,4.97,0.6,0.03,1.10196352E8,22539163
2025/07/22,4.96,5.15,4.97,4.97,4.96,0.2,0.01,3.42479328E8,67924923
