«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,3.21,3.3,3.18,3.2,3.21,-0.31,-0.01,1.8356928E8,56497465
2026/01/12,3.2,3.26,3.19,3.21,3.2,0.31,0.01,1.94352544E8,60381180
2026/01/11,3.14,3.23,3.16,3.2,3.14,1.91,0.06,1.23770104E8,38746544
2026/01/08,3.26,3.26,3.12,3.14,3.26,-3.68,-0.12,1.58708416E8,49720166
2026/01/06,3.21,3.28,3.22,3.26,3.21,1.56,0.05,1.02756856E8,31674032
2026/01/05,3.39,3.4,3.2,3.21,3.39,-5.31,-0.18,1.97124448E8,59954268
2026/01/04,3.42,3.46,3.37,3.39,3.42,-0.88,-0.03,1.17974056E8,34542204
2025/12/31,3.53,3.61,3.42,3.42,3.53,-3.12,-0.11,4.26312576E8,121391401
2025/12/30,3.45,3.6,3.45,3.53,3.45,2.32,0.08,3.77913632E8,106665045
2025/12/29,3.47,3.51,3.44,3.45,3.47,-0.58,-0.02,1.67079136E8,48202693
2025/12/28,3.52,3.54,3.45,3.47,3.52,-1.42,-0.05,9.7088448E7,27831178
2025/12/25,3.51,3.56,3.49,3.52,3.51,0.28,0.01,1.52908704E8,43467240
2025/12/24,3.48,3.56,3.47,3.51,3.48,0.86,0.03,1.90762576E8,54192182
2025/12/23,3.46,3.5,3.37,3.48,3.46,0.58,0.02,1.70794512E8,49655509
2025/12/22,3.46,3.55,3.43,3.46,3.46,0.0,0.0,1.4577152E8,41539357
2025/12/21,3.55,3.58,3.45,3.46,3.55,-2.54,-0.09,1.78759184E8,51130112
2025/12/18,3.58,3.66,3.52,3.55,3.58,-0.84,-0.03,2.71747712E8,75339029
2025/12/17,3.46,3.6,3.45,3.58,3.46,3.47,0.12,3.15420032E8,89252069
2025/12/16,3.55,3.58,3.44,3.46,3.55,-2.54,-0.09,1.48817808E8,42544012
2025/12/15,3.6,3.6,3.52,3.55,3.6,-1.39,-0.05,1.73791856E8,49031158
2025/12/14,3.48,3.61,3.49,3.6,3.48,3.45,0.12,3.78633952E8,105968554
2025/12/11,3.49,3.55,3.48,3.48,3.49,-0.29,-0.01,2.10772032E8,59992378
2025/12/10,3.52,3.56,3.47,3.49,3.52,-0.85,-0.03,1.48155504E8,42087033
2025/12/09,3.38,3.52,3.37,3.52,3.38,4.14,0.14,3.72876256E8,107402605
2025/12/08,3.42,3.46,3.37,3.38,3.42,-1.17,-0.04,4.49502048E8,131675438
2025/12/07,3.2,3.43,3.23,3.42,3.2,6.88,0.22,6.31453696E8,187072639
2025/12/04,3.21,3.27,3.2,3.2,3.21,-0.31,-0.01,2.41203872E8,74482703
2025/12/03,3.26,3.28,3.2,3.21,3.26,-1.53,-0.05,2.47395648E8,76346090
2025/12/02,3.27,3.35,3.26,3.26,3.27,-0.31,-0.01,3.98133056E8,120341299
2025/12/01,3.18,3.27,3.15,3.27,3.18,2.83,0.09,7.04323648E8,218988846
2025/11/30,3.04,3.19,3.07,3.18,3.04,4.61,0.14,6.32180416E8,202112006
2025/11/27,2.92,3.09,2.92,3.04,2.92,4.11,0.12,3.95043936E8,131477594
2025/11/26,2.91,3.01,2.9,2.92,2.91,0.34,0.01,1.53627232E8,51791633
2025/11/25,2.92,3.0,2.89,2.91,2.92,-0.34,-0.01,1.4197168E8,48296806
2025/11/24,2.9,3.0,2.85,2.92,2.9,0.69,0.02,5.558104E7,18994240
2025/11/23,2.9,2.96,2.87,2.9,2.9,0.0,0.0,1.119826E8,38328288
2025/11/20,2.97,3.01,2.9,2.9,2.97,-2.36,-0.07,8.477192E7,28642586
2025/11/19,2.86,2.98,2.84,2.97,2.86,3.85,0.11,8.9383832E7,30718547
2025/11/18,2.9,2.91,2.84,2.86,2.9,-1.38,-0.04,6.0544E7,21055073
