«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,42.2,42.98,40.8,41.0,42.2,-2.84,-1.2,1930879.5,46402
2026/01/12,42.14,43.8,41.17,42.2,42.14,0.14,0.06,1.0542248E7,247604
2026/01/11,38.48,44.0,38.35,42.14,38.48,9.51,3.66,1.6880278E7,409887
2026/01/08,37.15,38.65,37.15,38.48,37.15,3.58,1.33,2029776.13,53295
2026/01/06,37.34,37.79,36.1,37.15,37.34,0.59,0.22,1113776.5,29986
2026/01/05,37.6,38.99,37.11,37.34,37.6,-0.27,-0.1,2128528.0,56486
2026/01/04,37.58,38.34,37.2,37.6,37.58,0.56,0.21,549615.13,14558
2025/12/31,38.67,39.3,37.51,37.58,38.67,-0.31,-0.12,1914542.5,49801
2025/12/30,38.7,39.67,38.33,38.67,38.7,-0.08,-0.03,666213.88,17133
2025/12/29,38.37,39.88,37.72,38.7,38.37,1.38,0.53,1231719.0,31759
2025/12/28,37.42,38.7,37.35,38.37,37.42,1.68,0.63,1687770.25,44248
2025/12/25,38.02,38.35,37.0,37.42,38.02,-1.63,-0.62,3347124.25,90021
2025/12/24,37.82,38.79,37.9,38.02,37.82,0.53,0.2,2248233.0,58855
2025/12/23,37.29,38.18,37.44,37.82,37.29,1.42,0.53,741672.69,19673
2025/12/22,37.25,38.0,37.25,37.29,37.25,1.61,0.6,820410.75,21931
2025/12/21,37.01,38.19,36.86,37.25,37.01,1.97,0.73,3168570.75,85072
2025/12/18,37.15,37.29,36.8,37.01,37.15,-0.38,-0.14,876427.88,23672
2025/12/17,37.15,37.29,36.7,37.15,37.15,-1.21,-0.45,250142.27,6780
2025/12/16,37.05,37.4,36.92,37.15,37.05,0.27,0.1,1172720.5,31629
2025/12/15,37.4,37.77,37.0,37.05,37.4,-0.64,-0.24,3564255.5,95522
2025/12/14,37.76,38.19,37.35,37.4,37.76,-0.95,-0.36,3154860.5,84161
2025/12/11,37.81,38.34,37.7,37.76,37.81,-0.29,-0.11,985257.75,25954
2025/12/10,38.01,38.63,37.8,37.81,38.01,-0.53,-0.2,2871397.75,75550
2025/12/09,38.0,38.5,37.9,38.01,38.0,0.03,0.01,4355690.5,114412
2025/12/08,38.38,38.89,37.95,38.0,38.38,-0.99,-0.38,1676902.5,43962
2025/12/07,38.78,39.2,38.25,38.38,38.78,-1.32,-0.51,1497012.88,38914
2025/12/04,38.85,39.4,38.73,38.78,38.85,-0.31,-0.12,2055396.0,52862
2025/12/03,38.41,39.5,38.42,38.85,38.41,1.15,0.44,3590277.75,91807
2025/12/02,38.39,38.99,38.23,38.41,38.39,0.05,0.02,6518226.0,167449
2025/12/01,38.25,39.44,38.22,38.39,38.25,0.37,0.14,1786653.75,45911
2025/11/30,37.58,39.2,38.0,38.25,37.58,3.25,1.22,5613706.0,144490
2025/11/27,37.07,38.0,36.8,37.58,37.07,0.35,0.13,617413.5,16473
2025/11/26,37.98,38.0,36.62,37.07,37.98,-2.58,-0.98,6805350.5,184228
2025/11/25,38.5,39.13,37.54,37.98,38.5,-1.3,-0.5,1959158.25,51035
2025/11/24,39.16,39.44,38.25,38.5,39.16,-1.69,-0.66,753992.94,19560
2025/11/23,38.33,40.49,38.4,39.16,38.33,1.3,0.5,2461222.5,63138
2025/11/20,38.51,39.0,38.2,38.33,38.51,-0.47,-0.18,1371521.38,35758
2025/11/19,39.04,40.0,38.41,38.51,39.04,-1.36,-0.53,1638827.75,42299
2025/11/18,40.51,41.0,38.27,39.04,40.51,-3.63,-1.47,3102376.75,78176
2025/11/17,40.57,41.0,40.0,40.51,40.57,-0.15,-0.06,3863191.75,95486
2025/11/16,40.0,42.5,40.0,40.57,40.0,1.42,0.57,1.716035E7,414491
2025/11/13,40.0,41.05,39.39,40.0,40.0,0.0,0.0,4478357.5,112144
2025/11/12,40.05,41.29,39.11,40.0,40.05,-0.12,-0.05,3755027.75,93931
2025/11/11,39.51,41.8,39.51,40.05,39.51,1.37,0.54,1.6920584E7,413968
2025/11/10,41.12,41.88,39.5,39.51,41.12,-3.92,-1.61,6480301.5,160506
2025/11/09,40.05,42.0,40.01,41.12,40.05,2.55,1.02,6804442.0,165220
2025/11/06,39.04,41.99,39.07,40.05,39.04,2.59,1.01,1.8169718E7,444466
2025/11/05,40.0,41.45,38.81,39.04,40.0,-2.4,-0.96,8080974.0,203595
2025/11/04,38.94,42.0,39.0,40.0,38.94,2.72,1.06,1.7189532E7,424797
2025/11/03,38.85,39.9,38.01,38.94,38.85,0.23,0.09,8364923.5,215955
2025/11/02,39.39,42.49,38.11,38.85,39.39,-1.37,-0.54,2.7403902E7,682743
2025/10/30,33.35,39.39,34.0,39.39,33.35,18.110001,6.04,3.6802408E7,982922
2025/10/29,30.78,36.0,30.5,33.35,30.78,8.35,2.57,1.9284264E7,565947
2025/10/28,31.11,31.88,30.2,30.78,31.11,0.55,0.17,1019712.5,32757
2025/10/27,31.61,31.99,30.9,31.11,31.61,-1.58,-0.5,1321932.25,42262
2025/10/26,31.97,32.48,31.31,31.61,31.97,-0.28,-0.09,1169418.25,36733
2025/10/23,31.83,32.85,31.8,31.97,31.83,-0.09,-0.03,1044557.81,32554
2025/10/22,32.32,33.7,31.25,31.83,32.32,-0.99,-0.32,1733539.25,53993
2025/10/21,32.79,34.5,29.3,32.32,32.79,-1.43,-0.47,7433324.5,228931
2025/10/20,31.17,32.98,31.17,32.79,31.17,4.75,1.48,2632048.75,81644
2025/10/19,30.31,31.88,30.12,31.17,30.31,2.84,0.86,934287.13,30103
2025/10/16,29.1,31.48,28.66,30.31,29.1,4.16,1.21,4787721.0,160849
2025/10/15,28.71,29.4,28.1,29.1,28.71,1.36,0.39,2209563.0,76350
2025/10/14,27.28,28.9,27.33,28.71,27.28,5.24,1.43,3228010.75,115601
2025/10/13,26.89,27.49,27.0,27.28,26.89,1.52,0.41,370771.0,13597
2025/10/12,27.38,27.79,26.5,26.89,27.38,-1.39,-0.38,821887.0,30400
2025/10/08,26.61,27.49,26.12,27.38,26.61,3.31,0.88,1709335.5,63492
2025/10/07,26.51,26.7,26.1,26.61,26.51,0.72,0.19,1248015.75,47371
2025/10/06,26.42,26.7,26.01,26.51,26.42,0.34,0.09,1721155.0,65106
2025/10/05,25.97,26.57,25.4,26.42,25.97,2.04,0.53,6602047.5,251335
2025/10/02,25.09,26.0,25.09,25.97,25.09,3.51,0.88,1323445.38,51539
2025/10/01,25.02,26.95,24.5,25.09,25.02,0.04,0.01,2343199.75,91693
2025/09/30,23.61,25.78,23.6,25.02,23.61,5.97,1.41,6309135.0,252816
2025/09/29,23.44,24.1,23.52,23.61,23.44,0.73,0.17,749740.88,31589
2025/09/28,23.44,23.84,23.24,23.44,23.44,1.49,0.35,131708.16,5592
2025/09/25,23.23,23.89,23.21,23.44,23.23,0.9,0.21,2196959.25,93421
2025/09/24,23.2,23.4,23.0,23.23,23.2,0.13,0.03,558622.0,24058
2025/09/23,23.46,23.98,22.42,23.2,23.46,-0.68,-0.16,4674543.5,201478
2025/09/22,23.8,24.0,23.25,23.46,23.8,-1.47,-0.35,575717.63,24438
2025/09/21,23.8,24.0,23.4,23.8,23.8,-1.05,-0.25,33664.82,1413
