«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,3.57,3.59,3.36,3.36,3.57,-5.88,-0.21,2.92966112E8,84988906
2026/01/12,3.61,3.66,3.52,3.57,3.61,-1.11,-0.04,2.40618224E8,66773452
2026/01/11,3.62,3.66,3.59,3.61,3.62,-0.28,-0.01,2.55507152E8,70602149
2026/01/08,3.71,3.73,3.62,3.62,3.71,-2.43,-0.09,2.1257024E8,57829091
2026/01/06,3.62,3.71,3.62,3.71,3.62,2.49,0.09,1.63773136E8,44535843
2026/01/05,3.7,3.72,3.59,3.62,3.7,-2.16,-0.08,3.6516352E8,100514082
2026/01/04,3.76,3.85,3.68,3.7,3.76,-1.6,-0.06,2.88829984E8,76650082
2025/12/31,3.75,3.82,3.76,3.76,3.75,0.27,0.01,3.39120544E8,89475121
2025/12/30,3.74,3.8,3.73,3.75,3.74,0.27,0.01,2.35308032E8,62457766
2025/12/29,3.74,3.82,3.72,3.74,3.74,0.0,0.0,3.51810816E8,93293278
2025/12/28,3.61,3.74,3.58,3.74,3.61,3.6,0.13,3.18997568E8,87301250
2025/12/25,3.69,3.72,3.55,3.61,3.69,-2.17,-0.08,5.2511328E8,145090283
2025/12/24,3.74,3.79,3.68,3.69,3.74,-1.34,-0.05,2.94626304E8,79039639
2025/12/23,3.85,3.86,3.73,3.74,3.85,-2.86,-0.11,3.47068736E8,91691307
2025/12/22,3.87,3.91,3.82,3.85,3.87,-0.52,-0.02,3.33550688E8,86154545
2025/12/21,3.88,3.94,3.84,3.87,3.88,-0.26,-0.01,3.53999008E8,90883781
2025/12/18,3.85,3.91,3.85,3.88,3.85,0.78,0.03,3.60920736E8,92927976
2025/12/17,3.88,3.93,3.84,3.85,3.88,-0.77,-0.03,2.60212912E8,67052813
2025/12/16,3.92,3.98,3.86,3.88,3.92,-1.02,-0.04,4.44688064E8,113237596
2025/12/15,3.87,3.97,3.86,3.92,3.87,1.29,0.05,3.92796416E8,100163972
2025/12/14,3.95,3.96,3.85,3.87,3.95,-2.03,-0.08,4.35837504E8,111648071
2025/12/11,3.98,4.06,3.95,3.95,3.98,-0.75,-0.03,7.26350272E8,181168142
2025/12/10,3.91,4.03,3.95,3.98,3.91,1.79,0.07,7.38993728E8,185162280
2025/12/09,3.8,3.91,3.79,3.91,3.8,2.89,0.11,6.7569952E8,174739376
2025/12/08,3.9,3.94,3.77,3.8,3.9,-2.56,-0.1,4.51197888E8,117594798
2025/12/07,3.93,4.03,3.87,3.9,3.93,-0.76,-0.03,8.62792E8,218893597
2025/12/04,3.85,4.04,3.88,3.93,3.85,2.08,0.08,1.543235456E9,389783079
2025/12/03,3.89,3.97,3.79,3.85,3.89,-1.03,-0.04,9.624048E8,248531923
2025/12/02,4.08,4.27,3.8,3.89,4.08,-4.66,-0.19,2.349508608E9,583234170
2025/12/01,3.69,4.15,3.75,4.08,3.69,10.57,0.39,1.929604352E9,484551494
2025/11/30,3.22,3.69,3.23,3.69,3.22,14.6,0.47,1.529678336E9,433788069
2025/11/27,3.28,3.31,3.19,3.22,3.28,-1.83,-0.06,5.52134016E8,170009840
2025/11/26,3.27,3.44,3.26,3.28,3.27,0.31,0.01,1.053856512E9,315302252
2025/11/25,2.9,3.43,3.03,3.27,2.9,12.76,0.37,1.73513344E9,536032425
