«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.41,1.42,1.35,1.35,1.41,-4.255,-0.06,9737392.0,7046034
2026/01/12,1.42,1.45,1.4,1.41,1.42,-0.704,-0.01,1.5561169E7,10983776
2026/01/11,1.46,1.47,1.41,1.42,1.46,-2.74,-0.04,2.511715E7,17543729
2026/01/08,1.46,1.52,1.45,1.46,1.46,0.0,0.0,2.7579842E7,18602706
2026/01/06,1.5,1.54,1.45,1.46,1.5,-2.667,-0.04,2.844369E7,19002169
2026/01/05,1.72,1.6,1.44,1.5,1.72,-12.791,-0.22,1.51212784E8,99543006
2026/01/04,1.8,1.84,1.69,1.72,1.8,-4.44,-0.08,8433953.0,4771397
2025/12/31,1.93,2.02,1.76,1.8,1.93,-6.74,-0.13,1.536419E7,8181007
2025/12/30,1.98,2.03,1.91,1.93,1.98,-2.53,-0.05,1.0414568E7,5307825
2025/12/29,1.89,2.09,1.86,1.98,1.89,4.76,0.09,4.1898648E7,20900202
2025/12/28,1.89,1.97,1.81,1.89,1.89,0.0,0.0,1.3892466E7,7349502
2025/12/25,1.78,2.05,1.71,1.89,1.78,6.18,0.11,3.4626056E7,18262115
2025/12/24,1.81,1.89,1.75,1.78,1.81,-1.66,-0.03,7178292.5,3926593
2025/12/23,1.86,1.95,1.58,1.81,1.86,-2.69,-0.05,1.5128018E7,8234670
2025/12/22,1.57,1.88,1.53,1.86,1.57,18.469999,0.29,2.5676492E7,14631860
2025/12/21,1.64,1.73,1.55,1.57,1.64,-4.27,-0.07,1.4935626E7,9145220
2025/12/18,1.37,1.64,1.35,1.64,1.37,19.709999,0.27,2.0065956E7,12560834
2025/12/17,1.35,1.38,1.3,1.37,1.35,1.48,0.02,3983637.75,2985686
2025/12/16,1.38,1.39,1.35,1.35,1.38,-2.17,-0.03,1554407.13,1141416
2025/12/15,1.39,1.39,1.37,1.38,1.39,-0.72,-0.01,777783.81,562257
2025/12/14,1.4,1.41,1.39,1.39,1.4,-0.71,-0.01,625874.06,448414
2025/12/11,1.41,1.42,1.38,1.4,1.41,-0.71,-0.01,1851583.13,1324750
2025/12/10,1.4,1.42,1.39,1.41,1.4,0.71,0.01,755140.38,536896
