«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/09/14,0.532,0.542,0.507,0.534,0.532,0.376,0.002,4710276.5,8856919
2025/09/11,0.54,0.546,0.506,0.532,0.54,-1.481,-0.008,4156722.25,7902709
2025/09/10,0.5,0.548,0.49,0.54,0.5,8.0,0.04,3109066.5,5932331
2025/09/09,0.509,0.519,0.485,0.5,0.509,-1.768,-0.009,2857896.5,5719009
2025/09/08,0.522,0.528,0.5,0.509,0.522,-2.49,-0.013,2720668.75,5358750
2025/09/07,0.536,0.535,0.515,0.522,0.536,-2.612,-0.014,1584292.375,3029594
2025/09/03,0.549,0.56,0.522,0.536,0.549,-2.368,-0.013,1583699.75,2918393
2025/09/02,0.5,0.579,0.49,0.549,0.5,9.8,0.049,3717803.75,6953986
2025/09/01,0.491,0.51,0.476,0.5,0.491,1.833,0.009,1521168.125,3027302
2025/08/31,0.454,0.5,0.454,0.491,0.454,8.15,0.037,1984255.5,4159698
2025/08/28,0.463,0.465,0.452,0.454,0.463,-1.728,-0.008,806649.188,1760277
2025/08/27,0.452,0.473,0.447,0.463,0.452,2.434,0.011,1522011.0,3335558
2025/08/26,0.459,0.466,0.45,0.452,0.459,-1.525,-0.007,1184041.125,2586095
2025/08/25,0.479,0.479,0.447,0.459,0.479,-4.175,-0.02,1991673.375,4353121
2025/08/24,0.508,0.509,0.476,0.479,0.508,-5.709,-0.029,2269312.5,4607901
2025/08/21,0.536,0.534,0.502,0.508,0.536,-5.224,-0.028,2179464.25,4268899
2025/08/20,0.509,0.597,0.51,0.536,0.509,5.305,0.027,3067421.0,5512476
2025/08/19,0.769,0.697,0.461,0.509,0.769,-33.68,-0.259,1.1810697E7,20639667
