«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.24,1.26,1.22,1.22,1.24,-1.613,-0.02,5909900.5,4779679
2026/01/12,1.24,1.29,1.23,1.24,1.24,0.0,0.0,3.1261594E7,24636553
2026/01/11,1.21,1.24,1.21,1.24,1.21,2.479,0.03,9143983.0,7461013
2026/01/08,1.24,1.25,1.21,1.21,1.24,-2.419,-0.03,1.3566016E7,11087577
2026/01/06,1.2,1.25,1.21,1.24,1.2,3.333,0.04,1.2288343E7,9964453
2026/01/05,1.25,1.26,1.2,1.2,1.25,-4.0,-0.05,1.9739838E7,16134898
2026/01/04,1.27,1.29,1.24,1.25,1.27,-1.575,-0.02,8243713.0,6533707
2025/12/31,1.31,1.33,1.26,1.27,1.31,-3.053,-0.04,2.2473952E7,17371153
2025/12/30,1.27,1.35,1.3,1.31,1.27,3.15,0.04,4.5860876E7,34746812
2025/12/29,1.23,1.3,1.22,1.27,1.23,3.252,0.04,3.7134676E7,29261560
2025/12/28,1.24,1.25,1.22,1.23,1.24,-0.806,-0.01,7113707.5,5757403
2025/12/25,1.25,1.27,1.23,1.24,1.25,-0.8,-0.01,6418248.5,5152535
2025/12/24,1.23,1.28,1.23,1.25,1.23,1.626,0.02,1.5787427E7,12611404
2025/12/23,1.23,1.25,1.22,1.23,1.23,0.0,0.0,9081912.0,7367861
2025/12/22,1.2,1.27,1.21,1.23,1.2,2.5,0.03,2.4231824E7,19444402
2025/12/21,1.21,1.22,1.19,1.2,1.21,-0.826,-0.01,9242874.0,7661361
2025/12/18,1.21,1.24,1.21,1.21,1.21,0.0,0.0,7751793.5,6362648
2025/12/17,1.23,1.26,1.21,1.21,1.23,0.813,0.01,8786469.0,7064916
2025/12/16,1.28,1.29,1.23,1.23,1.28,-3.906,-0.05,2.4953256E7,19983877
2025/12/15,1.31,1.33,1.27,1.28,1.31,-2.29,-0.03,1.4460588E7,11175987
2025/12/14,1.34,1.36,1.31,1.31,1.34,-2.239,-0.03,1.2730626E7,9584495
2025/12/11,1.35,1.39,1.32,1.34,1.35,-0.741,-0.01,2.9825564E7,21870826
2025/12/10,1.32,1.36,1.29,1.35,1.32,2.273,0.03,4.0006768E7,30185918
2025/12/09,1.2,1.37,1.22,1.32,1.2,10.0,0.12,1.15254576E8,87041756
2025/12/08,1.23,1.23,1.18,1.2,1.23,-2.439,-0.03,2.1999016E7,18283566
2025/12/07,1.09,1.26,1.11,1.23,1.09,12.844,0.14,4.5318176E7,38184030
2025/12/04,1.08,1.11,1.08,1.09,1.08,0.926,0.01,4997176.5,4534146
2025/12/03,1.1,1.12,1.08,1.08,1.1,-1.818,-0.02,3654039.25,3338262
2025/12/02,1.1,1.11,1.09,1.1,1.1,0.0,0.0,2925096.25,2657960
2025/12/01,1.1,1.14,1.1,1.1,1.1,0.0,0.0,9888771.0,8833618
2025/11/30,1.08,1.11,1.08,1.1,1.08,1.852,0.02,4933141.5,4494117
2025/11/27,1.07,1.09,1.05,1.08,1.07,0.935,0.01,3205593.75,2980965
2025/11/26,1.09,1.1,1.07,1.07,1.09,-1.835,-0.02,2567447.0,2368599
2025/11/25,1.12,1.14,1.09,1.09,1.12,-2.679,-0.03,5614772.0,5035260
2025/11/24,1.1,1.16,1.1,1.12,1.1,1.818,0.02,2.1171198E7,18846224
2025/11/23,1.09,1.11,1.09,1.1,1.09,0.917,0.01,1.0701841E7,9723388
2025/11/20,1.09,1.11,1.08,1.09,1.09,0.0,0.0,5485130.0,5020318
2025/11/19,1.08,1.11,1.07,1.09,1.08,0.926,0.01,6515488.5,5970419
2025/11/18,1.1,1.15,1.08,1.08,1.1,-1.818,-0.02,2.2501144E7,20082037
2025/11/17,1.1,1.11,1.07,1.1,1.1,0.0,0.0,9539194.0,8742460
2025/11/16,1.12,1.14,1.1,1.1,1.12,-1.786,-0.02,7007738.0,6291608
2025/11/13,1.14,1.16,1.12,1.12,1.14,-1.754,-0.02,6912205.5,6113882
2025/11/12,1.15,1.16,1.13,1.14,1.15,-0.87,-0.01,7889761.5,6929766
2025/11/11,1.16,1.18,1.14,1.15,1.16,-0.862,-0.01,1.1630897E7,10113200
2025/11/10,1.14,1.17,1.13,1.16,1.14,1.754,0.02,8854274.0,7691246
2025/11/09,1.17,1.18,1.13,1.14,1.17,-2.564,-0.03,1.3575954E7,11832344
2025/11/06,1.17,1.19,1.16,1.17,1.17,0.0,0.0,3663897.0,3122309
2025/11/05,1.19,1.21,1.17,1.17,1.19,-1.681,-0.02,6201912.0,5223708
2025/11/04,1.2,1.21,1.19,1.19,1.2,-0.833,-0.01,9906358.0,8265726
2025/11/03,1.19,1.22,1.18,1.2,1.19,0.84,0.01,5234430.5,4368750
2025/11/02,1.21,1.23,1.19,1.19,1.21,-1.653,-0.02,1.226012E7,10136833
2025/10/30,1.24,1.25,1.21,1.21,1.24,-2.419,-0.03,1.1310516E7,9263247
2025/10/29,1.26,1.27,1.23,1.24,1.26,-1.587,-0.02,9783521.0,7848392
2025/10/28,1.24,1.31,1.25,1.26,1.24,1.613,0.02,4.3185272E7,33897604
2025/10/27,1.23,1.27,1.23,1.24,1.23,0.813,0.01,3.8687088E7,30845104
2025/10/26,1.18,1.24,1.18,1.23,1.18,4.237,0.05,1.6486754E7,13504333
2025/10/23,1.21,1.22,1.17,1.18,1.21,-2.479,-0.03,9490485.0,7902726
2025/10/22,2.7,2.74,2.7,2.71,2.7,0.556,0.01,1.1965837E7,4392498
2025/10/21,2.7,2.71,2.68,2.7,2.7,0.0,0.0,8844001.0,3274337
2025/10/20,2.71,2.73,2.68,2.7,2.71,-0.552,-0.01,5845825.0,2158684
2025/10/19,2.7,2.74,2.71,2.71,2.7,0.556,0.01,4652485.5,1710850
2025/10/16,2.71,2.76,2.68,2.7,2.71,-0.552,-0.01,1.0023532E7,3688856
2025/10/15,2.74,2.77,2.7,2.71,2.74,-1.093,-0.03,2.2019624E7,8089131
2025/10/14,2.68,2.85,2.68,2.74,2.68,2.235,0.06,4.0623116E7,14606813
2025/10/13,2.67,2.71,2.68,2.68,2.67,0.562,0.01,5972890.0,2212661
2025/10/12,2.68,2.71,2.67,2.67,2.68,-0.559,-0.01,4312689.0,1606137
2025/10/08,2.7,2.73,2.67,2.68,2.7,-0.556,-0.02,3616343.5,1338764
2025/10/07,2.68,2.71,2.65,2.7,2.68,0.559,0.02,3590577.75,1335044
2025/10/06,2.73,2.76,2.68,2.68,2.73,-1.648,-0.05,5589890.0,2060653
2025/10/05,2.67,2.79,2.68,2.73,2.67,2.247,0.06,8732236.0,3179524
2025/10/02,2.68,2.71,2.67,2.67,2.68,-0.559,-0.01,3495371.5,1304553
2025/10/01,2.7,2.73,2.68,2.68,2.7,-0.556,-0.02,4043839.0,1495894
2025/09/30,2.73,2.77,2.7,2.7,2.73,-1.099,-0.03,1.2903594E7,4724521
2025/09/29,2.67,2.74,2.67,2.73,2.67,2.247,0.06,8565626.0,3159438
2025/09/28,2.74,2.79,2.67,2.67,2.74,-2.732,-0.07,3.7361088E7,13689152
2025/09/25,2.76,2.79,2.74,2.74,2.76,-0.543,-0.02,1.4467029E7,5242716
2025/09/24,2.79,2.79,2.74,2.76,2.79,-0.538,-0.03,2215848.0,801034
2025/09/23,2.85,2.85,2.76,2.79,2.85,-2.105,-0.06,6286807.5,2238659
2025/09/22,2.85,2.91,2.82,2.85,2.85,0.0,0.0,1.6905218E7,5922797
2025/09/21,2.85,2.92,2.83,2.85,2.85,0.0,0.0,3.9856284E7,13812411
2025/09/18,2.82,2.86,2.77,2.85,2.82,1.064,0.03,2.8864932E7,10194258
2025/09/17,2.77,2.82,2.71,2.82,2.77,1.622,0.05,1.3979229E7,5041645
2025/09/16,2.79,2.79,2.7,2.77,2.79,-0.538,-0.02,2.2359868E7,8142408
2025/09/15,2.85,2.88,2.79,2.79,2.85,-2.105,-0.06,1.5584811E7,5524564
2025/09/14,2.74,2.88,2.77,2.85,2.74,3.825,0.11,3.194236E7,11255803
2025/09/11,2.86,2.89,2.73,2.74,2.86,-4.188,-0.12,1.7151402E7,6110403
2025/09/10,2.8,2.92,2.85,2.86,2.8,2.139,0.06,2.4792338E7,8589159
2025/09/09,2.74,2.85,2.73,2.8,2.74,2.186,0.06,1.7822126E7,6392635
2025/09/08,2.77,2.82,2.73,2.74,2.77,-1.081,-0.03,8755202.0,3160746
2025/09/07,2.76,2.86,2.76,2.77,2.76,0.543,0.01,1.4892196E7,5279696
2025/09/03,2.76,2.8,2.74,2.76,2.76,0.0,0.0,1.4637036E7,5294289
2025/09/02,2.79,2.86,2.76,2.76,2.79,-1.075,-0.03,9596404.0,3438366
2025/09/01,2.85,3.0,2.76,2.79,2.85,-2.105,-0.06,4.3696612E7,15288634
2025/08/31,2.95,2.98,2.8,2.85,2.95,-3.553,-0.1,8.1071376E7,28311566
2025/08/28,2.67,3.0,2.62,2.95,2.67,10.674,0.28,1.30483624E8,46367537
2025/08/27,2.56,2.67,2.52,2.67,2.56,4.094,0.11,3.7256264E7,14340001
2025/08/26,2.4,2.64,2.4,2.56,2.4,6.875,0.16,1.07405104E8,42353494
2025/08/25,2.4,2.44,2.38,2.4,2.4,0.0,0.0,2.1240704E7,8796595
2025/08/24,2.38,2.46,2.38,2.4,2.38,0.629,0.02,1.6701567E7,6911868
2025/08/21,2.34,2.41,2.31,2.38,2.34,1.923,0.04,8728734.0,3681924
2025/08/20,2.37,2.38,2.32,2.34,2.37,-1.266,-0.03,8862900.0,3793230
2025/08/19,2.41,2.43,2.32,2.37,2.41,-1.863,-0.04,1.1952415E7,5048287
2025/08/18,2.34,2.49,2.37,2.41,2.34,3.205,0.07,4.5541956E7,18649385
2025/08/17,2.28,2.35,2.26,2.34,2.28,2.632,0.06,5994719.0,2605591
2025/08/14,2.28,2.34,2.23,2.28,2.28,0.0,0.0,4327353.5,1905361
2025/08/13,2.29,2.35,2.28,2.28,2.29,-0.65,-0.01,1.0474299E7,4529091
2025/08/12,2.28,2.35,2.28,2.29,2.28,0.66,0.01,1.2242851E7,5300829
2025/08/11,2.28,2.34,2.25,2.28,2.28,0.0,0.0,1.5341379E7,6686328
2025/08/10,2.28,2.29,2.16,2.28,2.28,0.0,0.0,3.0688322E7,13678278
2025/08/07,2.26,2.29,2.25,2.28,2.26,0.66,0.02,1.063968E7,4697429
2025/08/06,2.35,2.35,2.25,2.26,2.35,-3.82,-0.09,1.0773606E7,4716959
2025/08/05,2.37,2.4,2.29,2.35,2.37,-0.63,-0.02,2.5541528E7,10966328
2025/08/04,2.32,2.46,2.34,2.37,2.32,1.94,0.05,3.9249944E7,16430689
2025/08/03,2.34,2.4,2.31,2.32,2.34,-0.64,-0.02,3.7814216E7,16085190
2025/07/31,2.19,2.38,2.2,2.34,2.19,6.85,0.15,4.420278E7,19164954
2025/07/30,2.28,2.35,2.14,2.19,2.28,0.0,-0.09,2.7159406E7,11994403
2025/07/29,2.26,2.29,2.17,2.28,2.26,0.66,0.02,2.6591956E7,11894675
2025/07/28,2.04,2.26,2.05,2.26,2.04,11.03,0.22,1.12971424E8,51953847
2025/07/27,1.87,2.07,1.89,2.04,1.87,8.8,0.17,3.8106428E7,19235089
2025/07/23,1.84,1.9,1.83,1.87,1.84,1.63,0.03,7065891.5,3783811
2025/07/22,1.87,1.89,1.83,1.84,1.87,-1.6,-0.03,5544118.0,2985550
2025/07/21,1.89,1.9,1.86,1.87,1.89,-0.79,-0.02,9405923.0,5017607
2025/07/20,1.87,1.9,1.84,1.89,1.87,0.8,0.02,1.1370545E7,6062975
2025/07/17,1.9,1.95,1.86,1.87,1.9,-1.57,-0.03,1.1644087E7,6116987
2025/07/16,1.92,1.96,1.89,1.9,1.92,-0.78,-0.02,5796435.0,3035430
2025/07/15,1.9,1.99,1.89,1.92,1.9,0.79,0.02,1.0834519E7,5579910
2025/07/14,1.87,1.9,1.86,1.9,1.87,1.6,0.03,3185958.5,1689596
2025/07/13,1.89,1.92,1.87,1.87,1.89,-0.79,-0.02,4451598.0,2351929
2025/07/07,2.02,2.05,1.96,1.96,2.02,-2.96,-0.06,2.0119928E7,10098891
2025/07/06,2.05,2.13,2.02,2.02,2.05,-1.46,-0.03,2.1264128E7,10238333
2025/07/02,2.05,2.17,2.05,2.05,2.05,0.0,0.0,3.5357968E7,16725611
2025/07/01,2.05,2.11,2.04,2.05,2.05,0.0,0.0,9714634.0,4650746
2025/06/30,2.1,2.13,2.04,2.05,2.1,-2.14,-0.05,1.7683458E7,8489952
2025/06/29,2.1,2.14,2.05,2.1,2.1,0.0,0.0,1.301569E7,6185671
2025/06/25,2.07,2.23,2.04,2.1,2.07,1.45,0.03,4.7587816E7,21934753
2025/06/24,1.96,2.11,1.96,2.07,1.96,5.34,0.11,2.427214E7,11782243
2025/06/23,1.84,1.98,1.84,1.96,1.84,6.5,0.12,9145645.0,4741781
2025/06/22,1.75,1.86,1.63,1.84,1.75,5.13,0.09,3314844.0,1827958
2025/06/19,1.83,1.84,1.75,1.75,1.83,-4.1,-0.08,2786698.75,1564590
2025/06/18,1.84,1.86,1.75,1.83,1.84,-0.81,-0.01,3125505.5,1728644
2025/06/17,1.92,1.95,1.83,1.84,1.92,-3.91,-0.08,4844865.5,2582287
2025/06/16,1.92,1.99,1.9,1.92,1.92,0.0,0.0,5020056.5,2587994
2025/06/15,2.04,1.95,1.83,1.92,2.04,-5.88,-0.12,5990537.0,3189146
2025/06/12,2.04,2.07,1.98,2.04,2.04,0.0,0.0,1.121815E7,5534612
2025/06/11,2.08,2.11,2.04,2.04,2.08,-2.16,-0.04,1.5686124E7,7596852
2025/06/10,2.02,2.14,2.02,2.08,2.02,2.96,0.06,1.6771945E7,7995007
2025/06/04,2.08,2.1,2.01,2.02,2.08,-2.88,-0.06,1.6651774E7,8089566
2025/06/03,1.84,2.14,1.84,2.08,1.84,13.01,0.24,7.486604E7,37039239
2025/06/02,1.87,1.9,1.81,1.84,1.87,-1.6,-0.03,1.4800103E7,7933725
2025/06/01,1.66,1.92,1.68,1.87,1.66,12.613,0.21,3.7532756E7,20669917
2025/05/29,1.68,1.69,1.66,1.66,1.68,-0.893,-0.02,3008611.0,1789224
2025/05/28,1.72,1.74,1.68,1.68,1.72,-2.61,-0.04,6239876.5,3657887
2025/05/27,1.74,1.75,1.71,1.72,1.74,-0.86,-0.02,5361600.5,3107867
