«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,8.77,8.88,8.68,8.77,8.77,-0.8,-0.07,2175714.0,247492
2026/01/12,8.77,8.9,8.65,8.77,8.77,-1.37,-0.12,90570.01,10340
2026/01/11,8.61,8.99,8.6,8.77,8.61,1.86,0.16,4368637.5,495142
2026/01/08,8.81,8.95,8.6,8.61,8.81,-2.38,-0.21,1073672.13,124040
2026/01/06,8.81,8.95,8.65,8.81,8.81,0.0,0.0,377258.16,42803
2026/01/05,8.96,8.9,8.74,8.81,8.96,-2.23,-0.2,1049060.25,118976
2026/01/04,9.1,9.17,8.87,8.96,9.1,-2.53,-0.23,664052.56,73858
2025/12/31,8.93,9.1,8.84,9.1,8.93,1.9,0.17,6108745.5,674466
2025/12/30,8.99,9.05,8.82,8.93,8.99,-0.67,-0.06,4518197.0,503263
2025/12/29,9.1,9.17,8.92,8.99,9.1,-1.21,-0.11,2500869.0,276091
2025/12/28,8.77,9.13,8.64,9.1,8.77,3.76,0.33,6002169.0,666000
2025/12/25,8.53,8.87,8.46,8.77,8.53,2.81,0.24,2069790.88,238565
2025/12/24,8.57,8.65,8.45,8.53,8.57,-0.47,-0.04,695337.63,81492
2025/12/23,8.48,8.7,8.45,8.57,8.48,1.06,0.09,702534.13,81833
2025/12/22,8.62,8.98,8.4,8.48,8.62,-1.97,-0.17,2327038.25,270935
2025/12/21,8.88,8.95,8.2,8.62,8.88,-0.45,-0.04,1620285.25,186129
2025/12/18,8.73,8.9,8.65,8.88,8.73,1.72,0.15,1744258.0,197586
2025/12/17,8.84,8.91,8.13,8.73,8.84,-1.24,-0.11,1645807.25,188573
2025/12/16,9.0,9.05,8.82,8.84,9.0,-2.0,-0.18,803186.81,90440
2025/12/15,8.95,9.05,8.8,9.0,8.95,0.56,0.05,9268604.0,1037650
2025/12/14,9.0,9.19,8.9,8.95,9.0,-0.56,-0.05,3203688.25,354849
2025/12/11,8.82,9.13,8.68,9.0,8.82,2.04,0.18,8069866.5,897984
2025/12/10,8.63,8.85,8.55,8.82,8.63,2.55,0.22,2042817.13,232537
2025/12/09,8.87,8.88,8.59,8.63,8.87,-2.25,-0.2,1671854.75,193389
2025/12/08,8.29,8.87,8.2,8.87,8.29,6.63,0.55,7688208.5,898250
2025/12/07,8.2,8.34,8.12,8.29,8.2,0.61,0.05,3946033.5,480342
2025/12/04,8.0,8.32,7.91,8.2,8.0,2.5,0.2,1.1871515E7,1453227
2025/12/03,8.01,8.14,7.91,8.0,8.01,-0.12,-0.01,5431387.5,676330
2025/12/02,8.08,8.1,7.91,8.01,8.08,-0.87,-0.07,3507086.0,437767
2025/12/01,8.08,8.24,6.6,8.08,8.08,0.0,0.0,9996218.0,1256765
2025/11/30,8.09,8.15,8.03,8.08,8.09,0.25,0.02,4850300.5,602161
2025/11/27,8.06,8.2,8.0,8.09,8.06,0.37,0.03,1396657.88,173006
2025/11/26,7.93,8.15,7.85,8.06,7.93,1.64,0.13,2551616.75,318399
2025/11/25,8.03,8.09,7.85,7.93,8.03,-1.25,-0.1,2639789.75,329852
2025/11/24,8.09,8.14,7.96,8.03,8.09,-0.74,-0.06,2276525.25,282908
2025/11/23,8.15,8.42,8.07,8.09,8.15,-0.74,-0.06,8455603.0,1033310
2025/11/20,8.16,8.29,8.1,8.15,8.16,0.49,0.04,1939763.5,237375
2025/11/19,8.06,8.25,8.0,8.16,8.06,1.36,0.11,4403503.0,539873
