«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,23.82,24.5,23.81,24.0,23.82,0.76,0.18,2.223578E7,923694
2026/01/12,24.2,24.43,23.4,23.82,24.2,-1.24,-0.3,1.8573978E7,778485
2026/01/11,22.24,24.76,22.24,24.2,22.24,8.81,1.96,1.0956584E8,4665064
2026/01/08,21.83,22.34,21.5,22.24,21.83,1.88,0.41,3256466.25,148417
2026/01/06,21.61,22.34,21.65,21.83,21.61,1.02,0.22,3682065.75,167981
2026/01/05,21.93,22.5,21.6,21.61,21.93,-1.46,-0.32,5341393.0,245874
2026/01/04,22.46,22.8,21.9,21.93,22.46,-2.49,-0.56,6298597.0,283061
2025/12/31,22.65,22.64,22.4,22.46,22.65,-0.66,-0.15,780829.81,34724
2025/12/30,22.4,22.65,22.27,22.65,22.4,1.12,0.25,9126161.0,405973
2025/12/29,22.37,22.5,22.22,22.4,22.37,-0.67,-0.15,1738296.88,77761
2025/12/28,22.4,22.5,22.2,22.37,22.4,0.4,0.09,2774833.0,123698
2025/12/25,22.24,22.5,22.1,22.4,22.24,0.72,0.16,3208178.25,143461
2025/12/24,22.42,22.5,22.21,22.24,22.42,-0.8,-0.18,1751970.25,78251
2025/12/23,22.02,22.44,22.05,22.42,22.02,1.91,0.42,2115458.0,94508
2025/12/22,22.38,22.51,22.0,22.02,22.38,-1.61,-0.36,5094736.5,228993
2025/12/21,22.4,22.5,22.2,22.38,22.4,0.0,0.0,4.454036E7,1992730
2025/12/18,22.5,22.58,22.2,22.4,22.5,-0.22,-0.05,7612017.5,339801
2025/12/17,22.32,22.58,22.16,22.5,22.32,0.81,0.18,2050994.38,91392
2025/12/16,22.59,22.69,22.26,22.32,22.59,-1.06,-0.24,1.8271762E7,815718
2025/12/15,22.53,22.78,22.44,22.59,22.53,-0.13,-0.03,3922767.5,174158
2025/12/14,22.49,22.9,22.31,22.53,22.49,0.04,0.01,3640540.5,160902
2025/12/11,22.5,22.6,21.5,22.49,22.5,-0.09,-0.02,4653612.5,208222
2025/12/10,22.5,22.65,22.4,22.5,22.5,-0.22,-0.05,968316.63,43086
2025/12/09,22.5,22.65,22.15,22.5,22.5,0.0,0.0,8179484.5,363652
2025/12/08,22.1,22.5,22.06,22.5,22.1,1.81,0.4,2.057731E7,915428
2025/12/07,22.2,22.46,22.06,22.1,22.2,-0.45,-0.1,4265277.0,192749
2025/12/04,22.1,22.47,22.02,22.2,22.1,0.45,0.1,1.8050882E7,813891
2025/12/03,22.04,22.6,22.05,22.1,22.04,0.27,0.06,1.5730617E7,706852
2025/12/02,21.67,22.14,21.65,22.04,21.67,2.12,0.46,1667215.0,75777
2025/12/01,21.98,22.28,21.57,21.67,21.98,-0.59,-0.13,3018086.0,138167
2025/11/30,20.98,22.15,21.11,21.98,20.98,4.86,1.02,5137078.0,234001
2025/11/27,21.88,21.99,20.0,20.98,21.88,0.5,0.11,8707300.0,399453
2025/11/26,21.66,22.33,21.54,21.88,21.66,1.11,0.24,2269090.75,104169
2025/11/25,22.22,22.3,21.12,21.66,22.22,-1.44,-0.32,3.487614E7,1592067
2025/11/24,22.51,22.51,22.03,22.22,22.51,-1.42,-0.32,6144290.5,274672
2025/11/23,22.9,22.94,22.45,22.51,22.9,-1.7,-0.39,2401162.0,106101
2025/11/20,22.92,23.0,22.6,22.9,22.92,-0.09,-0.02,3.548036E7,1549421
2025/11/19,22.94,22.99,22.8,22.92,22.94,-0.09,-0.02,4.960168E7,2165925
2025/11/18,22.99,23.13,22.73,22.94,22.99,0.04,0.01,1271161.0,55676
2025/11/17,23.1,23.19,22.86,22.99,23.1,-0.43,-0.1,8096654.5,350787
2025/11/16,22.92,23.12,22.6,23.1,22.92,0.79,0.18,1.241226E7,541809
2025/11/13,22.92,22.98,22.72,22.92,22.92,0.0,0.0,2.1680024E7,949072
2025/11/12,22.8,22.98,22.65,22.92,22.8,0.53,0.12,8299352.5,363037
2025/11/11,22.58,23.19,22.51,22.8,22.58,0.97,0.22,6.656408E7,2912799
2025/11/10,22.21,22.7,22.21,22.58,22.21,1.67,0.37,9204253.0,410247
2025/11/09,22.01,22.4,21.86,22.21,22.01,0.91,0.2,1.7870342E7,806454
2025/11/06,21.37,22.19,21.4,22.01,21.37,2.99,0.64,4.1871244E7,1916031
2025/11/05,21.5,21.93,21.3,21.37,21.5,-0.6,-0.13,2.1320184E7,977174
