«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,17.42,17.8,17.0,17.25,17.42,-0.98,-0.17,3257053.0,187587
2026/01/12,17.29,18.53,17.26,17.42,17.29,1.21,0.21,3926305.75,220410
2026/01/11,17.25,17.4,17.2,17.29,17.25,0.23,0.04,1527835.13,88522
2026/01/08,17.3,17.5,17.2,17.25,17.3,-0.58,-0.1,3003414.0,173358
2026/01/06,17.23,17.42,17.2,17.3,17.23,1.1,0.19,1267600.0,73339
2026/01/05,17.38,17.42,17.0,17.23,17.38,-0.86,-0.15,1210500.25,70635
2026/01/04,17.37,17.5,17.27,17.38,17.37,0.29,0.05,976312.25,56060
2025/12/31,17.52,17.6,17.25,17.37,17.52,-0.86,-0.15,1204030.38,69179
2025/12/30,17.56,17.71,17.35,17.52,17.56,-0.91,-0.16,1102533.63,62912
2025/12/29,17.62,17.71,17.3,17.56,17.62,-0.11,-0.02,2378659.25,136293
2025/12/28,17.46,17.99,17.2,17.62,17.46,0.92,0.16,5624193.5,317104
2025/12/25,16.93,17.26,17.01,17.12,16.93,1.27,0.22,988227.44,56629
2025/12/24,17.16,17.28,16.93,16.93,17.16,-1.31,-0.23,2003515.25,114878
2025/12/23,16.99,17.46,16.91,17.16,16.99,0.98,0.17,5950821.0,339965
2025/12/22,17.11,17.49,16.86,16.99,17.11,-1.15,-0.2,3368913.0,192834
2025/12/21,17.46,17.66,17.01,17.11,17.46,-1.97,-0.35,3068776.75,174787
2025/12/18,17.56,17.86,17.32,17.46,17.56,-0.56,-0.1,1136830.5,63628
2025/12/17,17.57,17.66,17.31,17.56,17.57,0.39,0.07,1305984.0,72765
2025/12/16,17.6,18.11,17.5,17.57,17.6,-0.17,-0.03,1429848.63,79434
2025/12/15,17.77,18.51,17.49,17.6,17.77,-0.94,-0.17,2161312.0,119809
2025/12/14,18.01,18.16,17.57,17.77,18.01,-1.31,-0.24,2988516.5,165529
2025/12/11,18.18,18.76,17.86,18.01,18.18,-1.4,-0.26,681011.38,37161
2025/12/10,18.19,18.36,17.91,18.18,18.19,0.38,0.07,599468.0,32381
2025/12/09,17.99,18.45,17.56,18.19,17.99,2.51,0.46,606197.75,33072
2025/12/08,18.56,18.43,17.86,17.99,18.56,-2.12,-0.4,693971.19,37551
2025/12/07,17.64,18.62,17.46,18.56,17.64,4.56,0.82,3070834.75,166600
2025/12/04,18.16,18.53,17.28,17.64,18.16,-1.14,-0.21,1.2263191E7,666847
2025/12/03,18.32,18.62,18.06,18.16,18.32,-0.86,-0.16,1016252.44,55067
2025/12/02,18.46,18.64,18.06,18.32,18.46,-0.8,-0.15,2501572.75,132688
2025/12/01,18.2,18.65,18.18,18.46,18.2,1.4,0.26,3097074.75,164061
2025/11/30,17.71,18.56,17.72,18.2,17.71,2.71,0.49,3024001.0,161686
2025/11/27,17.69,17.76,17.56,17.71,17.69,0.06,0.01,778188.5,43234
2025/11/26,17.62,17.76,17.22,17.69,17.62,0.78,0.14,1411399.38,78909
2025/11/25,17.85,18.14,17.17,17.62,17.85,-1.98,-0.36,2630282.5,146148
2025/11/24,17.84,18.21,17.66,17.85,17.84,0.06,0.01,1452423.5,79575
2025/11/23,17.95,18.24,17.79,17.84,17.95,-0.6,-0.11,1031435.56,56509
