«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,12.76,12.9,12.55,12.7,12.76,-0.47,-0.06,3391310.75,266835
2026/01/12,12.91,12.98,12.7,12.76,12.91,-1.16,-0.15,3239495.5,253561
2026/01/11,13.04,13.19,12.81,12.91,13.04,-1.0,-0.13,2051119.38,158618
2026/01/08,13.07,13.38,12.84,13.04,13.07,-0.23,-0.03,1.0150364E7,767444
2026/01/06,12.72,13.99,12.55,13.07,12.72,2.75,0.35,8591619.0,650596
2026/01/05,13.16,13.18,12.52,12.72,13.16,-3.34,-0.44,6494921.5,512523
2026/01/04,13.2,13.25,12.85,13.16,13.2,-1.52,-0.2,2592965.0,197280
2025/12/31,13.13,13.21,12.91,13.2,13.13,0.53,0.07,9078826.0,689072
2025/12/30,13.0,13.29,12.89,13.13,13.0,1.0,0.13,9703655.0,742634
2025/12/29,12.89,13.0,12.67,13.0,12.89,0.85,0.11,2845955.75,219446
2025/12/28,12.79,12.97,12.6,12.89,12.79,0.78,0.1,2592124.0,201966
2025/12/25,12.98,13.0,12.62,12.79,12.98,-1.46,-0.19,3755140.75,294491
2025/12/24,13.0,13.15,12.75,12.98,13.0,-0.15,-0.02,7823258.5,602972
2025/12/23,12.78,13.0,12.47,13.0,12.78,1.72,0.22,6601527.0,517365
2025/12/22,12.79,13.08,12.55,12.78,12.79,-0.08,-0.01,1.1188169E7,868426
2025/12/21,12.5,12.8,12.33,12.79,12.5,2.32,0.29,2.18983392E8,17655567
2025/12/18,12.39,12.53,12.27,12.5,12.39,0.48,0.06,4737307.5,380643
2025/12/17,12.34,12.49,12.25,12.39,12.34,-0.32,-0.04,5071467.5,410806
2025/12/16,12.42,12.45,12.25,12.34,12.42,-0.56,-0.07,2513274.0,204169
2025/12/15,12.44,12.55,12.25,12.42,12.44,-0.16,-0.02,2783064.75,225499
2025/12/14,12.52,12.5,12.31,12.44,12.52,-0.64,-0.08,1903628.88,153008
2025/12/11,12.5,12.59,12.35,12.52,12.5,0.0,0.0,2505531.25,201738
2025/12/10,12.37,12.56,12.3,12.5,12.37,1.05,0.13,4603647.5,370260
2025/12/09,12.4,12.44,12.25,12.37,12.4,-0.81,-0.1,3207985.75,259382
2025/12/08,12.35,12.45,12.18,12.4,12.35,0.4,0.05,4980966.0,401657
2025/12/07,12.4,12.45,12.07,12.35,12.4,-0.08,-0.01,5597825.5,458942
2025/12/04,12.12,12.4,11.9,12.4,12.12,2.31,0.28,8372341.5,688117
2025/12/03,12.3,12.4,12.0,12.12,12.3,-0.41,-0.05,9077453.0,745840
2025/12/02,12.01,12.3,11.6,12.3,12.01,2.41,0.29,3542504.75,293321
2025/12/01,11.7,12.3,11.6,12.01,11.7,2.82,0.33,7666703.0,642420
2025/11/30,11.7,11.75,11.5,11.7,11.7,0.0,0.0,6135090.5,525476
2025/11/27,11.09,11.7,11.12,11.7,11.09,5.5,0.61,1998224.0,173136
2025/11/26,11.6,11.78,11.01,11.09,11.6,-4.4,-0.51,1.068887E7,935773
2025/11/25,11.93,11.9,11.51,11.6,11.93,-2.77,-0.33,1935339.5,166289
2025/11/24,11.5,11.95,11.44,11.93,11.5,3.74,0.43,4.0306844E7,3497779
2025/11/23,11.82,11.88,11.4,11.5,11.82,-3.3,-0.39,2110016.5,183057
2025/11/20,11.7,11.88,11.48,11.82,11.7,1.54,0.18,1.3463127E7,1165426
2025/11/19,11.59,11.7,11.43,11.7,11.59,0.95,0.11,3257966.25,280129
2025/11/18,11.7,11.7,11.4,11.59,11.7,-0.94,-0.11,3727303.75,323941
2025/11/17,11.1,11.7,11.2,11.7,11.1,5.41,0.6,1.5418654E7,1365170
2025/11/16,11.3,11.47,11.05,11.1,11.3,0.0,0.0,2.7923374E7,2489541
2025/11/13,11.13,11.48,11.05,11.3,11.13,1.53,0.17,3036213.5,270231
2025/11/12,11.41,11.6,11.0,11.13,11.41,-2.45,-0.28,8315699.5,739634
2025/11/11,11.65,11.9,11.22,11.41,11.65,-2.06,-0.24,1.1010952E7,955650
2025/11/10,11.55,11.97,11.52,11.65,11.55,0.52,0.06,1.5910131E7,1349727
2025/11/09,11.1,11.6,11.15,11.55,11.1,4.05,0.45,2375975.25,208520
2025/11/06,11.7,11.87,11.05,11.1,11.7,-5.13,-0.6,7971402.5,701849
2025/11/05,12.29,12.29,11.66,11.7,12.29,-4.8,-0.59,2.248725E7,1919350
2025/11/04,12.23,12.46,11.75,12.29,12.23,0.57,0.07,1.2640068E7,1048646
2025/11/03,12.55,12.65,12.16,12.23,12.55,-2.55,-0.32,1.1988132E7,975907
2025/11/02,12.5,12.7,12.0,12.55,12.5,1.44,0.18,5366271.0,432654
2025/10/30,12.5,12.7,12.43,12.5,12.5,0.0,0.0,4926464.0,393409
2025/10/29,12.55,12.59,12.42,12.5,12.55,-0.4,-0.05,6729313.0,538244
2025/10/28,12.8,12.79,12.5,12.55,12.8,-1.95,-0.25,1684689.63,134312
2025/10/27,12.75,12.9,12.69,12.8,12.75,0.39,0.05,2.1359888E7,1678483
2025/10/26,12.69,12.85,12.02,12.75,12.69,0.47,0.06,5624954.5,446000
2025/10/23,12.8,12.89,12.0,12.69,12.8,-0.86,-0.11,1.5390646E7,1222202
2025/10/22,12.81,12.93,12.33,12.8,12.81,-0.08,-0.01,6359853.0,502994
2025/10/21,12.92,13.0,12.65,12.81,12.92,-1.7,-0.22,4491318.5,353094
2025/10/20,12.87,13.0,12.61,12.92,12.87,0.62,0.08,9172230.0,719784
2025/10/19,11.71,12.98,11.7,12.87,11.71,10.76,1.26,2.562447E7,2052888
2025/10/16,11.7,11.84,11.55,11.71,11.7,0.68,0.08,1.0914145E7,932048
2025/10/15,11.6,11.7,11.4,11.7,11.6,0.86,0.1,6109981.5,526237
2025/10/14,11.72,11.99,11.55,11.6,11.72,-1.02,-0.12,3989212.75,338528
2025/10/13,11.49,11.83,11.15,11.72,11.49,2.0,0.23,1.2512652E7,1080948
2025/10/12,11.35,11.49,11.0,11.49,11.35,1.23,0.14,4767043.0,421809
2025/10/08,11.29,11.37,11.12,11.35,11.29,0.53,0.06,5994598.5,529607
2025/10/07,11.2,11.39,11.2,11.29,11.2,1.34,0.15,2339976.75,207052
2025/10/06,11.13,11.37,11.1,11.24,11.13,2.16,0.24,2.831186E7,2527926
2025/10/05,11.2,11.4,10.95,11.13,11.2,-0.8,-0.09,1978600.38,178384
2025/10/02,11.25,11.39,11.1,11.2,11.25,-1.24,-0.14,1.3344195E7,1191377
2025/10/01,10.97,11.45,11.0,11.25,10.97,2.55,0.28,2.9368696E7,2609572
2025/09/30,10.79,11.1,10.75,10.97,10.79,2.41,0.26,2.4358926E7,2217606
2025/09/29,10.77,10.8,10.6,10.79,10.77,0.19,0.02,2.3789952E7,2212072
