«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.93,4.96,4.82,4.82,4.93,-2.23,-0.11,3762919.5,775000
2026/01/12,4.98,5.0,4.9,4.93,4.98,-1.0,-0.05,5414605.5,1091487
2026/01/11,4.8,5.0,4.82,4.98,4.8,2.71,0.13,1.1105097E7,2251652
2026/01/08,5.0,5.04,4.79,4.8,5.0,-4.0,-0.2,9394903.0,1916381
2026/01/06,4.95,5.05,4.93,5.0,4.95,1.01,0.05,9459798.0,1893328
2026/01/05,5.05,5.05,4.94,4.95,5.05,-1.98,-0.1,8129136.5,1630076
2026/01/04,5.19,5.18,5.05,5.05,5.19,-2.7,-0.14,6674755.0,1310291
2025/12/31,5.08,5.19,5.02,5.19,5.08,2.17,0.11,1.3865195E7,2705179
2025/12/30,5.15,5.3,5.07,5.08,5.15,-1.36,-0.07,3.229503E7,6236509
2025/12/29,5.19,5.21,5.0,5.15,5.19,-0.77,-0.04,2.7006544E7,5279089
2025/12/28,5.1,5.19,5.05,5.19,5.1,1.76,0.09,1.3053498E7,2545676
2025/12/25,5.17,5.24,5.04,5.1,5.17,-1.35,-0.07,5.464406E7,10612989
2025/12/24,4.99,5.23,4.9,5.17,4.99,3.61,0.18,1.9208408E8,38212240
2025/12/23,4.88,5.0,4.88,4.99,4.88,2.25,0.11,4063286.5,816131
2025/12/22,4.95,4.98,4.86,4.88,4.95,-1.41,-0.07,1490828.5,304569
2025/12/21,4.99,5.01,4.91,4.95,4.99,-0.8,-0.04,990845.94,200434
2025/12/18,5.08,5.12,4.85,4.99,5.08,-1.77,-0.09,8989489.0,1811823
2025/12/17,5.24,5.14,5.05,5.08,5.24,-3.05,-0.16,2683562.25,526278
2025/12/16,5.34,5.34,5.06,5.24,5.34,-1.87,-0.1,1.6562685E7,3223664
2025/12/15,5.4,5.37,5.22,5.34,5.4,-1.11,-0.06,2.8820144E7,5431378
2025/12/14,5.33,5.41,5.21,5.4,5.33,1.31,0.07,1.0669348E7,2007062
2025/12/11,5.25,5.34,5.1,5.33,5.25,1.52,0.08,1.4306104E7,2737946
