«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,115.1,122.8,117.8,120.33,115.1,4.54,5.23,8.55985408E8,7084743
2026/01/12,108.47,115.1,108.0,115.1,108.47,6.11,6.63,6.68365952E8,5885292
2026/01/11,104.3,110.25,107.65,108.47,104.3,4.0,4.17,4.79523136E8,4398040
2026/01/08,103.01,105.58,103.4,104.3,103.01,1.25,1.29,3.90504416E8,3729539
2026/01/06,101.0,103.01,100.31,103.01,101.0,1.99,2.01,2.4606224E8,2410554
2026/01/05,100.52,101.89,98.3,101.0,100.52,0.48,0.48,2.96416576E8,2958489
2026/01/04,103.0,103.98,100.52,100.52,103.0,-2.41,-2.48,9.3242688E7,915458
2025/12/31,103.0,104.1,103.0,103.0,103.0,0.0,0.0,1.1884E8,1149458
2025/12/30,103.92,104.0,102.7,103.0,103.92,-0.89,-0.92,1.00627552E8,975936
2025/12/29,103.5,103.99,102.5,103.92,103.5,0.41,0.42,1.40199536E8,1358308
2025/12/28,103.0,104.3,103.01,103.5,103.0,0.49,0.5,3.86032E7,371565
2025/12/25,104.88,104.9,102.31,103.0,104.88,-1.79,-1.88,9.3113632E7,900610
2025/12/24,103.95,104.98,103.01,104.88,103.95,0.89,0.93,1.51331264E8,1446682
2025/12/23,101.8,103.95,101.27,103.95,101.8,2.11,2.15,2.09326896E8,2041059
2025/12/22,104.25,105.49,101.8,101.8,104.25,-2.35,-2.45,3.21761792E8,3112350
2025/12/21,101.03,104.25,101.7,104.25,101.03,3.19,3.22,1.38057472E9,13462014
2025/12/18,103.8,104.98,101.03,101.03,103.8,-2.67,-2.77,7.4674624E8,7336195
2025/12/17,106.82,109.0,103.8,103.8,106.82,-2.83,-3.02,4.2430224E8,4036800
2025/12/16,118.1,119.9,117.0,117.5,118.1,-0.51,-0.6,2.86796768E8,2434340
2025/12/15,116.5,120.0,116.6,118.1,116.5,1.37,1.6,1.29658944E9,11060918
2025/12/14,116.79,117.24,116.0,116.5,116.79,-0.25,-0.29,1.1895184E8,1022145
2025/12/11,116.62,117.3,115.1,116.79,116.62,0.15,0.17,2.45713104E8,2104114
2025/12/10,117.37,117.8,116.42,116.62,117.37,-0.64,-0.75,1.49377504E8,1278749
2025/12/09,117.8,118.48,116.82,117.37,117.8,-0.37,-0.43,2.12302032E8,1808985
2025/12/08,116.2,117.85,116.21,117.8,116.2,1.38,1.6,2.6749856E8,2283535
2025/12/07,116.8,117.9,115.9,116.2,116.8,-0.51,-0.6,1.03430576E8,882445
2025/12/04,114.99,118.23,115.03,116.8,114.99,1.57,1.81,3.75334272E8,3211210
2025/12/03,109.75,116.5,109.2,114.99,109.75,4.77,5.24,5.47866368E8,4799154
2025/12/02,107.79,109.97,108.0,109.75,107.79,1.82,1.96,2.54831328E8,2331006
2025/12/01,107.7,108.0,107.0,107.79,107.7,0.08,0.09,1.8301632E8,1699213
2025/11/30,107.52,107.99,107.0,107.7,107.52,0.17,0.18,1.3337448E8,1240765
2025/11/27,105.8,107.75,105.87,107.52,105.8,1.63,1.72,1.29391048E8,1206466
2025/11/26,107.84,108.0,105.0,105.8,107.84,-1.89,-2.04,1.46910992E8,1374758
2025/11/25,104.51,108.0,105.0,107.84,104.51,3.19,3.33,2.85421568E8,2672993
2025/11/24,106.55,107.4,104.51,104.51,106.55,-1.91,-2.04,8.17394304E8,7798830
2025/11/23,106.02,107.75,106.03,106.55,106.02,0.5,0.53,1.48499488E8,1387926
2025/11/20,106.5,106.99,106.02,106.02,106.5,-0.45,-0.48,2.49320208E8,2341851
2025/11/19,107.0,107.85,106.42,106.5,107.0,-0.47,-0.5,2.51379808E8,2352179
2025/11/18,108.45,109.5,106.73,107.0,108.45,-1.34,-1.45,2.22910832E8,2072562
2025/11/17,109.98,110.0,107.6,108.45,109.98,-1.39,-1.53,4.04591232E8,3727280
2025/11/16,108.5,110.0,108.67,109.98,108.5,1.36,1.48,1.1633356E8,1062513
2025/11/13,110.39,110.5,108.5,108.5,110.39,-1.71,-1.89,1.74958544E8,1600086
2025/11/12,110.2,111.3,109.82,110.39,110.2,0.17,0.19,3.48675424E8,3162749
2025/11/11,110.11,111.6,109.6,110.2,110.11,0.08,0.09,4.45162112E8,4016660
2025/11/10,111.5,111.7,109.25,110.11,111.5,-1.25,-1.39,3.61434944E8,3271970
2025/11/09,109.01,111.7,109.31,111.5,109.01,2.28,2.49,1.63689696E8,1475397
2025/11/06,106.9,110.0,106.5,109.01,106.9,1.97,2.11,5.97291584E8,5485798
2025/11/05,107.0,107.5,105.5,106.9,107.0,-0.09,-0.1,1.65495808E8,1551534
2025/11/04,105.99,108.3,106.0,107.0,105.99,0.95,1.01,5.3815072E8,5012580
2025/11/03,104.0,105.99,103.56,105.99,104.0,1.91,1.99,2.124708E8,2020688
2025/11/02,105.49,105.69,104.0,104.0,105.49,-1.41,-1.49,1.0837544E8,1033040
2025/10/30,104.56,105.49,104.0,105.49,104.56,0.89,0.93,1.72691696E8,1644957
2025/10/29,105.4,106.0,104.0,104.56,105.4,-0.8,-0.84,1.4049584E8,1336146
2025/10/28,104.76,105.8,104.51,105.4,104.76,0.61,0.64,1.785764E8,1697397
