«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.319,0.323,0.316,0.32,0.319,0.313,0.001,4615194.5,14460217
2026/01/12,0.325,0.328,0.318,0.319,0.325,-1.846,-0.006,3695194.75,11450617
2026/01/11,0.326,0.328,0.323,0.325,0.326,-0.307,-0.001,2635018.5,8099653
2026/01/08,0.321,0.334,0.32,0.326,0.321,1.558,0.005,1.2161008E7,37080826
2026/01/06,0.322,0.327,0.32,0.321,0.322,-0.311,-0.001,7175578.5,22259229
2026/01/05,0.327,0.332,0.318,0.322,0.327,-1.223,-0.004,1.3033398E7,40623174
2026/01/04,0.333,0.336,0.327,0.327,0.333,-1.802,-0.006,9132109.0,27611454
2025/12/31,0.34,0.34,0.333,0.333,0.34,-2.059,-0.007,1.113224E7,33134267
2025/12/30,0.338,0.341,0.33,0.34,0.338,0.592,0.002,1.6095903E7,48168786
2025/12/29,0.345,0.349,0.337,0.338,0.345,-2.029,-0.007,2.0686574E7,60687471
2025/12/28,0.354,0.358,0.345,0.345,0.354,-2.542,-0.009,2.05318E7,58491103
2025/05/08,0.779,0.859,0.781,0.826,0.779,6.033,0.047,1.3623238E7,16525030
2025/05/07,0.777,0.81,0.761,0.779,0.777,0.257,0.002,6806343.0,8657170
2025/05/06,0.71,0.81,0.711,0.777,0.71,9.718,0.069,1.3849922E7,18142231
2025/05/05,0.72,0.726,0.68,0.71,0.72,-1.389,-0.01,4.4366192E7,62560264
2025/05/04,0.688,0.726,0.685,0.72,0.688,4.651,0.032,9154890.0,12784423
2025/04/30,0.659,0.696,0.647,0.688,0.659,4.401,0.029,1.3264116E7,19486695
2025/04/29,0.65,0.675,0.64,0.659,0.65,1.385,0.009,1.2210565E7,18603853
2025/04/28,0.65,0.659,0.641,0.65,0.65,0.0,0.0,8094535.5,12429742
2025/04/27,0.621,0.653,0.625,0.65,0.621,4.67,0.029,1.2536653E7,19585356
2025/04/23,0.613,0.647,0.62,0.621,0.613,1.305,0.008,1.4783279E7,23377524
2025/04/22,0.58,0.615,0.581,0.613,0.58,5.69,0.033,1.7624842E7,29363715
2025/04/17,0.554,0.58,0.538,0.58,0.554,4.693,0.026,2.6941118E7,48334216
2025/04/16,0.555,0.557,0.538,0.554,0.555,-0.18,-0.001,9687808.0,17713937
2025/04/15,0.528,0.562,0.523,0.555,0.528,5.114,0.027,2.6199352E7,47978898
2025/04/14,0.467,0.55,0.48,0.528,0.467,13.062,0.061,3.5643396E7,69065708
2025/04/10,0.439,0.465,0.445,0.451,0.439,3.189,0.014,3045863.0,6750375
2025/04/09,0.463,0.468,0.435,0.439,0.463,-5.184,-0.024,3837684.5,8478412
2025/04/08,0.46,0.47,0.461,0.463,0.46,0.652,0.003,3226551.25,6936831
2025/04/07,0.462,0.469,0.454,0.46,0.462,-0.433,-0.002,4052488.5,8795387
2025/04/06,0.474,0.489,0.45,0.462,0.474,-2.532,-0.012,8955618.0,19092524
2025/03/27,0.428,0.454,0.425,0.435,0.428,1.636,0.007,5825031.0,13226671
