«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.111,0.11,0.105,0.109,0.111,-1.802,-0.002,4615778.0,42715318
2026/01/12,0.114,0.115,0.109,0.111,0.114,-2.632,-0.003,4100680.5,36788620
2026/01/11,0.116,0.118,0.113,0.114,0.116,-1.724,-0.002,4328169.0,37709856
2026/01/08,0.117,0.117,0.114,0.116,0.117,-0.855,-0.001,4427291.5,38228838
2026/01/06,0.118,0.119,0.116,0.117,0.118,-0.847,-0.001,1700211.5,14495034
2026/01/05,0.118,0.119,0.114,0.118,0.118,0.0,0.0,3783818.25,32344264
2026/01/04,0.125,0.123,0.118,0.118,0.125,-5.6,-0.007,5049041.5,41911789
2025/12/31,0.12,0.126,0.119,0.125,0.12,4.167,0.005,5535318.0,45089235
2025/12/30,0.121,0.124,0.116,0.12,0.121,-0.826,-0.001,4997068.5,41936094
2025/12/29,0.129,0.129,0.116,0.121,0.129,-6.202,-0.008,8149064.5,66124862
2025/12/28,0.139,0.132,0.12,0.129,0.139,-7.194,-0.01,1.0323058E7,80294575
2025/12/25,0.112,0.14,0.107,0.139,0.112,24.107,0.027,1.6465908E7,135489665
2025/12/24,0.136,0.124,0.099,0.112,0.136,-17.646999,-0.024,2.1881526E7,193817536
