«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.53,1.54,1.47,1.47,1.53,-3.922,-0.06,2.2951782E7,15362425
2026/01/12,1.56,1.6,1.51,1.53,1.56,-1.923,-0.03,4.196988E7,27033716
2026/01/11,1.56,1.58,1.54,1.56,1.56,0.0,0.0,1.8964942E7,12171332
2026/01/08,1.59,1.61,1.55,1.56,1.59,-1.887,-0.03,2.7551622E7,17446714
2026/01/06,1.59,1.61,1.58,1.59,1.59,0.0,0.0,3.1713078E7,19892163
2026/01/05,1.59,1.65,1.56,1.59,1.59,0.0,0.0,9.3528752E7,58395727
2026/01/04,1.55,1.68,1.57,1.59,1.55,2.581,0.04,1.47818176E8,91359947
2025/12/31,1.48,1.63,1.48,1.55,1.48,4.73,0.07,2.50600352E8,158372682
2025/12/30,1.49,1.5,1.48,1.48,1.49,-0.671,-0.01,1.0907538E7,7332565
2025/12/29,1.49,1.51,1.47,1.49,1.49,0.0,0.0,1.5712011E7,10553348
2025/12/28,1.48,1.5,1.47,1.49,1.48,0.676,0.01,1.0488788E7,7066632
2025/12/25,1.5,1.52,1.48,1.48,1.5,-1.333,-0.02,2.7477432E7,18380660
2025/12/24,1.45,1.54,1.45,1.5,1.45,3.448,0.05,1.02784496E8,68375170
2025/12/23,1.46,1.47,1.43,1.45,1.46,-0.685,-0.01,2.4870314E7,17079466
2025/12/22,1.49,1.51,1.46,1.46,1.49,-2.013,-0.03,2.2056594E7,14937742
2025/12/21,1.47,1.52,1.48,1.49,1.47,1.361,0.02,4.743034E7,31656210
2025/12/18,1.45,1.5,1.45,1.47,1.45,1.379,0.02,4.61096E7,31175792
2025/12/17,1.46,1.48,1.45,1.45,1.46,-0.685,-0.01,1.4178414E7,9705346
2025/12/16,1.44,1.5,1.44,1.46,1.44,1.389,0.02,6.86704E7,46488962
2025/12/15,1.43,1.46,1.43,1.44,1.43,0.699,0.01,1.2735412E7,8819336
2025/12/14,1.42,1.45,1.42,1.43,1.42,0.704,0.01,1.4721675E7,10249636
2025/12/11,1.44,1.46,1.42,1.42,1.44,-1.389,-0.02,1.3926931E7,9680017
2025/12/10,1.42,1.46,1.42,1.44,1.42,1.408,0.02,2.0057276E7,13910512
2025/12/09,1.42,1.44,1.41,1.42,1.42,0.0,0.0,8463817.0,5947407
2025/12/08,1.42,1.47,1.41,1.42,1.42,0.0,0.0,3.6334856E7,25160634
2025/12/07,1.39,1.42,1.39,1.42,1.39,2.158,0.03,8578351.0,6096088
2025/12/04,1.38,1.4,1.38,1.39,1.38,0.725,0.01,8349952.0,6001828
2025/12/03,1.38,1.41,1.38,1.38,1.38,0.0,0.0,7925451.5,5683165
2025/12/02,1.39,1.41,1.38,1.38,1.39,-0.719,-0.01,1.1750606E7,8437448
2025/12/01,1.39,1.4,1.38,1.39,1.39,0.0,0.0,8383658.0,6021637
2025/11/30,1.4,1.42,1.39,1.39,1.4,-0.714,-0.01,1.1630364E7,8275839
2025/11/27,1.38,1.42,1.38,1.4,1.38,1.449,0.02,1.7227264E7,12297624
2025/11/26,1.39,1.41,1.38,1.38,1.39,-0.719,-0.01,5515330.0,3959574
2025/11/25,1.41,1.42,1.39,1.39,1.41,-1.418,-0.02,6655528.0,4737963
2025/11/24,1.44,1.46,1.41,1.41,1.44,-2.083,-0.03,1.9225616E7,13455910
2025/11/23,1.4,1.46,1.4,1.44,1.4,2.857,0.04,2.6525946E7,18437000
2025/11/20,1.38,1.43,1.38,1.4,1.38,1.449,0.02,1.1285714E7,8007183
2025/11/19,1.39,1.4,1.38,1.38,1.39,-0.719,-0.01,6835713.5,4927397
2025/11/18,1.4,1.42,1.38,1.39,1.4,-0.714,-0.01,8636062.0,6157356
2025/11/17,1.39,1.44,1.4,1.4,1.39,0.719,0.01,1.637977E7,11526919
2025/11/16,1.38,1.4,1.38,1.39,1.38,0.725,0.01,6491856.0,4676565
