«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,267.26,269.55,266.4,267.62,267.26,-0.32,-0.86,802435.69,2999
2026/01/12,268.81,269.8,267.18,267.26,268.81,-0.61,-1.63,920783.0,3436
2026/01/11,266.78,269.88,267.0,268.81,266.78,0.76,2.03,1011559.38,3764
2026/01/08,266.76,269.99,266.0,266.78,266.76,0.09,0.24,1302095.13,4867
2026/01/06,267.35,268.13,266.3,266.76,267.35,0.17,0.45,435198.31,1630
2026/01/05,266.24,268.75,265.5,267.35,266.24,0.75,1.99,761022.31,2850
2026/01/04,265.08,269.98,266.0,266.24,265.08,0.35,0.92,773298.75,2893
2025/12/31,268.3,270.0,265.0,265.08,268.3,0.19,0.5,1778627.38,6694
2025/12/30,268.08,271.5,267.32,268.3,268.08,0.08,0.22,1440939.25,5341
2025/12/29,268.14,270.59,267.0,268.08,268.14,-0.05,-0.14,666900.81,2482
2025/12/28,265.37,272.0,266.0,268.14,265.37,0.99,2.63,906869.06,3372
2025/12/25,265.13,274.9,265.0,265.37,265.13,0.09,0.24,4022622.25,14991
2025/12/24,266.65,268.95,265.0,265.13,266.65,-0.24,-0.65,1473368.38,5548
2025/12/23,268.63,269.0,266.0,266.65,268.63,-0.24,-0.64,1423930.25,5322
2025/12/22,267.43,270.0,265.11,268.63,267.43,0.21,0.57,504616.88,1883
2025/12/21,268.48,269.74,266.03,267.43,268.48,-0.33,-0.88,548513.13,2052
2025/12/18,269.83,270.99,266.03,268.48,269.83,-1.03,-2.78,309328.34,1152
2025/12/17,269.83,271.0,267.0,269.83,269.83,-0.16,-0.44,262382.0,977
2025/12/16,270.81,272.0,269.0,269.83,270.81,-0.67,-1.81,535873.13,1984
2025/12/15,270.96,273.0,270.0,270.81,270.96,-0.35,-0.96,1231376.5,4533
2025/12/14,269.44,273.0,269.25,270.96,269.44,0.32,0.86,1413366.5,5202
2025/12/11,273.35,274.0,269.0,269.44,273.35,-1.55,-4.25,1535774.5,5685
2025/12/10,267.32,275.0,267.2,273.35,267.32,1.38,3.68,2290567.5,8438
2025/12/09,265.42,269.99,266.01,267.32,265.42,0.58,1.53,818979.94,3056
2025/12/08,270.36,274.3,262.0,265.42,270.36,-1.46,-3.96,2329222.0,8729
