«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,15.25,14.65,14.64,15.25,15.25,-4.0,-0.61,3074.8,210
2026/01/12,18.3,16.0,15.0,15.25,18.3,-18.030001,-3.3,311046.0,20400
2026/01/11,18.3,15.15,15.15,18.3,18.3,-17.209999,-3.15,1515.0,100
2026/01/06,18.3,17.5,17.5,18.3,18.3,-4.37,-0.8,122500.0,7000
2026/01/05,18.3,17.65,15.2,18.3,18.3,-3.55,-0.65,105737.12,6133
2026/01/04,18.3,18.15,18.1,18.3,18.3,-0.82,-0.15,90600.0,5000
2025/12/31,17.15,20.0,15.51,18.3,17.15,6.71,1.15,801106.31,44511
2025/12/30,14.4,17.2,15.83,17.15,14.4,19.440001,2.8,1272381.5,74844
2025/12/29,12.0,14.4,13.0,14.4,12.0,20.0,2.4,6.0160536E7,4450087
2025/12/28,10.0,12.0,12.0,12.0,10.0,20.0,2.0,6.0E7,5000000
2025/11/18,10.0,10.0,10.0,10.0,10.0,0.0,0.0,4402920.0,440292
2025/11/13,10.0,10.0,10.0,10.0,10.0,0.0,0.0,8261100.0,826110
2025/11/11,10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0E7,1000000
2025/07/23,10.0,10.0,10.0,10.0,10.0,0.0,0.0,60000.0,6000
