«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.57,0.574,0.52,0.539,0.57,-5.439,-0.031,1.3978353E7,25291457
2026/01/12,0.58,0.584,0.568,0.57,0.58,-1.724,-0.01,8165652.5,14141373
2026/01/11,0.581,0.587,0.58,0.58,0.581,-0.172,-0.001,7748977.5,13305079
2026/01/08,0.584,0.587,0.578,0.581,0.584,-0.514,-0.003,1.2200159E7,20952555
2026/01/06,0.583,0.587,0.58,0.584,0.583,0.172,0.001,8742219.0,15000175
2026/01/05,0.585,0.588,0.577,0.583,0.585,-0.342,-0.002,8799428.0,15140409
2026/01/04,0.59,0.596,0.581,0.585,0.59,-0.847,-0.005,8440929.0,14417476
2025/12/31,0.591,0.598,0.583,0.59,0.591,-0.169,-0.001,1.4374622E7,24316072
2025/12/30,0.572,0.595,0.573,0.591,0.572,3.322,0.019,3.7776052E7,64315028
2025/12/29,0.566,0.585,0.568,0.572,0.566,1.06,0.006,2.529328E7,43952767
2025/12/28,0.565,0.569,0.559,0.566,0.565,0.177,0.001,2.1461926E7,38089583
2025/12/25,0.588,0.595,0.559,0.565,0.588,-3.912,-0.023,5.504554E7,96589238
2025/12/24,0.593,0.604,0.585,0.588,0.593,-0.843,-0.005,2.178493E7,36637607
2025/12/23,0.604,0.617,0.585,0.593,0.604,-1.821,-0.011,2.7553262E7,45830854
2025/12/22,0.581,0.614,0.573,0.604,0.581,3.959,0.023,6.8639776E7,115339799
2025/12/21,0.595,0.61,0.581,0.581,0.595,-2.353,-0.014,2.851156E7,47959614
2025/12/18,0.616,0.652,0.595,0.595,0.616,-3.409,-0.021,1.15296592E8,185706506
2025/12/17,0.557,0.625,0.559,0.616,0.557,10.592,0.059,9.3805176E7,157131024
2025/12/16,0.551,0.562,0.541,0.557,0.551,1.089,0.006,2.209209E7,39942635
2025/12/15,0.551,0.559,0.549,0.551,0.551,0.0,0.0,1.7386502E7,31423978
2025/12/14,0.543,0.567,0.546,0.551,0.543,1.473,0.008,3.1119688E7,55785795
2025/12/11,0.555,0.56,0.543,0.543,0.555,-2.162,-0.012,2.4519902E7,44525890
2025/12/10,0.541,0.562,0.54,0.555,0.541,2.588,0.014,2.9989962E7,54353505
2025/12/09,0.53,0.561,0.532,0.541,0.53,2.075,0.011,5.4838432E7,99736671
2025/12/08,0.537,0.548,0.523,0.53,0.537,-1.304,-0.007,2.9140988E7,54593847
2025/12/07,0.512,0.599,0.516,0.537,0.512,4.883,0.025,1.49895936E8,273774320
2025/12/04,0.491,0.522,0.496,0.512,0.491,4.277,0.021,8.197948E7,159900314
2025/12/03,0.479,0.5,0.481,0.491,0.479,2.505,0.012,2.8711778E7,58204887
2025/12/02,0.482,0.499,0.477,0.479,0.482,-0.622,-0.003,3.2569396E7,67050725
2025/12/01,0.495,0.496,0.48,0.482,0.495,-2.626,-0.013,2.5664068E7,52735125
2025/11/30,0.495,0.521,0.478,0.495,0.495,0.0,0.0,1.0506004E8,211305743
2025/11/27,0.46,0.513,0.46,0.495,0.46,7.609,0.035,1.54305696E8,314042912
2025/11/26,0.441,0.472,0.442,0.46,0.441,4.308,0.019,5.4833884E7,118662690
2025/11/25,0.462,0.47,0.439,0.441,0.462,-4.545,-0.021,3.4890644E7,77244150
2025/11/24,0.422,0.464,0.413,0.462,0.422,9.479,0.04,7.621964E7,172113865
2025/11/23,0.395,0.44,0.393,0.422,0.395,6.835,0.027,5.2038908E7,123873304
2025/11/20,0.396,0.408,0.391,0.395,0.396,-0.253,-0.001,5975043.0,14977447
2025/11/19,0.4,0.398,0.391,0.396,0.4,-1.0,-0.004,5617360.5,14230316
2025/11/18,0.406,0.409,0.4,0.4,0.406,-1.478,-0.006,3861390.25,9603927
2025/11/17,0.407,0.41,0.405,0.406,0.407,-0.246,-0.001,3337560.0,8216909
2025/11/16,0.407,0.415,0.403,0.407,0.407,0.0,0.0,7393864.5,18201955
2025/11/13,0.407,0.412,0.405,0.407,0.407,0.0,0.0,3150335.75,7727593
2025/11/12,0.4,0.419,0.401,0.407,0.4,1.75,0.007,7810766.0,18976836
2025/11/11,0.398,0.409,0.399,0.4,0.398,0.503,0.002,4777250.5,11834463
2025/11/10,0.404,0.407,0.397,0.398,0.404,-1.485,-0.006,4155692.75,10371924
2025/11/09,0.407,0.411,0.402,0.404,0.407,-0.737,-0.003,3705328.75,9090610
2025/11/06,0.414,0.418,0.406,0.407,0.414,-1.691,-0.007,6587589.5,16093306
2025/11/05,0.417,0.42,0.409,0.414,0.417,-0.719,-0.003,4518826.5,10883110
2025/11/04,0.419,0.43,0.412,0.417,0.419,-0.477,-0.002,8779044.0,20880424
2025/11/03,0.43,0.433,0.4,0.419,0.43,-2.558,-0.011,9810649.0,23517674
2025/11/02,0.438,0.455,0.425,0.43,0.438,-1.826,-0.008,1.1943037E7,27497678
2025/10/30,0.433,0.459,0.434,0.438,0.433,1.155,0.005,9972216.0,22408766
